current_config	historical_ref	source	metric	current_value	historical_value	delta	tolerance	pass_fail
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	model_top1_accuracy_genome_all	0.409357	0.471109	-0.061752	0.01	FAIL
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	model_top1_accuracy_genome_cis	0.494038	0.569551	-0.075513	0.01	FAIL
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	model_top1_accuracy_genome_trans	0.288164	0.330219	-0.042055	0.01	FAIL
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	model_same_cross_accuracy_genome_cis	0.871589	0.969348	-0.097759	0.02	FAIL
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	mean_per_chrom_cis_distance_spearman	0.572039	0.791804	-0.219765	0.03	FAIL
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	final_mean_entropy	0.80723244	NA	NA	0.05	NA
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	final_mean_pU	0.58229512	NA	NA	0.05	NA
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	final_mean_sep	3.42471027	NA	NA	0.5	NA
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	historical_summary	final_min_sep	0.0909356773	NA	NA	0.5	NA
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	init_mode	unphased_scaffold_split	unphased_scaffold_split	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	init_seed	17	17	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	init_eps_effective	0.5	0.5	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	init_noise_scale_effective	0	0	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	prior_mode	uniform	uniform	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	rho_train_mode	constant	constant	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	d_scale_mode	raw_count	raw_count	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	min_sep_unit	0	0	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	lambda_sep	0	0	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	temperature_start	1	1	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	temperature_end	1	1	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	uses_phase_labels	0	0	NA	exact	PASS
legacy_1m_cpu_exact_ieps0p5_noise0_seed17	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	expected_manifest_field	uses_charm_or_reference	0	0	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	model_top1_accuracy_genome_all	0.409786	0.471046	-0.06126	0.01	FAIL
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	model_top1_accuracy_genome_cis	0.495188	0.569406	-0.074218	0.01	FAIL
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	model_top1_accuracy_genome_trans	0.28756	0.330275	-0.042715	0.01	FAIL
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	model_same_cross_accuracy_genome_cis	0.872317	0.969324	-0.097007	0.02	FAIL
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	mean_per_chrom_cis_distance_spearman	0.571805	0.791783	-0.219978	0.03	FAIL
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	final_mean_entropy	0.806435645	NA	NA	0.05	NA
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	final_mean_pU	0.581720352	NA	NA	0.05	NA
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	final_mean_sep	3.42777348	NA	NA	0.5	NA
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	historical_summary	final_min_sep	0.0815229639	NA	NA	0.5	NA
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	init_mode	unphased_scaffold_split	unphased_scaffold_split	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	init_seed	17	17	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	init_eps_effective	0.5	0.5	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	init_noise_scale_effective	0	0	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	prior_mode	uniform	uniform	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	rho_train_mode	constant	constant	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	d_scale_mode	raw_count	raw_count	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	min_sep_unit	0	0	NA	exact	PASS
legacy_1m_gpu_exact_ieps0p5_noise0_seed17	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	expected_manifest_field	lambda_sep	0	0	NA	exact	PASS
