comparison	backend	metric	raw_value	posterior_count_value	historical_value	raw_delta	posterior_count_delta	posterior_count_closer	tolerance	conclusion	historical_ref	historical_source
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	model_top1_accuracy_genome_all	0.409357	0.465049	0.471109	-0.061752	-0.00606	1	0.01	HISTORICAL_D_SCALE_SEMANTICS_CONFIRMED	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	model_top1_accuracy_genome_cis	0.494038	0.569634	0.569551	-0.075513	8.3e-05	1	0.01	HISTORICAL_D_SCALE_SEMANTICS_CONFIRMED	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	model_top1_accuracy_genome_trans	0.288164	0.31537	0.330219	-0.042055	-0.014849	1	0.01	BOTH_FAIL	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	model_same_cross_accuracy_genome_cis	0.871589	0.969562	0.969348	-0.097759	0.000214	1	0.02	HISTORICAL_D_SCALE_SEMANTICS_CONFIRMED	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	mean_per_chrom_cis_distance_spearman	0.572039	0.800612	0.791804	-0.219765	0.008808	1	0.03	HISTORICAL_D_SCALE_SEMANTICS_CONFIRMED	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	final_mean_entropy	0.80723244	0.607306719	NA	NA	NA	NA	0.05	INSUFFICIENT_DATA	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	final_mean_pU	0.58229512	0.438079208	NA	NA	NA	NA	0.05	INSUFFICIENT_DATA	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	final_mean_sep	3.42471027	5.014678	NA	NA	NA	NA	0.5	INSUFFICIENT_DATA	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_cpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_cpu_exact_ieps0p5_noise0_seed17	cpu	final_min_sep	0.0909356773	1.53509235	NA	NA	NA	NA	0.5	INSUFFICIENT_DATA	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline/summary.tsv
current_raw_gpu_exact_ieps0p5_noise0_seed17__vs__posterior_count_gpu_exact_ieps0p5_noise0_seed17	gpu	model_top1_accuracy_genome_all	0.416077	0.464469	0.471046	-0.054969	-0.006577	1	0.01	HISTORICAL_D_SCALE_SEMANTICS_CONFIRMED	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	/mnt/ssd/zliu/phase3/hickit/result/003-20260616_125639-p9016_softall_1m_direct_gpu_baseline/summary.tsv
