sample	config_name	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
P1006	p1006_pcgamma0_sep_off_ieps0p5_noise0_seed17	0.750393554	3.91167335	0.822825731	0.99415978	0.0164561806	0.0436280138
P1006	p1006_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	1.36867046	4.06416748	0.899293934	0.994570411	0.0141599694	0.0279372369
P1006	p1006_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	1.97284434	4.33273122	0.919527524	0.994743053	0.0168388825	0.0325296594
P1006	p1006_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	2.02455645	4.35841861	0.927776602	0.995009375	0.0156907769	0.0290853425
P1006	p1006_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	1.90029033	4.26498766	0.915688038	0.994710855	0.0164561806	0.0321469575
P1006	p1006_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	2.1180588	4.21462747	0.886474961	0.993684629	0.0179869881	0.0302334481
P1006	p1006_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	2.57705206	4.46132531	0.914188337	0.992882406	0.0126291619	0.021431305
P1006	p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	2.59566586	4.50283826	0.904323614	0.992863785	0.0107156525	0.0191350938
P1006	p1006_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	2.71032458	4.47122164	0.928822039	0.992727604	0.00574052813	0.0126291619
P1006	p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	2.43210823	4.42492008	0.909706014	0.992458288	0.0145426713	0.021431305
P9016	p9016_pcgamma0_sep_off_ieps0p5_noise0_seed17	0.48704454	3.59693147	0.761401115	0.993089603	0.00956754688	0.0283199388
P9016	p9016_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	1.00029334	4.08829678	0.870787175	0.99388738	0.00841944126	0.0126291619
P9016	p9016_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	2.1125295	4.55900263	0.935763264	0.994977382	0.00650593188	0.00803673938
P9016	p9016_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	2.08213701	4.74970877	0.947827759	0.995223511	0.003061615	0.00344431688
P9016	p9016_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	2.15219685	4.6931474	0.943909542	0.994938652	0.003061615	0.00803673938
P9016	p9016_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	3.51288521	4.90266453	0.967000304	0.995172549	0.00076540375	0.00574052813
P9016	p9016_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	3.67748984	4.88891447	0.958025226	0.993482266	0.0015308075	0.0015308075
P9016	p9016_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	3.58317095	4.89057088	0.957556614	0.993425021	0.00191350938	0.00267891313
P9016	p9016_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	3.53292304	4.87751123	0.957050974	0.99349248	0.00191350938	0.00229621125
P9016	p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	3.7232507	4.92348354	0.958396692	0.993929635	0.00191350938	0.003061615
