sample	gamma	config_name	top1_all	top1_cis	top1_trans	same_cross_cis	cis_spearman	entropy	pU	min_sep	sep_p05	mean_sep	copytrack_frac_cos_lt_0	delta_top1_all_vs_gamma1	delta_top1_cis_vs_gamma1	delta_top1_trans_vs_gamma1	delta_same_cross_cis_vs_gamma1	delta_spearman_vs_gamma1	delta_entropy_vs_gamma1	delta_pU_vs_gamma1	delta_min_sep_vs_gamma1	gamma_rank_by_top1_all	gamma_rank_by_cis_spearman
P1006	0	p1006_pcgamma0_sep_off_ieps0p5_noise0_seed17	0.437179	0.498543	0.365062	0.875782	0.561463	0.750889957	0.54165262	0.0725905448	0.750393569	3.75432897	0.0164561806	-0.015111	-0.018096	-0.011602	-0.045542	-0.058364	0.098280489	0.07089442	-0.582348451	5	5
P1006	0.25	p1006_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	0.438857	0.503976	0.362327	0.898671	0.586205	0.723253071	0.521716833	0.251400173	1.36867046	4.02481794	0.0141599694	-0.013433	-0.012663	-0.014337	-0.022653	-0.033622	0.070643603	0.050958633	-0.403538823	4	3
P1006	0.5	p1006_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	0.449939	0.512146	0.376832	0.900157	0.582439	0.69119221	0.498589754	0.195361316	1.90029037	4.25061798	0.0164561806	-0.002351	-0.004493	0.000168	-0.021167	-0.037388	0.038582742	0.027831554	-0.45957768	2	4
P1006	0.75	p1006_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	0.448798	0.519818	0.365334	0.908706	0.597272	0.66863203	0.482316047	0.68348968	2.11805868	4.21392727	0.0179869881	-0.003492	0.003179	-0.01133	-0.012618	-0.022555	0.016022562	0.011557847	0.028550684	3	2
P1006	1	p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	0.45229	0.516639	0.376664	0.921324	0.619827	0.652609468	0.4707582	0.654938996	2.4321084	4.47344398	0.0145426713	0	0	0	0	0	0	0	0	1	1
P9016	0	p9016_pcgamma0_sep_off_ieps0p5_noise0_seed17	0.410629	0.496261	0.288074	0.87484	0.57727	0.804043949	0.579995096	0.0775339454	0.487044543	3.43938279	0.00956754688	-0.054183	-0.073014	-0.027233	-0.094751	-0.22352	0.19678104	0.141947538	-1.44509007	5	5
P9016	0.25	p9016_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	0.42309	0.504749	0.306223	0.886405	0.607277	0.725981593	0.523685038	0.106479555	1.00029325	3.8365283	0.00841944126	-0.041722	-0.064526	-0.009084	-0.083186	-0.193513	0.118718684	0.08563748	-1.41614447	4	4
P9016	0.5	p9016_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	0.446245	0.536662	0.316842	0.934062	0.727488	0.644453108	0.464874685	0.239052653	2.15219688	4.55422401	0.003061615	-0.018567	-0.032613	0.001535	-0.035529	-0.073302	0.037190199	0.026827127	-1.28357137	3	3
P9016	0.75	p9016_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	0.457318	0.563034	0.306021	0.968989	0.797652	0.617134631	0.445168525	1.12510908	3.51288509	4.96309948	0.00076540375	-0.007494	-0.006241	-0.009286	-0.000602	-0.003138	0.009871722	0.007120967	-0.39751494	2	2
P9016	1	p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	0.464812	0.569275	0.315307	0.969591	0.80079	0.607262909	0.438047558	1.52262402	3.72325063	5.01577425	0.00191350938	0	0	0	0	0	0	0	0	1	1
