key	value
sample	P1006
runner_family	p9016_minimal
runner_version	2026-06-15
default_profile	p9016_softall_minimal_v2
config_name	p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17
git_commit	0ec1ebad10b1d7eea082841b6bfbd93135d9de49
git_dirty_count	10
binary_hash	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f
input_path	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P1006.pairs.gz
input_contact_source	raw_pairs
output_dir	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/work_outputs/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17
n_raw	1961601
n_bpair	421940
n_beads	2633
resolution	1000000
n_iter	100
bin_size_bp	1000000
resolution_label	1Mb
refinement_stage	1m
refinement_stage_index	1
refinement_n_stages	1
parent_bin_size_bp	0
refinement_init_source	unphased_scaffold_split
refinement_child_offset_step	0.0500000007
refinement_parent_anchor_k	0.0500000007
relax_backend	gpu
approved_p9016_raw_pairs_realpath	0
unit	1
d_scale	1
base_k_mode	neighbor_median
base_k_effective	0.933084607
base_k_min	0.246211529
base_k_mean	0.933084607
base_k_max	1
base_k_n_nonfinite	0
init_mode	unphased_scaffold_split
init_eps	0.5
init_noise_scale	0
init_scale	10
init_eps_effective	0.5
init_noise_scale_effective	0
init_scale_effective	0
init_seed	17
scaffold_source	unphased_fdg
scaffold_fdg_n_iter	50
prior_mode	uniform
prior_eps	9.99999997e-07
prior_inter_density	0
prior_observed_inter	0
prior_possible_inter	0
prior_n_distance_bins	0
prior_n_alpha	0
prior_alpha_min	0
prior_alpha_median	0
prior_alpha_max	0
prior_smoothing_method	none
prior_alpha_clamp_min	9.99999997e-07
prior_alpha_clamp_max	0.5
rho_train_mode	constant
rho_train	1
rho_train_floor	0
baseline	softall
mstep_graph_mode	raw_expected_soft_all
training_graph_mode	raw_expected_soft_all
softall_mode	raw_expected_soft_all
training_graph_weighted_filter	1
training_graph_probability_weighted	1
edge_k_probability_weighted	1
dscale_mode	posterior_count
d_scale_mode_input_string	posterior_count
d_scale_posterior_gamma	1
dscale_posterior_gamma	1
dscale_effective_count_formula	n_raw*posterior_prob^1
dscale_probability_weighted	1
legacy_expected_count_alias_used	0
training_graph_dscale_probability_weighted	1
estep_score_mode	fdg_flat
d_scale_mode	posterior_count
d_scale_eps_count	9.99999997e-07
same_bin_filter_enabled	1
n_raw_same_bin_excluded	738184
n_bpair_same_bin_excluded	2565
n_raw_cis	1342925
n_raw_trans	618676
n_bpair_cis	63325
n_bpair_trans	358615
raw_posterior_same_bin_policy	uniform_unknown_rows
copy_labels_are_gauge_only	1
uses_phase_labels	0
uses_charm_or_reference	0
uses_charm_for_training	0
min_sep_unit	1
lambda_sep	1
chr_sep_unit	0
lambda_chr_sep	0
relax_step	0.0120000001
relax_steps	100
temperature_start	1
temperature_end	1
rho_train_start	1
rho_train_end	1
enable_repulsion	1
repulsion_mode	2
repulsion_blocking_mode	current_edge_blocking
repulsion_multiplier	1
k_rel_rep_effective	0.0500000007
write_raw_posterior	0
output_bpair_posterior	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/work_outputs/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p9016_full.bpair_posterior.tsv
output_coords	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/work_outputs/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p9016_full.coords.tsv
output_coords_gz	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/work_outputs/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p9016_full.coords.tsv.gz
output_loop_diag	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/work_outputs/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p9016_full.loop_diag.tsv
output_force_class_diag	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/work_outputs/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p9016_full.force_class_diag.tsv
output_sep_diag	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/work_outputs/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17/p9016_full.sep_diag.tsv
status	OK
final_mean_entropy	0.647177219
final_mean_pU	0.466839701
final_mean_sep	4.50228691
final_min_sep	0.965927005
final_max_sep	12.3583899
final_sum_wedge_k	95543.643037510687
last_training_sum_wedge_k	95543.643037510687
final_refreshed_sum_wedge_k	95552.911530184763
final_refreshed_n_wedges	185685
final_mean_rho_train_bpair	1
final_min_rho_train_bpair	1
final_max_rho_train_bpair	1
final_contact_energy	20646.2363
final_repulsion_energy	18048.4805
final_backbone_energy	357.394501
final_sep_energy	0.00132026814
final_sep_force_l1	0.283618838
posterior_refreshed_after_final_relax	1
posterior_refresh_temperature	1
posterior_refresh_prior_mode	uniform
posterior_refresh_mean_kl	4.7182009372135571e-05
posterior_refresh_top_state_switch_frac	0.00185571413
posterior_refresh_mean_pU_before	0.466874808
posterior_refresh_mean_pU_after	0.466839701
n_bad_iter	0
n_relax_nonfinite_iter	0
n_coord_nonfinite	0
