setting_key	p9016_config	p1006_config	p9016_top1_all	p1006_top1_all	delta_top1_all_p1006_minus_p9016	p9016_top1_cis	p1006_top1_cis	delta_top1_cis	p9016_top1_trans	p1006_top1_trans	delta_top1_trans	p9016_same_cross_cis	p1006_same_cross_cis	delta_same_cross_cis	p9016_cis_spearman	p1006_cis_spearman	delta_cis_spearman	p9016_entropy	p1006_entropy	delta_entropy	p9016_min_sep	p1006_min_sep	delta_min_sep
gamma=0:msep=0:lsep=0	p9016_pcgamma0_sep_off_ieps0p5_noise0_seed17	p1006_pcgamma0_sep_off_ieps0p5_noise0_seed17	0.410629	0.437179	0.02655	0.496261	0.498543	0.002282	0.288074	0.365062	0.076988	0.87484	0.875782	0.000942	0.57727	0.561463	-0.015807	0.804043949	0.750889957	-0.053153992	0.0775339454	0.0725905448	-0.0049434006
gamma=0.25:msep=0:lsep=0	p9016_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	p1006_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	0.42309	0.438857	0.015767	0.504749	0.503976	-0.000773	0.306223	0.362327	0.056104	0.886405	0.898671	0.012266	0.607277	0.586205	-0.021072	0.725981593	0.723253071	-0.002728522	0.106479555	0.251400173	0.144920618
gamma=0.5:msep=0:lsep=0	p9016_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	p1006_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	0.446245	0.449939	0.003694	0.536662	0.512146	-0.024516	0.316842	0.376832	0.05999	0.934062	0.900157	-0.033905	0.727488	0.582439	-0.145049	0.644453108	0.69119221	0.046739102	0.239052653	0.195361316	-0.043691337
gamma=0.5:msep=1:lsep=0.5	p9016_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	p1006_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	0.446251	0.460673	0.014422	0.541675	0.519754	-0.021921	0.309681	0.391239	0.081558	0.942467	0.910969	-0.031498	0.751263	0.614501	-0.136762	0.661850154	0.683582127	0.021731973	0.46203199	0.560481191	0.098449201
gamma=0.5:msep=1:lsep=1	p9016_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	p1006_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	0.45209	0.459843	0.007753	0.547737	0.518706	-0.029031	0.315203	0.390666	0.075463	0.955163	0.916211	-0.038952	0.77686	0.60475	-0.17211	0.638747096	0.675743222	0.036996126	0.544398665	0.627615035	0.08321637
gamma=0.75:msep=0:lsep=0	p9016_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	p1006_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	0.457318	0.448798	-0.00852	0.563034	0.519818	-0.043216	0.306021	0.365334	0.059313	0.968989	0.908706	-0.060283	0.797652	0.597272	-0.20038	0.617134631	0.66863203	0.051497399	1.12510908	0.68348968	-0.4416194
gamma=1:msep=0:lsep=0	p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	0.464812	0.45229	-0.012522	0.569275	0.516639	-0.052636	0.315307	0.376664	0.061357	0.969591	0.921324	-0.048267	0.80079	0.619827	-0.180963	0.607262909	0.652609468	0.045346559	1.52262402	0.654938996	-0.867685024
gamma=1:msep=1:lsep=0.5	p9016_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	p1006_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	0.472694	0.445512	-0.027182	0.56745	0.518317	-0.049133	0.337082	0.35995	0.022868	0.970722	0.926191	-0.044531	0.798876	0.633733	-0.165143	0.597418725	0.64821738	0.050798655	1.38624048	0.941831589	-0.444408891
gamma=1:msep=1:lsep=1	p9016_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	0.467915	0.446884	-0.021031	0.567741	0.521905	-0.045836	0.325045	0.358718	0.033673	0.969877	0.930069	-0.039808	0.794501	0.643198	-0.151303	0.596827805	0.647177219	0.050349414	1.35799825	0.965927005	-0.392071245
gamma=1:msep=1.5:lsep=1	p9016_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	p1006_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	0.46956	0.450686	-0.018874	0.572123	0.527318	-0.044805	0.322774	0.360626	0.037852	0.969722	0.93779	-0.031932	0.796762	0.658392	-0.13837	0.597607255	0.635517478	0.037910223	1.31952798	1.13204575	-0.18748223
