sample	gamma	sep_config_name	base_config_name	min_sep_unit	lambda_sep	top1_all	top1_cis	top1_trans	same_cross_cis	cis_spearman	entropy	pU	min_sep	sep_p05	frac_sep_below_min	delta_top1_all	delta_top1_cis	delta_top1_trans	delta_same_cross_cis	delta_spearman	delta_entropy	delta_pU	delta_min_sep	delta_sep_p05	delta_frac_sep_below_min
P1006	0.5	p1006_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	p1006_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	1	0.5	0.460673	0.519754	0.391239	0.910969	0.614501	0.683582127	0.493100286	0.560481191	1.97284436	0.00493733399	0.010734	0.007608	0.014407	0.010812	0.032062	-0.007610083	-0.005489468	0.365119875	0.07255399	0.00493733399
P1006	0.5	p1006_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	p1006_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	1	1	0.459843	0.518706	0.390666	0.916211	0.60475	0.675743222	0.487445682	0.627615035	2.0245564	0.00531712873	0.009904	0.00656	0.013834	0.016054	0.022311	-0.015448988	-0.011144072	0.432253719	0.12426603	0.00531712873
P1006	1	p1006_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	1	0.5	0.445512	0.518317	0.35995	0.926191	0.633733	0.64821738	0.467589974	0.941831589	2.57705212	0.000379794918	-0.006778	0.001678	-0.016714	0.004867	0.013906	-0.004392088	-0.003168226	0.286892593	0.14494372	0.000379794918
P1006	1	p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	1	1	0.446884	0.521905	0.358718	0.930069	0.643198	0.647177219	0.466839701	0.965927005	2.59566569	0.000759589835	-0.005406	0.005266	-0.017946	0.008745	0.023371	-0.005432249	-0.003918499	0.310988009	0.16355729	0.000759589835
P1006	1	p1006_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	1.5	1	0.450686	0.527318	0.360626	0.93779	0.658392	0.635517478	0.458428979	1.13204575	2.71032453	0.00113938469	-0.001604	0.010679	-0.016038	0.016466	0.038565	-0.01709199	-0.012329221	0.477106754	0.27821613	0.00113938469
P9016	0.5	p9016_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	p9016_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	1	0.5	0.446251	0.541675	0.309681	0.942467	0.751263	0.661850154	0.477423966	0.46203199	2.11252952	0.00873528328	6e-06	0.005013	-0.007161	0.008405	0.023775	0.017397046	0.012549281	0.222979337	-0.03966736	0.00873528328
P9016	0.5	p9016_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	p9016_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	1	1	0.45209	0.547737	0.315203	0.955163	0.77686	0.638747096	0.460758626	0.544398665	2.08213711	0.0113938469	0.005845	0.011075	-0.001639	0.021101	0.049372	-0.005706012	-0.004116059	0.305346012	-0.07005977	0.0113938469
P9016	1	p9016_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	1	0.5	0.472694	0.56745	0.337082	0.970722	0.798876	0.597418725	0.430946529	1.38624048	3.67749	0	0.007882	-0.001825	0.021775	0.001131	-0.001914	-0.009844184	-0.007101029	-0.13638354	-0.04576063	0
P9016	1	p9016_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	1	1	0.467915	0.567741	0.325045	0.969877	0.794501	0.596827805	0.430520266	1.35799825	3.58317113	0	0.003103	-0.001534	0.009738	0.000286	-0.006289	-0.010435104	-0.007527292	-0.16462577	-0.1400795	0
P9016	1	p9016_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	1.5	1	0.46956	0.572123	0.322774	0.969722	0.796762	0.597607255	0.431082517	1.31952798	3.53292322	0.000759589835	0.004748	0.002848	0.007467	0.000131	-0.004028	-0.009655654	-0.006965041	-0.20309604	-0.19032741	0.000759589835
