sample	config_name	status	backend	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	prior_mode	rho_train_mode	d_scale_mode	dscale_mode	dscale_effective_count_formula	d_scale_posterior_gamma	dscale_posterior_gamma	dscale_probability_weighted	edge_k_probability_weighted	d_scale_eps_count	min_sep_unit	lambda_sep	temperature_start	temperature_end	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	sep_p01	sep_p05	sep_p10	sep_median	sep_p90	n_sep_below_min	frac_sep_below_min	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	p90_accuracy_genome_all	p90_recall_genome_all	model_top1_cis_recon_mean_distance	truth_or_ref_top1_cis_mean_distance	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	copytrack_median_projection_run_length
P1006	p1006_pcgamma0_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma0_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma0_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0	0	0	0	1	9.99999997e-07	0	0	1	1	0	0	3.75432897	0.0725905448	11.1789637	0.750889957	0.54165262	26171.1172	20160.123	423.795074	0	0	117514.664	0	0.340993762	0.750393569	1.28277063	3.91167355	5.58598614	0	0	0.437179	0.498543	0.365062	0.725075	0.875782	0.547958	0.561463	NA	NA	NA	NA	0.750393554	3.91167335	0.822825731	0.99415978	0.0164561806	0.0436280138	5
P1006	p1006_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.25	0.25	0.25	1	1	9.99999997e-07	0	0	1	1	0	0	4.02481794	0.251400173	12.1558762	0.723253071	0.521716833	23463.459	19362.5996	381.662323	0	0	111395.555	0	0.601947308	1.36867046	2.13136625	4.0641675	5.73574305	0	0	0.438857	0.503976	0.362327	0.735683	0.898671	0.544135	0.586205	NA	NA	NA	NA	1.36867046	4.06416748	0.899293934	0.994570411	0.0141599694	0.0279372369	10
P1006	p1006_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.5	0.5	0.5	1	1	9.99999997e-07	1	0.5	1	1	0	0	4.35219145	0.560481191	12.1741686	0.683582127	0.493100286	21540.6387	18489.4492	452.769318	0.283006281	6.66163826	104934.555	6.34837424e-05	1.17056143	1.97284436	2.60351205	4.33273125	6.15962553	13	0.00493733399	0.460673	0.519754	0.391239	0.753054	0.910969	0.567466	0.614501	NA	NA	NA	NA	1.97284434	4.33273122	0.919527524	0.994743053	0.0168388825	0.0325296594	6
P1006	p1006_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.5	0.5	0.5	1	1	9.99999997e-07	1	1	1	1	0	0	4.3936553	0.627615035	11.9036398	0.675743222	0.487445682	21777.3652	18715.4863	398.673889	0.488756835	12.6013308	106336	0.000118504841	1.17932415	2.0245564	2.63706493	4.35841846	6.15043497	14	0.00531712873	0.459843	0.518706	0.390666	0.755436	0.916211	0.566489	0.60475	NA	NA	NA	NA	2.02455645	4.35841861	0.927776602	0.995009375	0.0156907769	0.0290853425	5.5
P1006	p1006_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.5	0.5	0.5	1	1	9.99999997e-07	0	0	1	1	0	0	4.25061798	0.195361316	12.0354519	0.69119221	0.498589754	21690.002	18523.1816	429.418304	0	0	105436.289	0	1.05214775	1.90029037	2.51394558	4.26498795	5.91978598	0	0	0.449939	0.512146	0.376832	0.743391	0.900157	0.559155	0.582439	NA	NA	NA	NA	1.90029033	4.26498766	0.915688038	0.994710855	0.0164561806	0.0321469575	7
P1006	p1006_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.75	0.75	0.75	1	1	9.99999997e-07	0	0	1	1	0	0	4.21392727	0.68348968	12.910037	0.66863203	0.482316047	21789.2539	18901.1562	392.957214	0	0	104613.914	0	1.38724089	2.11805868	2.62914276	4.21462727	5.62248898	0	0	0.448798	0.519818	0.365334	0.742543	0.908706	0.547264	0.597272	NA	NA	NA	NA	2.1180588	4.21462747	0.886474961	0.993684629	0.0179869881	0.0302334481	6
P1006	p1006_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^1	1	1	1	1	9.99999997e-07	1	0.5	1	1	0	0	4.50541019	0.941831589	11.5428057	0.64821738	0.467589974	20188.5215	17792.3125	385.922424	0.00177601585	0.184946045	100014.43	1.84919361e-06	1.89247954	2.57705212	3.03197265	4.46132517	5.96043158	1	0.000379794918	0.445512	0.518317	0.35995	0.742198	0.926191	0.525963	0.633733	NA	NA	NA	NA	2.57705206	4.46132531	0.914188337	0.992882406	0.0126291619	0.021431305	10
P1006	p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^1	1	1	1	1	9.99999997e-07	1	1	1	1	0	0	4.50228691	0.965927005	12.3583899	0.647177219	0.466839701	20646.2363	18048.4805	357.394501	0.00132026814	0.283618838	100809.906	2.81340246e-06	1.80649936	2.59566569	3.01327991	4.50283861	5.89913321	2	0.000759589835	0.446884	0.521905	0.358718	0.749922	0.930069	0.538207	0.643198	NA	NA	NA	NA	2.59566586	4.50283826	0.904323614	0.992863785	0.0107156525	0.0191350938	10.5
P1006	p1006_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^1	1	1	1	1	9.99999997e-07	1.5	1	1	1	0	0	4.52591038	1.13204575	12.217968	0.635517478	0.458428979	20753.7227	18109.0586	262.048615	0.190738738	4.03948402	101093.062	3.99580737e-05	1.9549334	2.71032453	3.14015651	4.47122145	5.84499168	3	0.00113938469	0.450686	0.527318	0.360626	0.751945	0.93779	0.533533	0.658392	NA	NA	NA	NA	2.71032458	4.47122164	0.928822039	0.992727604	0.00574052813	0.0126291619	26
P1006	p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P1006/p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P1006/p1006_pcgamma1_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^1	1	1	1	1	9.99999997e-07	0	0	1	1	0	0	4.47344398	0.654938996	13.0639048	0.652609468	0.4707582	20026.623	17621.291	415.36261	0	0	99037.7344	0	1.71321189	2.4321084	2.91131496	4.42492008	5.97433805	0	0	0.45229	0.516639	0.376664	0.75124	0.921324	0.551353	0.619827	NA	NA	NA	NA	2.43210823	4.42492008	0.909706014	0.992458288	0.0145426713	0.021431305	10.5
