radius_slug	radius_pr	condition_name	config_name	status	backend	output_dir	eval_dir	input_pairs	output_pairs_total	output_pairs_cis	output_pairs_trans	candidate_pairs_total	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	d_scale_mode_input_string	d_scale_mode	dscale_mode	d_scale_posterior_gamma	dscale_posterior_gamma	d_scale_eps_count	dscale_effective_count_formula	dscale_probability_weighted	edge_k_probability_weighted	legacy_expected_count_alias_used	min_sep_unit	lambda_sep	prior_mode	rho_train_mode	temperature_start	temperature_end	uses_phase_labels	uses_charm_or_reference	uses_charm_for_training	reference_derived_positive_control	n_raw	n_bpair	n_raw_cis	n_raw_trans	n_raw_same_bin_excluded	final_mean_entropy	final_mean_pU	final_min_sep	final_mean_sep	final_max_sep	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	sep_p01	sep_p05	sep_p10	sep_median	sep_p90	frac_sep_below_min	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	model_pmax90_accuracy_genome_all	model_pmax90_accuracy_genome_cis	model_pmax90_accuracy_genome_trans	model_pmax90_recall_genome_all	model_pmax90_recall_genome_cis	model_pmax90_recall_genome_trans	mean_per_chrom_cis_distance_spearman	charm3dg_top1_accuracy_genome_trans	charm3dg_same_cross_accuracy_genome_trans	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
1pr	1	expected_alias_gamma1_ieps0p5_noise0	p9016_charm3dg20k_1pr_expected_alias_gamma1_ieps0p5_noise0	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_expected_alias_gamma1_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_expected_alias_gamma1_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	expected_count	posterior_count	posterior_count	1	1	0.00100000005	n_raw*posterior_prob^1	1	1	1	0	0	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	0.657830417	0.474524349	0.214008495	2.9273932	9.52829552	8148.25977	5575.82129	360.833893	0	0	0.60140872	0.990421534	1.2168026	2.65021729	5.12407255	0	0.453951	0.468202	0.350884	0.785832	0.819699	0.540892	0.47711	0.48465	0.407045	0.247317	0.258178	0.168766	0.407842	0.00629694	0.980161	0.990421529	2.65021736	0.215982233	0.969935905	0.0394787275	0.0517439632
1pr	1	expected_common_msep1p5_lsep0p5	p9016_charm3dg20k_1pr_expected_common_msep1p5_lsep0p5	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_expected_common_msep1p5_lsep0p5	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_expected_common_msep1p5_lsep0p5	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	1	0.0500000007	10	1	0.0500000007	0	expected_count	posterior_count	posterior_count	1	1	0.00100000005	n_raw*posterior_prob^1	1	1	1	1.5	0.5	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	0.479984224	0.346235424	1.0327388	5.75481367	14.0751266	7603.03516	4838.89795	125.511948	0.515976906	9.6706152	1.70012999	2.64236665	3.22444558	5.65098238	8.45357418	0.00684670964	0.615788	0.638008	0.455087	0.934301	0.98394	0.575298	0.66295	0.690452	0.496824	0.375881	0.382311	0.329376	0.779509	0.00629694	0.980161	2.64236658	5.65098259	0.937851691	0.993138145	0.000766577233	0.00306630893
1pr	1	legacy_raw_ieps0p5_noise0_gpu	p9016_charm3dg20k_1pr_legacy_raw_ieps0p5_noise0_gpu	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_legacy_raw_ieps0p5_noise0_gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_legacy_raw_ieps0p5_noise0_gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	raw_count	raw_count	raw_count	1	1	9.99999997e-07	n_raw	0	1	0	0	0	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	1.13688362	0.820088148	0.0235129036	1.0042218	9.73654461	22178.3301	9507.2002	259.914276	0	0	0.0339150652	0.0531555936	0.0684746802	0.513700604	2.59323335	0	0.341584	0.337529	0.370913	0.586174	0.592419	0.541006	0.42604	0.419701	0.474734	0.0384479	0.0381466	0.0406267	0.182052	0.00629694	0.980161	0.0531555955	0.513700594	-0.595887143	0.836432139	0.126485243	0.186278268
1pr	1	pcgamma0_sep_off_ieps0p5_noise0	p9016_charm3dg20k_1pr_pcgamma0_sep_off_ieps0p5_noise0	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma0_sep_off_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_pcgamma0_sep_off_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	posterior_count	posterior_count	posterior_count	0	0	9.99999997e-07	n_raw*posterior_prob^0	0	1	0	0	0	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	1.13690412	0.82010299	0.0235174764	1.00417507	9.73644352	22178.873	9507.43652	259.897552	0	0	0.0338999406	0.0531769469	0.0685675442	0.513731778	2.59052515	0	0.341589	0.337613	0.370344	0.586293	0.592634	0.540437	0.426646	0.420388	0.474734	0.0385124	0.0382201	0.0406267	0.182051	0.00629694	0.980161	0.0531769465	0.513731804	-0.596156203	0.836377651	0.126485243	0.186278268
1pr	1	pcgamma0p25_sep_off_ieps0p5_noise0	p9016_charm3dg20k_1pr_pcgamma0p25_sep_off_ieps0p5_noise0	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma0p25_sep_off_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_pcgamma0p25_sep_off_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	posterior_count	posterior_count	posterior_count	0.25	0.25	9.99999997e-07	n_raw*posterior_prob^0.25	1	1	0	0	0	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	1.06300151	0.766793489	0.0354474746	1.32257342	10.0956383	15865.9316	8328.10352	328.087128	0	0	0.0500864722	0.0751970187	0.107790969	0.778571665	3.16846037	0	0.344971	0.34718	0.328996	0.601624	0.614044	0.511797	0.424076	0.413948	0.504822	0.0581787	0.0574376	0.0635384	0.194397	0.00629694	0.980161	0.0751970178	0.778571682	-0.553263548	0.873106615	0.114986585	0.177462629
1pr	1	pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0	p9016_charm3dg20k_1pr_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	posterior_count	posterior_count	posterior_count	0.5	0.5	9.99999997e-07	n_raw*posterior_prob^0.5	1	1	0	1	0.5	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	0.939382434	0.677621186	0.218190774	1.7540096	9.16175747	11226.6729	7078.06836	331.85498	85.836113	1145.18201	0.325579643	0.414909959	0.505169034	1.20829427	3.73300171	0.424876392	0.370264	0.370725	0.36693	0.634791	0.651084	0.516956	0.425322	0.418621	0.489253	0.104764	0.106237	0.0941127	0.22355	0.00629694	0.980161	0.414909929	1.2082943	-0.636610833	0.912662814	0.115753162	0.157148333
1pr	1	pcgamma0p5_msep1_lsep1_ieps0p5_noise0	p9016_charm3dg20k_1pr_pcgamma0p5_msep1_lsep1_ieps0p5_noise0	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma0p5_msep1_lsep1_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_pcgamma0p5_msep1_lsep1_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	posterior_count	posterior_count	posterior_count	0.5	0.5	9.99999997e-07	n_raw*posterior_prob^0.5	1	1	0	1	1	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	0.92020905	0.663790524	0.369511008	1.83658063	9.42214394	11049.7744	7007.91943	312.421936	95.60186	1635.22205	0.477058411	0.567346811	0.639676273	1.28866565	3.70708036	0.390262455	0.378341	0.383402	0.341742	0.649877	0.673144	0.481602	0.418368	0.417623	0.425268	0.114523	0.117435	0.0934679	0.239246	0.00629694	0.980161	0.567346827	1.28866562	-0.506610951	0.926981773	0.0981218858	0.139517056
1pr	1	pcgamma0p5_sep_off_ieps0p5_noise0	p9016_charm3dg20k_1pr_pcgamma0p5_sep_off_ieps0p5_noise0	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma0p5_sep_off_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_pcgamma0p5_sep_off_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	posterior_count	posterior_count	posterior_count	0.5	0.5	9.99999997e-07	n_raw*posterior_prob^0.5	1	1	0	0	0	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	0.972646415	0.701616108	0.0474976897	1.59744418	8.90982151	11562.2617	7170.11426	328.930359	0	0	0.0884149894	0.142270133	0.232625648	1.1476692	3.50905824	0	0.35662	0.360193	0.330779	0.619502	0.635706	0.502314	0.423477	0.417778	0.475962	0.0911617	0.0923429	0.0826189	0.216299	0.00629694	0.980161	0.142270136	1.14766925	-0.594765657	0.901012761	0.109237256	0.170946723
1pr	1	pcgamma0p75_sep_off_ieps0p5_noise0	p9016_charm3dg20k_1pr_pcgamma0p75_sep_off_ieps0p5_noise0	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma0p75_sep_off_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_pcgamma0p75_sep_off_ieps0p5_noise0	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	posterior_count	posterior_count	posterior_count	0.75	0.75	9.99999997e-07	n_raw*posterior_prob^0.75	1	1	0	0	0	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	0.803839684	0.579847753	0.0862077996	2.27259207	9.29819489	9000.00195	6158.70312	340.106659	0	0	0.197186947	0.480524004	0.690923393	1.90333295	4.38415384	0	0.41014	0.417935	0.353767	0.706733	0.733839	0.510697	0.444648	0.449019	0.405726	0.16444	0.169932	0.124725	0.305263	0.00629694	0.980161	0.480524008	1.90333292	-0.279109942	0.949822319	0.0689919509	0.103487926
1pr	1	pcgamma1_common_ieps1_noise0p05	p9016_charm3dg20k_1pr_pcgamma1_common_ieps1_noise0p05	OK	gpu	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/outputs/1pr/p9016_charm3dg20k_1pr_pcgamma1_common_ieps1_noise0p05	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_pcgamma1_common_ieps1_noise0p05	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/synthetic_pairs/p9016_charm3dg20k_1pr_contacts.pairs.gz	1265114	1156995	108119	1570156	unphased_scaffold_split	17	1	0.0500000007	10	1	0.0500000007	0	posterior_count	posterior_count	posterior_count	1	1	9.99999997e-07	n_raw*posterior_prob^1	1	1	0	0	0	uniform	constant	1	1	0	1	1	1	1265114	58703	1156995	108119	299	0.478756875	0.345350087	0.804342091	5.80347681	14.5525618	7554.60791	4803.67383	125.191666	0	0	1.68139267	2.59928226	3.25821805	5.76100445	8.46582794	0	0.616042	0.63827	0.455277	0.932407	0.983541	0.56259	0.66645	0.694665	0.497296	0.377364	0.383722	0.331386	0.77942	0.00629694	0.980161	2.59928214	5.76100457	0.936260423	0.993230273	0.000766577233	0.00306630893
