contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	17831	8278.25578	3304.10794	6608.21588	468.4423	1.69956547	1.66954332	0.856414841	0.508209543	0.71723522
cis	00	repulsive	3151	681.896864	116.293324	232.586647	8.89802983	0.41472807	0.336375431	0.343803887	0.844069224	0.631039165
cis	00	tail_attractive	3070	1728.91988	2176.70054	4353.40109	1291.10614	2.38785097	2.24382179	0.898076622	0.37957584	0.852770407
cis	00	zero_force	23399	10515.7628	0	0	0	1.07112688	1.09010005	0.742072926	0.71371435	0.679439781
cis	01	quadratic_attractive	1012	77.151352	26.7025565	53.4051131	3.45611725	1.67305307	1.64683311	2.36572827	1.42426276	0.228844676
cis	01	repulsive	34655	0.627643945	0.120460701	0.240921402	0.00980069837	0.404037391	0.0832589707	5.16420312	13.7125343	0.000171753814
cis	01	tail_attractive	367	32.3521071	43.0304419	86.0608838	64.8602676	3.24968864	2.50769572	2.11903389	0.716367512	0.593399648
cis	01	zero_force	11417	199.404101	0	0	0	1.25130766	0.887937523	2.71519114	2.27621243	0.158952166
cis	10	quadratic_attractive	1282	105.655577	34.1442316	68.2884633	4.3384715	1.66158272	1.64533542	2.33981276	1.41340445	0.234516328
cis	10	repulsive	34085	0.969116374	0.17712936	0.354258719	0.0121390505	0.408612957	0.0817022173	3.61415216	9.48077271	0.120489496
cis	10	tail_attractive	439	32.5304539	43.496715	86.9934301	65.1172057	3.24933179	2.42401642	2.43989418	0.841629086	0.48964444
cis	10	zero_force	11645	232.919223	0	0	0	1.26654728	0.903414334	2.60724486	2.15143645	0.168090866
cis	11	quadratic_attractive	18386	8603.1887	3441.44589	6882.89179	489.71772	1.7000099	1.67050504	0.859573865	0.510003271	0.722329043
cis	11	repulsive	2037	663.919166	117.013758	234.027516	8.90898782	0.411876502	0.394943494	0.339919916	0.834101519	0.657000446
cis	11	tail_attractive	3335	2057.91001	2587.27662	5174.55325	1544.8045	2.39017687	2.2334543	0.880696587	0.372712761	0.87341285
cis	11	zero_force	23693	11091.5865	0	0	0	1.07074407	1.09461727	0.742706182	0.714106241	0.692457362
trans	00	quadratic_attractive	1847	300.457211	153.506361	307.012721	25.7127037	1.75545461	1.76398936	1.26553259	0.720386725	0.835522787
trans	00	repulsive	953	3.63761307	0.305683123	0.611366246	0.0122392305	0.457983007	0.192040243	0.41368872	0.907625273	0.847304148
trans	00	tail_attractive	6090	567.460076	776.517393	1553.03479	1080.88801	3.19505162	2.8936501	2.34760141	0.766189439	0.683199929
trans	00	zero_force	2234	264.688225	0	0	0	1.13820866	1.106928	0.985190334	0.870878468	0.835276565
trans	01	quadratic_attractive	1740	290.123452	142.811586	285.623171	23.527012	1.7461221	1.7568732	1.24823366	0.713897413	0.845002851
trans	01	repulsive	1094	5.5351494	0.762878465	1.52575693	0.0423036426	0.431087816	0.190075318	0.372378062	0.855644695	0.906256782
trans	01	tail_attractive	6055	540.279302	743.117912	1486.23582	1128.60715	3.32048359	2.93115207	2.43607355	0.772273227	0.693914787
trans	01	zero_force	2235	234.395684	0	0	0	1.13231279	1.06937137	0.961617849	0.858357523	0.840572652
trans	10	quadratic_attractive	1888	306.614016	159.60826	319.216519	27.1177515	1.76027554	1.77743416	1.34124101	0.76256113	0.81845964
trans	10	repulsive	802	3.4232639	0.260911301	0.521822602	0.0107729863	0.461891442	0.204994125	0.413264387	0.901288943	0.753879356
trans	10	tail_attractive	6406	624.016499	857.541889	1715.08378	1191.42965	3.19950529	2.92769884	2.29297846	0.750959443	0.695997025
trans	10	zero_force	2028	237.643398	0	0	0	1.1477597	1.10338849	1.0299461	0.903659331	0.803057442
trans	11	quadratic_attractive	1732	231.165495	117.709786	235.419572	19.777976	1.75460068	1.76148553	1.36365815	0.778832445	0.805153512
trans	11	repulsive	1180	3.80493945	0.747891037	1.49578207	0.060868254	0.401721033	0.181287805	0.318762238	0.842119934	0.825638441
trans	11	tail_attractive	5808	499.112659	688.698688	1377.39738	1031.39939	3.30657497	2.95236066	2.44447214	0.775623	0.689203051
trans	11	zero_force	2404	193.652229	0	0	0	1.13817144	1.06976707	1.05624523	0.929232554	0.765427468
