contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	14336	7181.71371	2504.41599	5008.83198	335.993226	1.67436061	1.62344761	0.766437214	0.462570714	0.753221475
cis	00	repulsive	3586	857.922435	148.928231	297.856463	10.7237108	0.41320414	0.349032441	0.352892727	0.867378042	0.624112666
cis	00	tail_attractive	1725	950.370753	1178.62751	2357.25502	652.557625	2.34304238	2.22183319	0.858176976	0.36897524	0.858205784
cis	00	zero_force	27676	12206.4681	0	0	0	1.06971287	1.10428455	0.724555819	0.697852641	0.673796301
cis	01	quadratic_attractive	24	12.9566269	5.99078389	11.9815678	0.889557786	1.73118609	1.71224527	0.842225582	0.492452721	0.77459668
cis	01	repulsive	18	0.367634184	0.0609390977	0.121878195	0.00252902507	0.417119925	0.317169893	0.396657954	0.95345254	0.402761029
cis	01	tail_attractive	19	13.6483492	18.7044972	37.4089944	17.9175119	2.79663042	2.51339934	0.948618571	0.345012015	0.887617509
cis	01	zero_force	57	9.07069974	0	0	0	1.19120968	0.935369536	1.11297567	0.947553953	0.575550758
cis	10	quadratic_attractive	23	10.235229	4.51262589	9.02525177	0.742851301	1.72044577	1.69368778	1.01598893	0.590799102	0.773255407
cis	10	repulsive	23	0.000589503391	0.000105459585	0.00021091917	7.49134406e-06	0.410552181	0.194582131	3.99795585	10.1210855	0.000123731308
cis	10	tail_attractive	20	11.7626313	15.2314356	30.4628711	10.4567258	2.49314334	2.47297339	0.967700945	0.390676128	0.79864566
cis	10	zero_force	52	11.7822372	0	0	0	1.17110851	1.1162873	1.00436085	0.880066403	0.628954016
cis	11	quadratic_attractive	14630	7462.22688	2641.49059	5282.98119	358.685865	1.67699077	1.62262428	0.766733586	0.462238439	0.761561711
cis	11	repulsive	2506	857.877841	147.758475	295.516949	10.5551612	0.413881402	0.400794094	0.346028244	0.846000731	0.649565033
cis	11	tail_attractive	1867	1147.70825	1417.57458	2835.14915	778.02463	2.33603694	2.20266248	0.827914154	0.356968862	0.878817584
cis	11	zero_force	28320	12927.1245	0	0	0	1.07048273	1.10906882	0.724889634	0.698063578	0.686364788
trans	00	quadratic_attractive	1153	288.017026	138.410941	276.821882	22.5524245	1.74028257	1.75329427	1.1037996	0.635828581	0.880105582
trans	00	repulsive	348	3.44246177	0.313357453	0.626714905	0.0117319028	0.45448643	0.205388243	0.437431548	0.963792867	0.79657263
trans	00	tail_attractive	2678	401.893429	545.712183	1091.42437	724.478461	3.12388468	2.86315336	1.80761671	0.596208103	0.808305721
trans	00	zero_force	1325	290.550675	0	0	0	1.12086734	1.11889057	0.933507979	0.844582756	0.845243128
trans	01	quadratic_attractive	1154	283.418085	137.273221	274.546442	22.6587495	1.74217442	1.74984065	1.11972946	0.644736924	0.874915555
trans	01	repulsive	523	6.16522553	0.584786797	1.16957359	0.030907392	0.452573771	0.178586343	0.397370871	0.888865219	0.900220132
trans	01	tail_attractive	2493	382.11307	521.604978	1043.20996	764.236478	3.25798974	2.82862309	1.8697958	0.598443788	0.816443552
trans	01	zero_force	1450	271.88706	0	0	0	1.13004465	1.09278552	0.920888489	0.829334698	0.845365772
trans	10	quadratic_attractive	1289	303.014257	150.925969	301.851937	25.0340506	1.74904104	1.75152409	1.19093209	0.684472779	0.853162719
trans	10	repulsive	425	4.22046103	0.607522839	1.21504568	0.032311989	0.428026484	0.18606511	0.379716919	0.902377591	0.764352055
trans	10	tail_attractive	2524	430.479372	587.481514	1174.96303	790.960303	3.14846117	2.83059189	1.72865002	0.56836764	0.826670772
trans	10	zero_force	1382	276.080758	0	0	0	1.12924896	1.11997972	0.973203543	0.87021157	0.817340226
trans	11	quadratic_attractive	1003	216.011445	107.323088	214.646175	17.678432	1.74841991	1.76341178	1.17566645	0.673722371	0.864441801
trans	11	repulsive	542	5.0248996	0.795789268	1.59157854	0.0606695082	0.420815406	0.165478025	0.351671758	0.860226496	0.835418992
trans	11	tail_attractive	2569	362.212111	497.422142	994.844283	716.401723	3.24534486	2.92025157	1.90345466	0.607449104	0.81030799
trans	11	zero_force	1390	209.756512	0	0	0	1.12091476	1.10630455	0.990463148	0.889906527	0.788260945
