contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	13885	7034.45906	2439.52574	4879.05148	326.408654	1.67339825	1.62226388	0.756724503	0.456818144	0.756832054
cis	00	repulsive	3706	888.487737	157.107455	314.21491	11.5458031	0.411587156	0.348250327	0.350023247	0.86421736	0.623318395
cis	00	tail_attractive	1682	935.514756	1156.50195	2313.0039	634.646606	2.33665412	2.20986408	0.848621214	0.365495512	0.860688705
cis	00	zero_force	28168	12344.1297	0	0	0	1.06905141	1.10677577	0.72522381	0.698255935	0.672667646
cis	01	quadratic_attractive	589	42.7323051	15.2982512	30.5965024	2.21642462	1.67900101	1.64420952	1.98824179	1.20197959	0.366671342
cis	01	repulsive	35417	1.27348474	0.201317459	0.402634917	0.0144499879	0.42095804	0.0795565453	3.36410386	8.85388944	0.116450914
cis	01	tail_attractive	263	19.2052936	25.6657458	51.3314917	44.7007	3.46730811	2.55488627	2.24975528	0.717782113	0.57724276
cis	01	zero_force	11182	246.324121	0	0	0	1.16600023	0.858452016	2.34571978	2.10750214	0.169070328
cis	10	quadratic_attractive	715	54.3758313	17.3439496	34.6878993	2.35369648	1.65948216	1.64472225	2.00131335	1.21525681	0.338450796
cis	10	repulsive	34805	1.46448177	0.310453905	0.620907811	0.0262528269	0.394005541	0.0781122797	3.02822908	8.00578279	0.130527879
cis	10	tail_attractive	302	17.44315	23.4260941	46.8521881	41.5981354	3.50579203	2.50244876	2.690616	0.886028036	0.446449263
cis	10	zero_force	11629	298.790908	0	0	0	1.17987874	0.878643762	2.25241037	1.98718054	0.179364547
cis	11	quadratic_attractive	14339	7360.24572	2591.00067	5182.00134	351.367771	1.67601319	1.62393346	0.762589373	0.459832636	0.764670915
cis	11	repulsive	2591	903.001181	153.532404	307.064807	11.0486994	0.414987706	0.402550437	0.344896947	0.841720915	0.650694673
cis	11	tail_attractive	1858	1147.51399	1414.97028	2829.94055	770.790804	2.3314467	2.20165438	0.825894619	0.356735816	0.880320905
cis	11	zero_force	28653	13003.5994	0	0	0	1.06993482	1.11087869	0.72444689	0.697771024	0.684571885
trans	00	quadratic_attractive	2272	337.136355	168.023902	336.047804	27.8458714	1.7491928	1.7635895	1.31390015	0.751342306	0.795389766
trans	00	repulsive	1007	6.18931428	0.526689922	1.05337984	0.0207045588	0.457451674	0.190766999	0.392555911	0.861203303	0.823305541
trans	00	tail_attractive	5267	479.470299	652.320992	1304.64198	856.260406	3.11314337	2.80385132	2.21930729	0.74127997	0.689891879
trans	00	zero_force	2578	313.447156	0	0	0	1.13091639	1.09845614	0.966158608	0.864526508	0.825862961
trans	01	quadratic_attractive	2063	312.685239	149.27212	298.544239	24.2622153	1.7386939	1.75897041	1.27762758	0.735247	0.819376427
trans	01	repulsive	1156	5.90342603	0.703799104	1.40759821	0.0416524853	0.440390622	0.196757752	0.377145418	0.873248608	0.870109394
trans	01	tail_attractive	5394	466.499892	637.011825	1274.02365	898.6705	3.20877745	2.83062513	2.31319837	0.756371219	0.693437801
trans	01	zero_force	2511	285.24503	0	0	0	1.12780842	1.06918465	0.945126692	0.849760316	0.831823816
trans	10	quadratic_attractive	2269	339.50872	167.854257	335.708515	27.692625	1.74720169	1.761835	1.36563944	0.781895212	0.782592653
trans	10	repulsive	868	4.72576045	0.581799673	1.16359935	0.0337147219	0.438443804	0.20671621	0.376068918	0.870494879	0.770234144
trans	10	tail_attractive	5624	530.207078	721.924803	1443.84961	922.327509	3.08202323	2.80300795	2.15372518	0.72721013	0.701695527
trans	10	zero_force	2363	297.255618	0	0	0	1.12806033	1.09424751	0.998466959	0.891862323	0.798322821
trans	11	quadratic_attractive	2002	254.184605	123.547262	247.094523	20.1876158	1.74302664	1.75894374	1.37165815	0.785557526	0.780002417
trans	11	repulsive	1247	5.35203143	0.870180181	1.74036036	0.0636718868	0.418705617	0.18863428	0.333502416	0.81804822	0.845892129
trans	11	tail_attractive	5163	433.501045	593.952668	1187.90534	825.42511	3.19494156	2.854549	2.31420548	0.75448505	0.694826491
trans	11	zero_force	2712	234.69764	0	0	0	1.12117844	1.07819626	1.04665995	0.933923785	0.75621578
