contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	13739	6935.28266	2530.69872	5061.39745	348.913669	1.68245102	1.63807792	0.769728318	0.46178761	0.75553654
cis	00	repulsive	3718	884.714192	159.054483	318.108966	11.9434446	0.41010968	0.345617285	0.350912373	0.868121572	0.625429051
cis	00	tail_attractive	1976	1139.62276	1413.647	2827.294	790.895347	2.34813136	2.20985525	0.851781498	0.365537119	0.862569217
cis	00	zero_force	28008	12242.9717	0	0	0	1.06646023	1.10187275	0.724788892	0.698797814	0.670605944
cis	01	quadratic_attractive	487	31.3670059	11.4053256	22.8106513	1.61314376	1.6818045	1.66199929	1.94715345	1.16978948	0.397116201
cis	01	repulsive	35645	2.33962859	0.247896613	0.495793227	0.0168264728	0.44702223	0.0782906495	2.04820424	5.36480758	0.461415839
cis	01	tail_attractive	249	19.9283272	26.3021196	52.6042391	42.6962631	3.33845808	2.52322076	2.0815217	0.672782873	0.604403093
cis	01	zero_force	11070	255.900243	0	0	0	1.12088913	0.843866417	2.23745903	2.08245442	0.16791151
cis	10	quadratic_attractive	596	45.2338455	15.0422445	30.084489	2.05582149	1.66627201	1.65833042	1.95434869	1.18047548	0.362563857
cis	10	repulsive	35102	2.04298812	0.442886044	0.885772087	0.0462916099	0.391608267	0.0770882484	2.49221065	6.57647374	0.181217452
cis	10	tail_attractive	280	15.704577	20.9042963	41.8085926	38.9416934	3.56692691	2.4672749	2.68956546	0.871148743	0.446153664
cis	10	zero_force	11473	309.09296	0	0	0	1.13704004	0.863517937	2.14998429	1.96218443	0.181814685
cis	11	quadratic_attractive	14441	7375.28995	2720.61356	5441.22712	379.0274	1.68444113	1.63708457	0.775967649	0.465244647	0.761819312
cis	11	repulsive	2574	887.17016	155.536919	311.073838	11.4813873	0.412340988	0.401819499	0.346196659	0.849008699	0.648947631
cis	11	tail_attractive	2101	1322.78319	1647.28727	3294.57454	928.809807	2.354644	2.22006839	0.830028262	0.355267213	0.882289714
cis	11	zero_force	28325	12829.117	0	0	0	1.06887254	1.10850801	0.7262226	0.699423003	0.683319024
trans	00	quadratic_attractive	857	183.614981	97.0212847	194.042569	16.2181309	1.76419763	1.76288251	0.626373216	0.356103769	0.888672427
trans	00	repulsive	619	0.557826487	0.075674801	0.151349602	0.00344242608	0.432169946	0.211088797	0.100623695	0.245546875	0.897617267
trans	00	tail_attractive	8631	857.29886	1221.01996	2442.03993	3095.8738	4.35524323	4.2007013	1.68564773	0.392803939	0.720880299
trans	00	zero_force	1017	94.7714568	0	0	0	1.16669979	1.05697367	0.495459518	0.424671701	0.856939677
trans	01	quadratic_attractive	803	157.950325	84.895613	169.791226	14.7979451	1.7687415	1.76107585	0.580085209	0.329271416	0.907610672
trans	01	repulsive	700	3.11232039	0.484077421	0.968154842	0.0315692452	0.422232071	0.215196817	0.186416923	0.440119817	0.910783123
trans	01	tail_attractive	8474	810.530548	1156.40088	2312.80176	3149.49715	4.53978882	4.36715529	1.7564459	0.396601368	0.727182039
trans	01	zero_force	1147	98.740394	0	0	0	1.17486717	1.03877721	0.480503715	0.408249085	0.876140955
trans	10	quadratic_attractive	747	159.283274	85.0653145	170.130629	14.5937501	1.76702526	1.75802587	0.657944164	0.373850493	0.863453406
trans	10	repulsive	510	2.21361834	0.571124577	1.14224915	0.0503686114	0.370997505	0.21335447	0.139987418	0.372487045	0.836421093
trans	10	tail_attractive	8929	924.279972	1325.00648	2650.01297	3410.76538	4.41100914	4.33000357	1.6851626	0.392787323	0.723345541
trans	10	zero_force	938	85.9203123	0	0	0	1.20158803	1.04901449	0.514837788	0.427260878	0.823179645
trans	11	quadratic_attractive	829	118.34215	64.6223545	129.244709	11.0725818	1.77303186	1.77082197	0.653285943	0.367619099	0.843627904
trans	11	repulsive	777	2.62150967	0.473144774	0.946289548	0.0332263529	0.409757195	0.208462933	0.109104982	0.255497974	0.949050811
trans	11	tail_attractive	8380	743.965792	1066.98711	2133.97423	2939.39054	4.5858549	4.31495021	1.80471679	0.406645908	0.711098024
trans	11	zero_force	1138	62.8058701	0	0	0	1.17913736	1.03441848	0.536066861	0.453015582	0.79808823
