contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	14025	7104.49547	2468.21641	4936.43282	330.004381	1.67370807	1.62185862	0.760273304	0.458867057	0.755388952
cis	00	repulsive	2856	886.279564	153.175892	306.351783	11.1142296	0.41358489	0.388174283	0.35024522	0.860412851	0.626773145
cis	00	tail_attractive	1665	950.272934	1175.5124	2351.02481	646.880287	2.33840256	2.2103376	0.845726243	0.364130726	0.863091288
cis	00	zero_force	27087	12219.2666	0	0	0	1.06983962	1.10644239	0.722062369	0.695681264	0.674141286
cis	01	quadratic_attractive	218	40.1796782	12.9543647	25.9087294	1.73807632	1.66120543	1.59945372	1.6298536	1.00041491	0.390564022
cis	01	repulsive	203	0.382056116	0.0446572596	0.0893145192	0.00137141203	0.441556675	0.209845879	0.505599972	1.16364989	0.387567522
cis	01	tail_attractive	64	17.7988227	23.6912451	47.3824902	44.4047456	3.57784301	2.54730549	1.71246416	0.490169133	0.686411198
cis	01	zero_force	564	64.3218696	0	0	0	1.21903103	1.17183099	1.49882434	1.23270869	0.358040701
cis	10	quadratic_attractive	278	50.1516146	15.4633228	30.9266457	2.10111621	1.65416575	1.60843003	1.63558718	1.00633859	0.388427449
cis	10	repulsive	224	0.585215774	0.106273108	0.212546217	0.00798024613	0.409201774	0.221653788	0.637402528	1.56109721	0.326265477
cis	10	tail_attractive	45	11.0359649	14.7866036	29.5732072	11.1904227	2.58689092	2.36914274	1.41479646	0.554342785	0.634452909
cis	10	zero_force	696	75.1380777	0	0	0	1.21360969	1.1338329	1.45874267	1.20254616	0.364196407
cis	11	quadratic_attractive	14641	7461.01817	2628.34169	5256.68338	356.521397	1.67613827	1.62309556	0.767012083	0.462504071	0.761157191
cis	11	repulsive	2444	887.061196	150.670457	301.340914	10.8563047	0.415073245	0.405870261	0.343558	0.838466421	0.652764937
cis	11	tail_attractive	1886	1170.54426	1444.50389	2889.00777	789.10964	2.33329433	2.20545619	0.827339967	0.357060054	0.880801781
cis	11	zero_force	27996	12869.0763	0	0	0	1.07023743	1.10895283	0.723819442	0.697459112	0.686444181
trans	00	quadratic_attractive	1429	324.08039	158.147514	316.295028	25.9568064	1.74399427	1.76532014	1.21120348	0.694229627	0.821963852
trans	00	repulsive	128	5.00756626	0.458430054	0.916860107	0.0191268592	0.454226262	0.26313323	0.372171005	0.825060475	0.840382076
trans	00	tail_attractive	3139	454.153043	615.204944	1230.40989	810.620044	3.11109736	2.74921948	1.94315262	0.650189884	0.740559554
trans	00	zero_force	1295	301.465611	0	0	0	1.12696142	1.14599068	0.950997291	0.854994657	0.830239792
trans	01	quadratic_attractive	1158	304.853696	149.684417	299.368834	24.9186493	1.74550205	1.7568088	1.1761075	0.675709032	0.847578727
trans	01	repulsive	130	4.85583532	0.671329666	1.34265933	0.0380067649	0.430873926	0.262378227	0.338090276	0.812881435	0.885483282
trans	01	tail_attractive	2678	419.139384	573.982073	1147.96415	828.790254	3.24380818	2.82106162	1.95887656	0.635054659	0.759997274
trans	01	zero_force	1068	277.602159	0	0	0	1.12511053	1.14747997	0.918243499	0.830648521	0.84038021
trans	10	quadratic_attractive	1524	329.169306	161.973369	323.946737	26.6575501	1.74603352	1.76009429	1.28176972	0.735493426	0.807786783
trans	10	repulsive	193	4.71559947	0.577154161	1.15430832	0.0300018223	0.438803734	0.281577565	0.361400945	0.840380102	0.777811328
trans	10	tail_attractive	3401	495.996726	675.310364	1350.62073	865.666449	3.0857503	2.71766762	1.88563701	0.640762487	0.74793816
trans	10	zero_force	1367	288.588303	0	0	0	1.12773384	1.14243813	0.983296785	0.879739401	0.80423479
trans	11	quadratic_attractive	1063	240.296309	114.605887	229.211773	18.523195	1.73846785	1.74441635	1.23826255	0.712043543	0.815328892
trans	11	repulsive	108	6.30572623	0.915251165	1.83050233	0.0616260804	0.427426982	0.316327502	0.344397679	0.821750476	0.852429429
trans	11	tail_attractive	2477	399.737236	546.570155	1093.14031	769.003429	3.20743465	2.82937412	1.93067914	0.626433076	0.762946185
trans	11	zero_force	1090	221.250306	0	0	0	1.120418	1.14714089	1.01637513	0.909502701	0.76350043
