contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	17150	8091.19255	3136.64059	6273.28118	442.130254	1.69383055	1.65504854	0.836434874	0.498925816	0.723664458
cis	00	repulsive	3185	689.480426	118.797157	237.594313	8.7088714	0.413850233	0.338899181	0.350677777	0.86015793	0.625406196
cis	00	tail_attractive	2750	1588.70481	1994.50539	3989.01078	1162.01996	2.37665445	2.23734927	0.879934782	0.373633204	0.858311835
cis	00	zero_force	24238	10827.0972	0	0	0	1.0712115	1.09371694	0.740820303	0.712251204	0.677469676
cis	01	quadratic_attractive	22	11.2206609	5.95703588	11.9140718	0.934852134	1.76544942	1.78469352	0.939283266	0.537936475	0.733995792
cis	01	repulsive	18	0.367634184	0.00797322834	0.0159464567	5.17120787e-05	0.48915603	0.335255657	0.464589817	0.95345254	0.402761029
cis	01	tail_attractive	23	16.2956209	22.3057074	44.6114148	23.0267156	2.86491338	2.57464816	0.985198686	0.354034298	0.888105329
cis	01	zero_force	55	8.15939405	0	0	0	1.26512907	1.00200846	1.19778022	0.965652168	0.571510132
cis	10	quadratic_attractive	23	9.47841604	4.99177851	9.98355703	0.925360564	1.76332345	1.6672243	1.01734594	0.584156875	0.76565733
cis	10	repulsive	23	0.000589503391	9.3491078e-05	0.000186982156	6.27202539e-06	0.420703528	0.202422941	4.09767202	10.1210855	0.000123731308
cis	10	tail_attractive	22	13.0212183	17.4547672	34.9095345	14.0433552	2.63182406	2.61005312	1.0813058	0.420305132	0.792361256
cis	10	zero_force	50	11.2804633	0	0	0	1.19599954	1.10778052	1.03609316	0.886641579	0.633340875
cis	11	quadratic_attractive	17653	8411.24913	3283.58689	6567.17377	466.063844	1.69519021	1.6532976	0.840938233	0.50122441	0.730269615
cis	11	repulsive	2099	681.580891	117.991872	235.983744	8.61410639	0.413442503	0.394979609	0.341952927	0.836761536	0.653325283
cis	11	tail_attractive	2986	1890.76812	2376.94472	4753.88943	1406.53514	2.38546592	2.23158758	0.861084921	0.364740608	0.881006397
cis	11	zero_force	24585	11411.3393	0	0	0	1.06998348	1.09901885	0.740811963	0.712699891	0.689488784
trans	00	quadratic_attractive	1068	266.852996	132.169821	264.339643	21.7504625	1.74764538	1.7544792	1.15398489	0.662242143	0.877150427
trans	00	repulsive	342	2.91530552	0.19430663	0.38861326	0.00634399542	0.46667474	0.197784155	0.448351966	0.96645345	0.756746952
trans	00	tail_attractive	2912	463.653974	633.255125	1266.51025	865.216793	3.16839718	2.89463133	1.81960768	0.593388895	0.819688141
trans	00	zero_force	1182	250.481317	0	0	0	1.13727604	1.13322085	0.97573125	0.865483952	0.839736287
trans	01	quadratic_attractive	1066	263.933989	128.485087	256.970174	21.1079078	1.74340383	1.7524212	1.16762656	0.671232513	0.872826169
trans	01	repulsive	514	4.37694587	0.526324902	1.0526498	0.0289817231	0.439875324	0.178941372	0.384272466	0.86706984	0.874053398
trans	01	tail_attractive	2728	448.719097	613.345499	1226.691	920.501414	3.29306724	2.85323814	1.87549386	0.595639747	0.825885298
trans	01	zero_force	1312	226.553408	0	0	0	1.1368602	1.09730806	0.963595147	0.856917598	0.841082185
trans	10	quadratic_attractive	1205	276.576485	141.031311	282.062621	23.9947178	1.75495897	1.75582574	1.25644454	0.719085201	0.846340735
trans	10	repulsive	415	3.34999552	0.314134305	0.62826861	0.0124486922	0.45311422	0.184096661	0.405217679	0.906682684	0.721301135
trans	10	tail_attractive	2785	507.732319	695.098343	1390.19669	979.644294	3.21181967	2.88624021	1.7575629	0.571848717	0.835496685
trans	10	zero_force	1215	226.136048	0	0	0	1.14825666	1.12597232	1.02962642	0.901524372	0.8073018
trans	11	quadratic_attractive	920	197.308581	101.486452	202.972904	16.9648924	1.75717699	1.76271509	1.23638896	0.706899429	0.85546323
trans	11	repulsive	530	3.63463883	0.729024963	1.45804993	0.0515945272	0.399711499	0.165776349	0.359877011	0.913845559	0.810547724
trans	11	tail_attractive	2773	410.66564	565.708409	1131.41682	850.332353	3.30885645	2.96366177	1.93347149	0.608474815	0.81844215
trans	11	zero_force	1281	181.396109	0	0	0	1.1334993	1.12226384	1.02039233	0.903353917	0.782437403
