contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	16516	7812.20436	3110.5973	6221.19459	446.840536	1.69908576	1.6612066	0.839670269	0.499287163	0.724962646
cis	00	repulsive	3264	695.877151	125.60821	251.216419	9.50592268	0.409748287	0.335548081	0.344924694	0.855802233	0.625780087
cis	00	tail_attractive	2952	1737.80605	2189.15015	4378.30029	1297.13589	2.38773228	2.24141694	0.883652266	0.373874623	0.859960977
cis	00	zero_force	24709	10956.7037	0	0	0	1.0720429	1.09604161	0.741195144	0.711602265	0.674740406
cis	01	quadratic_attractive	584	42.6684857	15.0479317	30.0958634	2.09085069	1.67633543	1.65473469	2.00362766	1.2072344	0.368147473
cis	01	repulsive	35316	1.15909925	0.169043821	0.338087642	0.013354189	0.427079661	0.0804743468	3.61816954	9.47603906	0.075038262
cis	01	tail_attractive	274	22.1597734	29.9819388	59.9638776	49.2162049	3.39943222	2.56569637	2.12676107	0.680666558	0.597745812
cis	01	zero_force	11277	243.547846	0	0	0	1.16118957	0.863675308	2.37195243	2.12678756	0.162218815
cis	10	quadratic_attractive	734	55.549385	18.6433745	37.2867491	2.57591265	1.66780901	1.64806215	2.09153246	1.26507288	0.317406317
cis	10	repulsive	34729	1.43878338	0.405504439	0.811008879	0.0523707136	0.359080788	0.0789642189	2.96519624	7.95507536	0.1328538
cis	10	tail_attractive	319	19.3812974	25.5695036	51.1390072	44.3454741	3.43636248	2.49736981	2.60674381	0.866221159	0.465775784
cis	10	zero_force	11669	295.704905	0	0	0	1.17449724	0.883234114	2.25694684	1.99017118	0.179653644
cis	11	quadratic_attractive	17307	8222.07093	3297.32415	6594.64829	476.300273	1.70051664	1.66179468	0.848780481	0.504182549	0.72908301
cis	11	repulsive	2125	691.654352	122.295405	244.590809	9.12717252	0.411592109	0.392738849	0.339790445	0.83536082	0.651869277
cis	11	tail_attractive	3253	2059.22173	2594.54528	5189.09056	1561.03695	2.39578695	2.23776592	0.869009221	0.36695876	0.877358049
cis	11	zero_force	24756	11441.4133	0	0	0	1.07256629	1.10336329	0.742049305	0.712201815	0.688350957
trans	00	quadratic_attractive	744	148.53315	85.8161186	171.632237	15.2533578	1.78887867	1.77876811	0.657690562	0.368478582	0.886052797
trans	00	repulsive	596	0.103534717	0.0455683246	0.0911366493	0.00501902447	0.279936982	0.214980747	0.155965252	0.54506638	0.461532947
trans	00	tail_attractive	8867	923.274647	1327.87132	2655.74264	3651.79327	4.58995069	4.41199739	1.74503597	0.389962122	0.732859859
trans	00	zero_force	917	64.3317935	0	0	0	1.16885676	1.03897779	0.507340086	0.430428324	0.848890379
trans	01	quadratic_attractive	693	120.158972	66.2281517	132.456303	11.3225315	1.77558555	1.77117316	0.626945812	0.355868426	0.896681987
trans	01	repulsive	683	2.64270046	0.316202651	0.632405301	0.0140018381	0.44017433	0.218993317	0.154532732	0.351369562	0.955936007
trans	01	tail_attractive	8707	878.619423	1260.14178	2520.28357	3686.94299	4.75008487	4.54984066	1.79932935	0.390533686	0.740673191
trans	01	zero_force	1041	68.9124927	0	0	0	1.19294935	1.03231467	0.49023867	0.411053057	0.886128443
trans	10	quadratic_attractive	638	118.987255	64.3203909	128.640782	11.1738432	1.77028269	1.77733329	0.712106296	0.403175309	0.849428984
trans	10	repulsive	497	1.68169132	0.401768854	0.803537709	0.0320421955	0.380546195	0.214472389	0.11391122	0.319047755	0.83945275
trans	10	tail_attractive	9165	997.839106	1439.56364	2879.12728	4083.07934	4.68309439	4.54199133	1.74977332	0.389102515	0.734787887
trans	10	zero_force	824	53.1891247	0	0	0	1.24287043	1.045288	0.545346532	0.439141458	0.808508112
trans	11	quadratic_attractive	728	87.7086273	46.7809917	93.5619835	8.06510908	1.76668409	1.75710937	0.689116403	0.391066199	0.825107981
trans	11	repulsive	758	1.07813782	0.126599685	0.253199369	0.00429146839	0.441287801	0.209637925	0.162213885	0.358621818	0.880403209
trans	11	tail_attractive	8607	795.450068	1146.58833	2293.17666	3432.11015	4.83167985	4.47364759	1.86637803	0.40403361	0.720237845
trans	11	zero_force	1031	43.4984889	0	0	0	1.17678596	1.02107332	0.521708806	0.438687009	0.810381931
