contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	7508	5995.2036	2692.44658	5384.89316	415.078317	1.72455005	1.71140845	0.679545549	0.39565112	0.87637766
cis	00	repulsive	804	467.511188	69.1577912	138.315582	4.21350555	0.426036218	0.439266503	0.343362581	0.804446802	0.657195737
cis	00	tail_attractive	2543	1999.2657	2521.16971	5042.33943	1550.43324	2.40792488	2.25066853	0.845376585	0.354258564	0.898400322
cis	00	zero_force	14091	8704.07949	0	0	0	1.04779335	1.03944541	0.702835196	0.698799535	0.70832856
cis	01	quadratic_attractive	23	11.947675	6.02107657	12.0421531	0.955605495	1.75197691	1.77221696	1.01498575	0.589864236	0.698904207
cis	01	repulsive	1	0.36710141	0.0251063119	0.0502126237	0.00042925938	0.465804664	0.465804664	0.437123701	0.938427059	0.403345466
cis	01	tail_attractive	25	17.1914014	23.145149	46.290298	21.2071569	2.73827614	2.51488191	0.964521283	0.359237033	0.872621034
cis	01	zero_force	32	13.4854351	0	0	0	1.09146496	1.11989283	1.08815634	1.03446858	0.526725883
cis	10	quadratic_attractive	21	12.2205532	6.65637653	13.3127531	1.24250749	1.7723435	1.78393293	0.931680916	0.530501392	0.767687818
cis	10	tail_attractive	17	11.1782924	15.2906014	30.5812029	13.4289176	2.72078944	2.54310659	1.1084826	0.416074084	0.796816147
cis	10	zero_force	39	17.2952811	0	0	0	1.11413983	1.07415777	0.996178911	0.932924856	0.56246915
cis	11	quadratic_attractive	7830	6221.42701	2821.64691	5643.29381	438.928124	1.72676846	1.71556221	0.693667877	0.403441225	0.881017845
cis	11	repulsive	569	373.25848	59.6801594	119.360319	3.94993978	0.420055186	0.431576476	0.293838112	0.70535166	0.748509568
cis	11	tail_attractive	3230	2506.33021	3175.64857	6351.29715	1975.39473	2.4177584	2.26842027	0.846645124	0.353747876	0.906422101
cis	11	zero_force	10708	7267.4729	0	0	0	1.08053478	1.09107311	0.651698651	0.62452561	0.779231957
trans	00	quadratic_attractive	733	261.214659	126.080349	252.160699	20.0788763	1.74133475	1.74070507	1.07498131	0.619211931	0.900670316
trans	00	repulsive	13	4.93273946	0.618094693	1.23618939	0.0336121535	0.437347726	0.425099502	0.277938184	0.653484419	0.877427346
trans	00	tail_attractive	1417	412.045515	560.970072	1121.94014	771.189896	3.17104205	2.82525834	1.57950827	0.517483973	0.871596871
trans	00	zero_force	752	257.383189	0	0	0	1.14222721	1.17842822	0.954881061	0.849155696	0.847152366
trans	01	quadratic_attractive	677	258.23098	126.31463	252.629259	20.7107349	1.74457683	1.7433854	1.06445579	0.613044197	0.905768268
trans	01	repulsive	14	6.28478506	1.05608552	2.11217105	0.0616839209	0.415980776	0.443332712	0.379292566	0.902866279	0.883314052
trans	01	tail_attractive	1270	388.089566	532.082445	1064.16489	836.865442	3.36459783	2.87317697	1.70152476	0.528895666	0.874103567
trans	01	zero_force	679	239.79517	0	0	0	1.12090163	1.16357669	0.888348182	0.806391477	0.860126886
trans	10	quadratic_attractive	761	262.014786	135.626645	271.25329	22.7422316	1.75881487	1.74995547	1.14381973	0.65427821	0.885017214
trans	10	repulsive	11	3.01529668	0.279024661	0.558049321	0.0161517153	0.453731807	0.474439224	0.426098599	0.94506118	0.70064255
trans	10	tail_attractive	1432	449.828196	616.80287	1233.60574	887.408828	3.24114092	2.85593837	1.57437365	0.503586839	0.884790377
trans	10	zero_force	741	244.082883	0	0	0	1.14964132	1.17820319	0.988590568	0.86988129	0.818751897
trans	11	quadratic_attractive	615	199.438829	99.4100047	198.820009	16.5922068	1.7492243	1.74331431	1.13440867	0.652317209	0.877377393
trans	11	repulsive	14	5.67314778	0.920885215	1.84177043	0.0614796486	0.418838249	0.436239061	0.292314167	0.719510479	0.856318814
trans	11	tail_attractive	1308	359.987696	495.652365	991.304729	767.015202	3.3489762	2.89283183	1.7159235	0.533057225	0.866692671
trans	11	zero_force	687	192.931707	0	0	0	1.13303887	1.1791616	0.976224577	0.871576617	0.792321043
