key	value
sample	P9016
runner_family	p9016_minimal
runner_version	2026-06-15
default_profile	p9016_softall_minimal_v2
config_name	p9016_pcgamma0p5_copytrack0p003_sep_off_ieps0p5_noise0_seed17
git_commit	1037ee5f79d54e943eef5c37e5aeb2d841698cb8
git_dirty_count	31
binary_hash	9b23e86098d665ac796a44f5bce19502fec2e8e4c9f13f52577991831c0e8056
input_path	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz
input_contact_source	raw_pairs
output_dir	/mnt/ssd/zliu/phase3/test_res/019-20260618_224538-p9016_copytrack_continuity_1m/outputs/p9016_pcgamma0p5_copytrack0p003_sep_off_ieps0p5_noise0_seed17
n_raw	1703888
n_bpair	489556
n_beads	2633
resolution	1000000
n_iter	100
bin_size_bp	1000000
resolution_label	1Mb
refinement_stage	1m
refinement_stage_index	1
refinement_n_stages	1
parent_bin_size_bp	0
refinement_init_source	unphased_scaffold_split
refinement_child_offset_step	0.0500000007
refinement_parent_anchor_k	0.0500000007
relax_backend	gpu
approved_p9016_raw_pairs_realpath	1
unit	1
d_scale	1
base_k_mode	neighbor_median
base_k_effective	0.943498492
base_k_min	0.307180494
base_k_mean	0.943498492
base_k_max	1
base_k_n_nonfinite	0
init_mode	unphased_scaffold_split
init_eps	0.5
init_noise_scale	0
init_scale	10
init_eps_effective	0.5
init_noise_scale_effective	0
init_scale_effective	0
init_seed	17
scaffold_source	unphased_fdg
scaffold_fdg_n_iter	50
prior_mode	uniform
prior_eps	9.99999997e-07
prior_inter_density	0
prior_observed_inter	0
prior_possible_inter	0
prior_n_distance_bins	0
prior_n_alpha	0
prior_alpha_min	0
prior_alpha_median	0
prior_alpha_max	0
prior_smoothing_method	none
prior_alpha_clamp_min	9.99999997e-07
prior_alpha_clamp_max	0.5
rho_train_mode	constant
rho_train	1
rho_train_floor	0
baseline	softall
mstep_graph_mode	raw_expected_soft_all
training_graph_mode	raw_expected_soft_all
softall_mode	raw_expected_soft_all
training_graph_weighted_filter	1
training_graph_probability_weighted	1
edge_k_probability_weighted	1
dscale_mode	posterior_count
d_scale_mode_input_string	posterior_count
d_scale_posterior_gamma	0.5
dscale_posterior_gamma	0.5
dscale_effective_count_formula	n_raw*posterior_prob^0.5
dscale_probability_weighted	1
legacy_expected_count_alias_used	0
training_graph_dscale_probability_weighted	1
estep_score_mode	fdg_flat
d_scale_mode	posterior_count
d_scale_eps_count	9.99999997e-07
same_bin_filter_enabled	1
n_raw_same_bin_excluded	438895
n_bpair_same_bin_excluded	2564
n_raw_cis	1135454
n_raw_trans	568434
n_bpair_cis	86393
n_bpair_trans	403163
raw_posterior_same_bin_policy	uniform_unknown_rows
copy_labels_are_gauge_only	1
uses_phase_labels	0
uses_charm_or_reference	0
uses_charm_for_training	0
reference_derived_positive_control	0
reference_training_source_3dg	NA
min_sep_unit	0
lambda_sep	0
lambda_copytrack	0.00300000003
copytrack_prior_mode	homolog_vector_continuity
copytrack_scope	same_chrom_adjacent_beads
copytrack_vector_definition	copy1_minus_copy0
