CONFIG=p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5
gamma=1 min_sep=1 lambda_sep=0.5 lambda_copytrack=0.03 prior_lambda=0.5
minimal P9016: input=/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz output_root=/mnt/ssd/zliu/phase3/test_res/021-20260618_234407-p9016_trans_chr_pair_prior_1m/work_outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5 config=p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5 baseline=softall n_iter=100 relax_steps=100 relax_step=0.012 chain=0 init_mode=unphased_scaffold_split init_eps=0.5 init_noise=0 init_scale=10 init_seed=17 min_sep=1 lambda_sep=0.5 lambda_copytrack=0.029999999 trans_chr_pair_prior_lambda=0.5 trans_chr_pair_prior_eps=0.001 d_scale_mode=posterior_count d_scale_input=posterior_count d_scale_formula=n_raw*posterior_prob^1 d_scale_gamma=1 d_scale_eps=1e-06 relax_backend=cpu
minimal P9016: stage 1/1 name=1m bin_size_bp=1000000 parent=0
[M::hk_map_read] read 1703888 pairs
[M::hk_bmap_gen] generated 2633 beads
[M::hk_bmap_gen] 489556 bin pairs
minimal P9016[1m]: build binned contacts
minimal P9016[1m]: init mode=unphased_scaffold_split seed=17 scale=10
[M::hk_fdg] mid_dist:1000000 max_nei:69
[M::hk_fdg1_cpu] iter:10 elapsed:0.32s rep_coef:0.2092 RMS_force:367.1874 n_rep:43.0820 energy:25.1082,6.6566,0.0049 dist:5.6169,6.6204,1.4501
[M::hk_fdg1_cpu] iter:20 elapsed:0.79s rep_coef:0.6615 RMS_force:336.9308 n_rep:157.7303 energy:7.7515,3.4068,0.0177 dist:3.4076,4.2658,1.4016
[M::hk_fdg1_cpu] iter:30 elapsed:1.73s rep_coef:0.9352 RMS_force:226.0828 n_rep:592.3505 energy:1.8327,1.0566,0.0354 dist:1.9896,2.3234,1.2554
[M::hk_fdg1_cpu] iter:40 elapsed:3.11s rep_coef:0.9907 RMS_force:132.8226 n_rep:808.7839 energy:0.5357,0.4158,0.0366 dist:1.4081,1.7237,1.2560
[M::hk_fdg1_cpu] iter:50 elapsed:4.55s rep_coef:0.9987 RMS_force:99.3491 n_rep:815.5837 energy:0.1678,0.2703,0.0325 dist:1.0643,1.6062,1.3142
minimal P9016[1m]: run softall, n_iter=100 relax_steps=100 relax_step=0.012 relax_backend=cpu
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 287142 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 287809 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 277250 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 261110 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 246207 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 235297 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 227371 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223485 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221471 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220460 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220060 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219821 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219968 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220000 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220020 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219984 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220009 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220045 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219936 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219853 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219732 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219687 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219607 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219607 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219554 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219517 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219474 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219389 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219374 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219422 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219372 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219342 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219316 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219331 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219277 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219261 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219271 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219235 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219246 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219280 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219237 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219277 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219280 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219294 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219279 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219272 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219267 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219255 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219255 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219246 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219262 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219322 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219338 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219318 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219316 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219353 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219327 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219287 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219256 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219250 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219247 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219230 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219197 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219188 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219175 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219173 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219158 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219156 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219126 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219090 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219029 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218976 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218916 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218837 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218810 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218813 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218808 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218795 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218785 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218769 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218774 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218793 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218782 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218779 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218764 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218772 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218761 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218756 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218730 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218710 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218694 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218675 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218648 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218624 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218623 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218628 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218603 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218602 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218601 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 218602 bin pairs
