config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	rho_train_mode	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma0p5_msep1_lsep0p5_copytrack0p01_prior0p5	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma0p5_msep1_lsep0p5_copytrack0p01_prior0p5	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma0p5_msep1_lsep0p5_copytrack0p01_prior0p5	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	constant	1	1	1	0.5	0.00999999978	posterior_count	posterior_count	9.99999997e-07	0.5	n_raw*posterior_prob^0.5	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	6.57252031e-14	1.86301418e-06	2.84572374e-14	5.00678993e-07	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma0p5_prior0p5_sep_off	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma0p5_prior0p5_sep_off	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma0p5_prior0p5_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	0.5	n_raw*posterior_prob^0.5	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	constant	1	1	1	0.5	0.0299999993	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	6.57252031e-14	1.86301418e-06	8.53717054e-14	1.50203698e-06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p25	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p25	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p25	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.25	0.00100000005	constant	1	1	1	0.5	0.0299999993	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	6.57252031e-14	1.86301418e-06	8.53717054e-14	1.50203698e-06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	constant	1	1	1	0.5	0.0299999993	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	6.57252031e-14	1.86301418e-06	8.53717054e-14	1.50203698e-06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p75	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p75	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p75	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.75	0.00100000005	constant	1	1	1	0.5	0.0299999993	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	6.57252031e-14	1.86301418e-06	8.53717054e-14	1.50203698e-06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior1	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior1	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior1	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	1	0.00100000005	constant	1	1	1	0.5	0.0299999993	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	6.57252031e-14	1.86301418e-06	8.53717054e-14	1.50203698e-06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_prior0p25_sep_off	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma1_prior0p25_sep_off	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma1_prior0p25_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.25	0.00100000005	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_prior0p5_sep_off	P9016	SKIPPED_EVAL_INPUT_MISSING	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/outputs/p9016_pcgamma1_prior0p5_sep_off	/tmp/hk_blind_test_res_021_smoke/021-smoke-p9016_trans_chr_pair_prior_1m/eval/p9016_pcgamma1_prior0p5_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
