CONFIG=p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off
gamma=0.5 min_sep=0 lambda_sep=0 lambda_copytrack=0 prior_lambda=0.5 prior_power=4 prior_warmup=10
minimal P9016: input=/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz output_root=/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/work_outputs/p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off config=p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off baseline=softall n_iter=100 relax_steps=100 relax_step=0.012 chain=0 init_mode=unphased_scaffold_split init_eps=0.5 init_noise=0 init_scale=10 init_seed=17 min_sep=0 lambda_sep=0 lambda_copytrack=0 trans_chr_pair_prior_lambda=0.5 trans_chr_pair_prior_eps=0.001 trans_chr_pair_prior_power=4 trans_chr_pair_prior_warmup_iter=10 d_scale_mode=posterior_count d_scale_input=posterior_count d_scale_formula=n_raw*posterior_prob^0.5 d_scale_gamma=0.5 d_scale_eps=1e-06 relax_backend=cpu
minimal P9016: stage 1/1 name=1m bin_size_bp=1000000 parent=0
[M::hk_map_read] read 1703888 pairs
[M::hk_bmap_gen] generated 2633 beads
[M::hk_bmap_gen] 489556 bin pairs
minimal P9016[1m]: build binned contacts
minimal P9016[1m]: init mode=unphased_scaffold_split seed=17 scale=10
[M::hk_fdg] mid_dist:1000000 max_nei:69
[M::hk_fdg1_cpu] iter:10 elapsed:0.33s rep_coef:0.2092 RMS_force:367.1874 n_rep:43.0820 energy:25.1082,6.6566,0.0049 dist:5.6169,6.6204,1.4501
[M::hk_fdg1_cpu] iter:20 elapsed:0.81s rep_coef:0.6615 RMS_force:336.9308 n_rep:157.7303 energy:7.7515,3.4068,0.0177 dist:3.4076,4.2658,1.4016
[M::hk_fdg1_cpu] iter:30 elapsed:1.76s rep_coef:0.9352 RMS_force:226.0828 n_rep:592.3505 energy:1.8327,1.0566,0.0354 dist:1.9896,2.3234,1.2554
[M::hk_fdg1_cpu] iter:40 elapsed:3.15s rep_coef:0.9907 RMS_force:132.8226 n_rep:808.7839 energy:0.5357,0.4158,0.0366 dist:1.4081,1.7237,1.2560
[M::hk_fdg1_cpu] iter:50 elapsed:4.59s rep_coef:0.9987 RMS_force:99.3491 n_rep:815.5837 energy:0.1678,0.2703,0.0325 dist:1.0643,1.6062,1.3142
minimal P9016[1m]: run softall, n_iter=100 relax_steps=100 relax_step=0.012 relax_backend=cpu
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 287142 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 290379 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 282710 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 276849 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 271141 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 265899 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 261287 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 257563 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 254215 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 251738 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 257053 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 254979 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 250286 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 245256 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 240787 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 236750 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 233684 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 230484 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 227961 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 226975 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 226137 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 225480 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 225009 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224807 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224745 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224669 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224616 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224566 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224458 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224446 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224451 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224395 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224356 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224343 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224292 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224269 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224245 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224229 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224247 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224277 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224258 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224258 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224255 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224281 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224257 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224247 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224252 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224221 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224227 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224235 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224197 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224163 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224174 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224170 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224129 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224082 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224038 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223997 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223950 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223906 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223895 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223855 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223836 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223813 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223795 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223768 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223744 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223749 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223732 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223689 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223696 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223711 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223698 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223700 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223710 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223694 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223669 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223653 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223629 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223609 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223603 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223588 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223576 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223553 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223519 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223494 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223484 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223479 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223462 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223442 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223423 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223403 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223379 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223331 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223314 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223294 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223270 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223251 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223228 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 223187 bin pairs
