CONFIG=p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0
gamma=1 min_sep=1 lambda_sep=0.5 lambda_copytrack=0.03 prior_lambda=0 prior_power=1 prior_warmup=0
minimal P9016: input=/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz output_root=/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/work_outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0 config=p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0 baseline=softall n_iter=100 relax_steps=100 relax_step=0.012 chain=0 init_mode=unphased_scaffold_split init_eps=0.5 init_noise=0 init_scale=10 init_seed=17 min_sep=1 lambda_sep=0.5 lambda_copytrack=0.029999999 trans_chr_pair_prior_lambda=0 trans_chr_pair_prior_eps=0.001 trans_chr_pair_prior_power=1 trans_chr_pair_prior_warmup_iter=0 d_scale_mode=posterior_count d_scale_input=posterior_count d_scale_formula=n_raw*posterior_prob^1 d_scale_gamma=1 d_scale_eps=1e-06 relax_backend=cpu
minimal P9016: stage 1/1 name=1m bin_size_bp=1000000 parent=0
[M::hk_map_read] read 1703888 pairs
[M::hk_bmap_gen] generated 2633 beads
[M::hk_bmap_gen] 489556 bin pairs
minimal P9016[1m]: build binned contacts
minimal P9016[1m]: init mode=unphased_scaffold_split seed=17 scale=10
[M::hk_fdg] mid_dist:1000000 max_nei:69
[M::hk_fdg1_cpu] iter:10 elapsed:0.33s rep_coef:0.2092 RMS_force:367.1874 n_rep:43.0820 energy:25.1082,6.6566,0.0049 dist:5.6169,6.6204,1.4501
[M::hk_fdg1_cpu] iter:20 elapsed:0.79s rep_coef:0.6615 RMS_force:336.9308 n_rep:157.7303 energy:7.7515,3.4068,0.0177 dist:3.4076,4.2658,1.4016
[M::hk_fdg1_cpu] iter:30 elapsed:1.80s rep_coef:0.9352 RMS_force:226.0828 n_rep:592.3505 energy:1.8327,1.0566,0.0354 dist:1.9896,2.3234,1.2554
[M::hk_fdg1_cpu] iter:40 elapsed:3.23s rep_coef:0.9907 RMS_force:132.8226 n_rep:808.7839 energy:0.5357,0.4158,0.0366 dist:1.4081,1.7237,1.2560
[M::hk_fdg1_cpu] iter:50 elapsed:4.74s rep_coef:0.9987 RMS_force:99.3491 n_rep:815.5837 energy:0.1678,0.2703,0.0325 dist:1.0643,1.6062,1.3142
minimal P9016[1m]: run softall, n_iter=100 relax_steps=100 relax_step=0.012 relax_backend=cpu
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 287142 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 286365 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 270390 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 256227 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 244627 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 236099 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 229774 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 224780 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221486 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219236 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 217458 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216388 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216037 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215938 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216139 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216035 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215886 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215802 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215617 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215339 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215030 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214837 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214627 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214501 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214514 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214341 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214340 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214298 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214167 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214137 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214123 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214047 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214026 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213845 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213715 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213662 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213698 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213778 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213741 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213622 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213573 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213519 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213506 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213457 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213439 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213362 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213320 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213303 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213329 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213293 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213349 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213291 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213283 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213310 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213248 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213125 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213078 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212969 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213018 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212993 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212987 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212958 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212954 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212959 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212959 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212970 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212969 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213003 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213024 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213006 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212989 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212973 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212981 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212974 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212948 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212905 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212896 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212884 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212831 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212778 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212763 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212790 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212851 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212896 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212857 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212864 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212872 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212876 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212898 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212887 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212882 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212877 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212859 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212850 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212848 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212843 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212804 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212837 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212819 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212779 bin pairs
