CONFIG=p9016_pcgamma1_prior0p35_power4_warmup10_sep_off
gamma=1 min_sep=0 lambda_sep=0 lambda_copytrack=0 prior_lambda=0.35 prior_power=4 prior_warmup=10
minimal P9016: input=/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz output_root=/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/work_outputs/p9016_pcgamma1_prior0p35_power4_warmup10_sep_off config=p9016_pcgamma1_prior0p35_power4_warmup10_sep_off baseline=softall n_iter=100 relax_steps=100 relax_step=0.012 chain=0 init_mode=unphased_scaffold_split init_eps=0.5 init_noise=0 init_scale=10 init_seed=17 min_sep=0 lambda_sep=0 lambda_copytrack=0 trans_chr_pair_prior_lambda=0.34999999 trans_chr_pair_prior_eps=0.001 trans_chr_pair_prior_power=4 trans_chr_pair_prior_warmup_iter=10 d_scale_mode=posterior_count d_scale_input=posterior_count d_scale_formula=n_raw*posterior_prob^1 d_scale_gamma=1 d_scale_eps=1e-06 relax_backend=cpu
minimal P9016: stage 1/1 name=1m bin_size_bp=1000000 parent=0
[M::hk_map_read] read 1703888 pairs
[M::hk_bmap_gen] generated 2633 beads
[M::hk_bmap_gen] 489556 bin pairs
minimal P9016[1m]: build binned contacts
minimal P9016[1m]: init mode=unphased_scaffold_split seed=17 scale=10
[M::hk_fdg] mid_dist:1000000 max_nei:69
[M::hk_fdg1_cpu] iter:10 elapsed:0.32s rep_coef:0.2092 RMS_force:367.1874 n_rep:43.0820 energy:25.1082,6.6566,0.0049 dist:5.6169,6.6204,1.4501
[M::hk_fdg1_cpu] iter:20 elapsed:0.79s rep_coef:0.6615 RMS_force:336.9308 n_rep:157.7303 energy:7.7515,3.4068,0.0177 dist:3.4076,4.2658,1.4016
[M::hk_fdg1_cpu] iter:30 elapsed:1.74s rep_coef:0.9352 RMS_force:226.0828 n_rep:592.3505 energy:1.8327,1.0566,0.0354 dist:1.9896,2.3234,1.2554
[M::hk_fdg1_cpu] iter:40 elapsed:3.14s rep_coef:0.9907 RMS_force:132.8226 n_rep:808.7839 energy:0.5357,0.4158,0.0366 dist:1.4081,1.7237,1.2560
[M::hk_fdg1_cpu] iter:50 elapsed:4.61s rep_coef:0.9987 RMS_force:99.3491 n_rep:815.5837 energy:0.1678,0.2703,0.0325 dist:1.0643,1.6062,1.3142
minimal P9016[1m]: run softall, n_iter=100 relax_steps=100 relax_step=0.012 relax_backend=cpu
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 287142 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 286178 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 270723 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 256944 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 245440 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 236889 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 230788 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 225542 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221963 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219565 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221479 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221832 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221612 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221197 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220813 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220565 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220344 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220233 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220088 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 220014 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219935 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219880 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219804 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219728 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219656 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219515 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219434 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219419 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219440 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219410 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219457 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219427 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219468 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219522 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219537 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219579 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219532 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219538 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219486 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219511 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219516 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219527 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219528 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219482 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219500 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219501 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219480 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219465 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219471 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219468 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219467 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219472 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219472 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219437 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219440 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219433 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219395 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219455 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219544 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219592 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219595 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219600 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219591 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219596 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219609 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219611 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219560 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219547 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219574 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219570 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219526 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219525 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219548 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219560 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219543 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219546 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219562 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219526 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219514 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219534 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219510 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219511 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219492 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219498 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219513 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219505 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219500 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219501 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219486 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219457 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219455 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219464 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219481 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219506 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219514 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219504 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219492 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219479 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219468 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219467 bin pairs
