config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	rho_train_mode	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	4	10	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	0.5	n_raw*posterior_prob^0.5	1	1	0	0	0	4.68416691	0.919930935	10.8974018	2.77646708	4.76345396	0.355875105	0.256709635	24495.8691	21397.0059	31.3915977	0	0	0	0	117397.688	0	0	0.452899	0.555269	0.306389	0.788141	0.974856	0.520917	0.824543	2.7764672	4.76345427	0.963014031	0.995495909	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	5.014678	1.53509235	12.7347031	3.72130752	4.92364264	0.607306719	0.438079208	16172.8691	14703.8145	108.880112	0	0	0	0	87080.3281	0	0	0.465049	0.569634	0.31537	0.78127	0.969562	0.51179	0.800612	3.72130741	4.92364265	0.958768845	0.993952958	0.00191350938	0.003061615
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	0.5	0.0299999993	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	4.94908333	1.25967884	11.9715614	3.68725705	4.90606165	0.595835328	0.429804355	16322.3867	14896.7715	93.8050385	0	0	57.4005966	692.400391	87601.0781	0	0.00790401678	0.476197	0.569731	0.342332	0.793317	0.970775	0.539343	0.797915	3.68725691	4.90606161	0.962658373	0.994187617	0.00191350938	0.00229621125
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power2_warmup10	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power2_warmup10	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power2_warmup10	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	2	10	constant	1	1	1	0.5	0.0299999993	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	4.72376108	2.2894063	10.444725	3.38308501	4.6638298	0.373840153	0.269668669	21867.918	19355.3359	64.8160782	0	0	48.8148766	643.941345	107473.867	0	0.00599160859	0.448325	0.552051	0.299874	0.782084	0.974541	0.506643	0.807221	3.38308491	4.66382994	0.963860642	0.994590587	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	4	10	constant	1	1	1	0.5	0.0299999993	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	4.64383888	1.42492068	11.5325327	3.32993722	4.60710716	0.376300067	0.271443099	22302.5566	19669.2637	54.9183159	0	0	49.632885	651.388733	108135.5	0	0.00602381949	0.46091	0.560855	0.31787	0.791452	0.974619	0.529307	0.809986	3.32993701	4.60710743	0.962617304	0.994149691	0	0
p9016_pcgamma1_prior0p35_power4_warmup10_sep_off	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_prior0p35_power4_warmup10_sep_off	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_prior0p35_power4_warmup10_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.349999994	0.00100000005	4	10	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	4.78486681	1.83583879	11.5691757	3.32956433	4.72109509	0.434677601	0.313553602	20990.2676	18614.002	51.3412247	0	0	0	0	104164.688	0	0	0.461129	0.553221	0.32933	0.791994	0.974672	0.53055	0.821153	3.32956429	4.72109552	0.959474622	0.993709527	0	0
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	1	0	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	5.01171446	2.23093915	10.7098179	3.59157729	4.89204073	0.394255072	0.28439492	21075.1855	18845.7246	51.4315224	0	0	0	0	104812.57	0	0	0.470837	0.561578	0.340971	0.793814	0.974963	0.534558	0.813097	3.59157724	4.89204092	0.963074295	0.993995264	0	0
p9016_pcgamma1_prior0p5_power2_warmup10_sep_off	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_prior0p5_power2_warmup10_sep_off	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_prior0p5_power2_warmup10_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	2	10	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	4.76096916	2.10521603	13.7360907	3.38684368	4.62729073	0.36807999	0.265513599	22490.6465	19553.5977	56.4647102	0	0	0	0	108511.734	0	0	0.458478	0.552066	0.324538	0.790535	0.974934	0.526626	0.813624	3.38684388	4.62729069	0.96400214	0.994181711	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	4	10	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	4.77391148	1.96009195	11.4078627	3.30803537	4.65080404	0.372400433	0.268630147	22377.623	19833.0469	67.3179321	0	0	0	0	108398.375	0	0	0.443454	0.546116	0.296527	0.784098	0.974696	0.511318	0.814129	3.30803525	4.65080407	0.958538991	0.993726834	0	0
p9016_pcgamma1_prior0p5_power4_warmup20_sep_off	P9016	OK	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/outputs/p9016_pcgamma1_prior0p5_power4_warmup20_sep_off	/mnt/ssd/zliu/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/eval/p9016_pcgamma1_prior0p5_power4_warmup20_sep_off	NA	NA	NA	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	blind_posterior_chrom_pair	0.5	0.00100000005	4	20	constant	1	1	0	0	0	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	0	0	4.60029125	2.2101047	11.8571911	3.26019669	4.47639227	0.392216802	0.282924622	21716.7051	19176.6816	62.9763222	0	0	0	0	106013.438	0	0	0.452636	0.553531	0.308237	0.785998	0.974779	0.515818	0.813577	3.26019664	4.47639256	0.959352895	0.993296672	0	0
