metric	value
sample	P9016
pairs_path	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz
bin_size_bp	1000000
n_rows	1703888
n_phase_both_rows	496021
n_phase_both_trans_rows	146996
frac_phase_both_rows	0.29111127
readid_signal_status	UNUSABLE_ALL_READID_MISSING
n_readid_missing_rows	1703888
n_readid_nonmissing_rows	0
repeated_nonmissing_readid_groups	0
rows_in_repeated_nonmissing_readids	0
trans_truth_bpairs	117249
trans_truth_contact_weight	146996
trans_truth_singleton_bpairs	103214
trans_truth_singleton_contact_fraction	0.702155161
