config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	0.01	1457	0.0101196719	1	0.422786548	0.00427846114	0.579958819	0.00586899296	0.306389215	0.520916535	0.116397333	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	0.02	2880	0.020003195	1	0.487847222	0.00975850309	0.657638889	0.0131548789	0.306389215	0.520916535	0.181458007	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	0.05	7203	0.050028824	0.99999845	0.477162293	0.0238718684	0.618631126	0.0309493877	0.306389215	0.520916535	0.170773079	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	0.1	14398	0.100002084	0.999940395	0.46673149	0.0466741216	0.607723295	0.0607735958	0.306389215	0.520916535	0.160342276	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	0.2	28796	0.200004167	0.997758389	0.417835811	0.0835689034	0.576017502	0.115205901	0.306389215	0.520916535	0.111446596	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	0.3	43194	0.300006251	0.992618144	0.381349261	0.114407162	0.556419873	0.16692944	0.306389215	0.520916535	0.0749600465	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	0.5	71989	0.500003473	0.974554896	0.343205212	0.171603798	0.538873995	0.269438869	0.306389215	0.520916535	0.036815997	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	0.75	107983	0.750001736	0.921067119	0.320087421	0.240066122	0.528462814	0.396348028	0.306389215	0.520916535	0.0136982062	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	pmax	1	143977	1	0.302649558	0.306389215	0.306389215	0.520916535	0.520916535	0.306389215	0.520916535	0	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	margin	0.01	1457	0.0101196719	0.999999994	0.51132464	0.00517443758	0.770075498	0.00779291137	0.306389215	0.520916535	0.204935425	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	margin	0.02	2884	0.0200309772	0.999999967	0.508321775	0.0101821819	0.689667129	0.0138147065	0.306389215	0.520916535	0.20193256	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	margin	0.05	7205	0.0500427152	0.999996967	0.480222068	0.0240316162	0.620263706	0.0310396799	0.306389215	0.520916535	0.173832853	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	margin	0.1	14400	0.100015975	0.999889948	0.466041667	0.0466116116	0.6075	0.0607597047	0.306389215	0.520916535	0.159652452	1	0	0
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	margin	0.2	28796	0.200004167	0.996019034	0.418009446	0.0836036311	0.576260592	0.11525452	0.306389215	0.520916535	0.111620231	1	0	0
