config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	0.01	1458	0.0101266174	1	0.432098765	0.0043756989	0.466392318	0.00472297659	0.315369816	0.511790078	0.116728949	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	0.02	2885	0.0200379227	0.999999881	0.494974003	0.00991825083	0.527209705	0.0105641873	0.315369816	0.511790078	0.179604187	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	0.05	7202	0.0500218785	0.999995351	0.475006943	0.0237607396	0.554290475	0.0277266508	0.315369816	0.511790078	0.159637127	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	0.1	14399	0.100009029	0.999784768	0.44829502	0.0448335498	0.532189735	0.0532237788	0.315369816	0.511790078	0.132925204	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	0.2	28796	0.200004167	0.987729967	0.417627448	0.08352723	0.525211835	0.105044556	0.315369816	0.511790078	0.102257632	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	0.3	43195	0.300013197	0.959264934	0.387290196	0.11619217	0.52112513	0.156344416	0.315369816	0.511790078	0.0719203796	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	0.5	71989	0.500003473	0.870135486	0.35430413	0.177153295	0.518801484	0.259402543	0.315369816	0.511790078	0.0389343138	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	0.75	107984	0.750008682	0.68217957	0.331475033	0.248609153	0.51555786	0.386672871	0.315369816	0.511790078	0.0161052173	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	pmax	1	143977	1	0.276107997	0.315369816	0.315369816	0.511790078	0.511790078	0.315369816	0.511790078	0	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	0.01	1445	0.0100363252	0.999999983	0.496193772	0.00497996208	0.51349481	0.00515360092	0.315369816	0.511790078	0.180823956	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	0.02	2880	0.020003195	0.999999733	0.484027778	0.009682102	0.529861111	0.0105989151	0.315369816	0.511790078	0.168657962	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	0.05	7200	0.0500079874	0.999991212	0.476805556	0.0238440862	0.556111111	0.0278099974	0.315369816	0.511790078	0.16143574	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	0.1	14400	0.100015975	0.999589268	0.449652778	0.0449724609	0.534513889	0.0534599276	0.315369816	0.511790078	0.134282962	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	0.2	28796	0.200004167	0.978678298	0.416238366	0.0832494079	0.524517294	0.104905645	0.315369816	0.511790078	0.10086855	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	0.3	43194	0.300006251	0.930031009	0.386836135	0.116053259	0.52173913	0.156525001	0.315369816	0.511790078	0.0714663186	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	0.5	71989	0.500003473	0.773614109	0.354054092	0.177028275	0.518662573	0.259333088	0.315369816	0.511790078	0.0386842756	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	0.75	107983	0.750001736	0.438771456	0.331552189	0.248664717	0.515747849	0.386811782	0.315369816	0.511790078	0.0161823728	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	margin	1	143977	1	0	0.315369816	0.315369816	0.511790078	0.511790078	0.315369816	0.511790078	0	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	0.01	1462	0.0101543997	-3.58742752e-07	0.510259918	0.00518138314	0.528043776	0.00536196754	0.315369816	0.511790078	0.194890102	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	0.02	2885	0.0200379227	-2.67045461e-06	0.483535529	0.00968904756	0.527209705	0.0105641873	0.315369816	0.511790078	0.168165713	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	0.05	7201	0.0500149329	-6.29416914e-05	0.475211776	0.0237676851	0.554506319	0.0277335963	0.315369816	0.511790078	0.15984196	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	0.1	14400	0.100015975	-0.00209241078	0.44875	0.0448821687	0.532222222	0.0532307244	0.315369816	0.511790078	0.133380184	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	0.2	28796	0.200004167	-0.0719588653	0.418113627	0.0836244678	0.525246562	0.105051501	0.315369816	0.511790078	0.102743811	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	0.3	43194	0.300006251	-0.193837047	0.387276011	0.116185224	0.520512108	0.156156886	0.315369816	0.511790078	0.0719061945	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	0.5	71989	0.500003473	-0.456152916	0.355109808	0.177556137	0.518940394	0.259471999	0.315369816	0.511790078	0.0397399924	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	0.75	107983	0.750001736	-0.761346321	0.33131141	0.248484133	0.514395785	0.385797732	0.315369816	0.511790078	0.0159415941	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	neg_entropy	1	143977	1	-1.38312587	0.315369816	0.315369816	0.511790078	0.511790078	0.315369816	0.511790078	0	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	0.01	1442	0.0100154886	4.09710742	0.37517337	0.00375754461	0.429958391	0.00430624336	0.315369816	0.511790078	0.0598035543	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	0.02	2880	0.020003195	3.8877032	0.376736111	0.00753592588	0.447916667	0.00895976441	0.315369816	0.511790078	0.0613662951	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	0.05	7207	0.0500566063	3.50651965	0.388927432	0.0194683873	0.487720272	0.0244136216	0.315369816	0.511790078	0.0735576157	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	0.1	14398	0.100002084	3.14065176	0.381372413	0.0381380359	0.50951521	0.0509525827	0.315369816	0.511790078	0.0660025968	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	0.2	28796	0.200004167	2.62842775	0.381650229	0.0763316363	0.52809418	0.105621037	0.315369816	0.511790078	0.0662804132	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	0.3	43197	0.300027088	2.22742757	0.374238952	0.112281823	0.528115378	0.158448919	0.315369816	0.511790078	0.0588691358	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	0.5	71989	0.500003473	1.53611482	0.35224826	0.176125353	0.521315757	0.260659689	0.315369816	0.511790078	0.0368784441	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	0.75	107983	0.750001736	0.74391015	0.331061371	0.248296603	0.515664503	0.386749272	0.315369816	0.511790078	0.0156915548	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	distance_gap	1	143977	1	7.11596289e-05	0.315369816	0.315369816	0.511790078	0.511790078	0.315369816	0.511790078	0	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	posterior_nearest_agreement_gap	0.01	1442	0.0100154886	4.09710742	0.37517337	0.00375754461	0.429958391	0.00430624336	0.315369816	0.511790078	0.0598035543	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	posterior_nearest_agreement_gap	0.02	2880	0.020003195	3.8877032	0.376736111	0.00753592588	0.447916667	0.00895976441	0.315369816	0.511790078	0.0613662951	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	posterior_nearest_agreement_gap	0.05	7207	0.0500566063	3.50651965	0.388927432	0.0194683873	0.487720272	0.0244136216	0.315369816	0.511790078	0.0735576157	1	0	0
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	posterior_nearest_agreement_gap	0.1	14398	0.100002084	3.14065176	0.381372413	0.0381380359	0.50951521	0.0509525827	0.315369816	0.511790078	0.0660025968	1	0	0
