config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	0.01	1441	0.010008543	1	0.537126995	0.00537585864	0.624566273	0.00625099842	0.342332456	0.53934309	0.194794539	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	0.02	2880	0.020003195	0.999999881	0.559375	0.0111892872	0.656944444	0.0131409878	0.342332456	0.53934309	0.217042544	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	0.05	7200	0.0500079874	0.999996066	0.551388889	0.0275738486	0.665416667	0.0332761483	0.342332456	0.53934309	0.209056433	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	0.1	14401	0.10002292	0.999819458	0.539754184	0.0539877897	0.639191723	0.0639338228	0.342332456	0.53934309	0.197421728	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	0.2	28796	0.200004167	0.989023089	0.506632866	0.101328684	0.620294485	0.124061482	0.342332456	0.53934309	0.16430041	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	0.3	43194	0.300006251	0.962751746	0.45381303	0.136146746	0.593230541	0.177972871	0.342332456	0.53934309	0.111480574	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	0.5	71989	0.500003473	0.878014565	0.400769562	0.200386173	0.567003292	0.283503615	0.342332456	0.53934309	0.0584371061	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	0.75	107983	0.750001736	0.690955877	0.364862988	0.273647874	0.548790087	0.411593518	0.342332456	0.53934309	0.0225305318	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	pmax	1	143977	1	0.267585009	0.342332456	0.342332456	0.53934309	0.53934309	0.342332456	0.53934309	0	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	0.01	1447	0.0100502164	0.999999986	0.536973048	0.00539669531	0.615065653	0.00618154289	0.342332456	0.53934309	0.194640592	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	0.02	2887	0.0200518138	0.999999777	0.56356079	0.011300416	0.661586422	0.0132660078	0.342332456	0.53934309	0.221228334	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	0.05	7199	0.0500010418	0.999992712	0.552715655	0.0276363586	0.667731629	0.0333872771	0.342332456	0.53934309	0.210383199	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	0.1	14402	0.100029866	0.999657627	0.53992501	0.0540086264	0.639494515	0.0639685505	0.342332456	0.53934309	0.197592555	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	0.2	28797	0.200011113	0.980842549	0.505642949	0.101134209	0.619752058	0.123957299	0.342332456	0.53934309	0.163310493	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	0.3	43194	0.300006251	0.935683381	0.452562856	0.135771686	0.59269806	0.177813123	0.342332456	0.53934309	0.1102304	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	0.5	71989	0.500003473	0.787441939	0.400519524	0.200261153	0.567336676	0.283670308	0.342332456	0.53934309	0.0581870679	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	0.75	107983	0.750001736	0.455643177	0.364335127	0.273251978	0.548558569	0.41141988	0.342332456	0.53934309	0.0220026709	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	margin	1	143977	1	0	0.342332456	0.342332456	0.53934309	0.53934309	0.342332456	0.53934309	0	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	0.01	1442	0.0100154886	-2.98861155e-07	0.547850208	0.0054869875	0.626213592	0.00627183508	0.342332456	0.53934309	0.205517752	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	0.02	2885	0.0200379227	-2.05247578e-06	0.559445407	0.0112101238	0.656499133	0.0131548789	0.342332456	0.53934309	0.217112951	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	0.05	7199	0.0500010418	-5.36418009e-05	0.552854563	0.0276433041	0.665925823	0.0332969849	0.342332456	0.53934309	0.210522107	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	0.1	14400	0.100015975	-0.00179474171	0.539652778	0.0539738986	0.638888889	0.063899095	0.342332456	0.53934309	0.197320322	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	0.2	28796	0.200004167	-0.0653626106	0.507396861	0.101481487	0.619252674	0.123853115	0.342332456	0.53934309	0.165064405	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	0.3	43194	0.300006251	-0.180481838	0.455827198	0.136751009	0.594341807	0.178306257	0.342332456	0.53934309	0.113494742	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	0.5	71989	0.500003473	-0.437088658	0.401269638	0.200636213	0.567031074	0.283517506	0.342332456	0.53934309	0.0589371825	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	0.75	107983	0.750001736	-0.747505491	0.364881509	0.273661765	0.548095534	0.411072602	0.342332456	0.53934309	0.0225490532	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	neg_entropy	1	143977	1	-1.38367286	0.342332456	0.342332456	0.53934309	0.53934309	0.342332456	0.53934309	0	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	0.01	1440	0.0100015975	4.1621951	0.554861111	0.00554949749	0.715277778	0.00715392042	0.342332456	0.53934309	0.212528655	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	0.02	2880	0.020003195	3.94871715	0.51875	0.0103766574	0.677083333	0.0135438299	0.342332456	0.53934309	0.176417544	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	0.05	7199	0.0500010418	3.56832947	0.467703848	0.0233856797	0.620086123	0.0310049522	0.342332456	0.53934309	0.125371392	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	0.1	14405	0.100050703	3.1943398	0.453453662	0.0453683574	0.612634502	0.0612945123	0.342332456	0.53934309	0.111121206	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	0.2	28796	0.200004167	2.68559077	0.430025003	0.0860067928	0.596089735	0.119220431	0.342332456	0.53934309	0.0876925476	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	0.3	43204	0.300075707	2.28171803	0.414406074	0.124353195	0.584830108	0.175493308	0.342332456	0.53934309	0.0720736176	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	0.5	71989	0.500003473	1.57851263	0.391768187	0.195885454	0.565711428	0.282857679	0.342332456	0.53934309	0.0494357309	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	0.75	107983	0.750001736	0.776829982	0.36502042	0.273765949	0.550095848	0.412572841	0.342332456	0.53934309	0.022687964	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	distance_gap	1	143977	1	1.01230034e-05	0.342332456	0.342332456	0.53934309	0.53934309	0.342332456	0.53934309	0	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	0.01	1440	0.0100015975	4.1621951	0.554861111	0.00554949749	0.715277778	0.00715392042	0.342332456	0.53934309	0.212528655	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	0.02	2880	0.020003195	3.94871715	0.51875	0.0103766574	0.677083333	0.0135438299	0.342332456	0.53934309	0.176417544	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	0.05	7199	0.0500010418	3.56832947	0.467703848	0.0233856797	0.620086123	0.0310049522	0.342332456	0.53934309	0.125371392	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	0.1	14405	0.100050703	3.1943398	0.453453662	0.0453683574	0.612634502	0.0612945123	0.342332456	0.53934309	0.111121206	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	0.2	28796	0.200004167	2.68559077	0.430025003	0.0860067928	0.596089735	0.119220431	0.342332456	0.53934309	0.0876925476	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	0.3	43204	0.300075707	2.28171803	0.414406074	0.124353195	0.584830108	0.175493308	0.342332456	0.53934309	0.0720736176	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	0.5	71989	0.500003473	1.57851263	0.391768187	0.195885454	0.565711428	0.282857679	0.342332456	0.53934309	0.0494357309	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	0.75	107983	0.750001736	0.776815669	0.36502042	0.273765949	0.550095848	0.412572841	0.342332456	0.53934309	0.022687964	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	posterior_nearest_agreement_gap	1	143977	1	-0.887150375	0.342332456	0.342332456	0.53934309	0.53934309	0.342332456	0.53934309	0	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	0.01	1458	0.0101266174	51	0.435528121	0.00441042667	0.519890261	0.00526472978	0.342332456	0.53934309	0.0931956648	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	0.02	2897	0.0201212694	43	0.501208146	0.0100849441	0.567138419	0.0114115449	0.342332456	0.53934309	0.15887569	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	0.05	7205	0.0500427152	28	0.53074254	0.0265597977	0.610131853	0.0305326545	0.342332456	0.53934309	0.188410084	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	0.1	14403	0.100036811	15	0.536554884	0.0536752398	0.614871902	0.0615098245	0.342332456	0.53934309	0.194222429	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	0.2	28796	0.200004167	3	0.515696625	0.103141474	0.613349076	0.122672371	0.342332456	0.53934309	0.173364169	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	0.3	43194	0.300006251	2	0.451474742	0.135445245	0.584085753	0.175229377	0.342332456	0.53934309	0.109142286	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	0.5	71989	0.500003473	1	0.392434955	0.196218841	0.559210435	0.279607159	0.342332456	0.53934309	0.0501024995	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	0.75	107983	0.750001736	1	0.358880565	0.269161047	0.543770779	0.407829028	0.342332456	0.53934309	0.0165481087	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	n_raw	1	143977	1	1	0.342332456	0.342332456	0.53934309	0.53934309	0.342332456	0.53934309	0	1	0	0
