config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	0.01	1453	0.0100918897	1	0.345492085	0.00348666801	0.529938059	0.00534807643	0.317870215	0.529306764	0.02762187	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	0.02	2886	0.0200448683	0.999999881	0.408177408	0.00818186238	0.547817048	0.0109809206	0.317870215	0.529306764	0.0903071928	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	0.05	7200	0.0500079874	0.999997735	0.475833333	0.0237954673	0.616527778	0.0308313133	0.317870215	0.529306764	0.157963118	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	0.1	14400	0.100015975	0.999924421	0.472291667	0.0472367114	0.619583333	0.061968231	0.317870215	0.529306764	0.154421451	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	0.2	28796	0.200004167	0.996558368	0.439019308	0.0878056912	0.595742464	0.119150976	0.317870215	0.529306764	0.121149093	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	0.3	43194	0.300006251	0.989017844	0.400449136	0.120137244	0.575635505	0.17269425	0.317870215	0.529306764	0.0825789211	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	0.5	71989	0.500003473	0.966057897	0.361263526	0.180633018	0.555682118	0.277842989	0.317870215	0.529306764	0.043393311	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	0.75	107984	0.750008682	0.906643867	0.336447992	0.252338915	0.540626389	0.405474486	0.317870215	0.529306764	0.0185777769	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	pmax	1	143977	1	0.284714371	0.317870215	0.317870215	0.529306764	0.529306764	0.317870215	0.529306764	0	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	0.01	1461	0.0101474541	0.999999991	0.421629021	0.00427846114	0.514715948	0.00522305646	0.317870215	0.529306764	0.103758806	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	0.02	2886	0.0200448683	0.999999818	0.416146916	0.00834161012	0.546777547	0.0109600839	0.317870215	0.529306764	0.0982767008	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	0.05	7209	0.0500704974	0.999995757	0.472187543	0.0236426651	0.612567624	0.0306715656	0.317870215	0.529306764	0.154317328	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	0.1	14398	0.100002084	0.999860883	0.471662731	0.0471672559	0.620294485	0.062030741	0.317870215	0.529306764	0.153792516	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	0.2	28796	0.200004167	0.994068069	0.437526045	0.0875070324	0.595811918	0.119164867	0.317870215	0.529306764	0.11965583	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	0.3	43194	0.300006251	0.981226596	0.399291568	0.119789966	0.575473445	0.172645631	0.317870215	0.529306764	0.0814213529	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	0.5	71989	0.500003473	0.941767744	0.360499521	0.180251012	0.555334843	0.27766935	0.317870215	0.529306764	0.0426293054	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	0.75	107983	0.750001736	0.83718796	0.335923247	0.251943019	0.540131317	0.405099426	0.317870215	0.529306764	0.0180530318	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	margin	1	143977	1	0.000114679	0.317870215	0.317870215	0.529306764	0.529306764	0.317870215	0.529306764	0	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	neg_entropy	0.01	1447	0.0100502164	-1.90716438e-07	0.416033172	0.00418122339	0.513476158	0.00516054648	0.317870215	0.529306764	0.0981629567	1	0	0
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	neg_entropy	0.02	2888	0.0200587594	-1.40777988e-06	0.421052632	0.00844579343	0.551592798	0.0110642672	0.317870215	0.529306764	0.103182416	1	0	0
