config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	0.01	1447	0.0100502164	1	0.312370422	0.00313939032	0.424326192	0.00426457004	0.296526529	0.51131778	0.015843893	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	0.02	2881	0.0200101405	1	0.315515446	0.00631350841	0.464769177	0.00930009654	0.296526529	0.51131778	0.0189889175	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	0.05	7208	0.0500635518	0.999997854	0.344200888	0.017231919	0.503468368	0.0252054148	0.296526529	0.51131778	0.0476743594	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	0.1	14398	0.100002084	0.999925613	0.360814002	0.036082152	0.518127518	0.0518138314	0.296526529	0.51131778	0.0642874734	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	0.2	28804	0.200059732	0.997241735	0.353180114	0.0706571188	0.519198722	0.103870757	0.296526529	0.51131778	0.0566535853	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	0.3	43194	0.300006251	0.990680754	0.336111497	0.10083555	0.517687642	0.155309529	0.296526529	0.51131778	0.0395849684	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	0.5	71989	0.500003473	0.968025386	0.319521038	0.159761629	0.517606857	0.258805226	0.296526529	0.51131778	0.0229945094	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	0.75	107983	0.750001736	0.904264271	0.308502264	0.231377234	0.517016567	0.387763323	0.296526529	0.51131778	0.0119757357	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	pmax	1	143977	1	0.291801959	0.296526529	0.296526529	0.51131778	0.51131778	0.296526529	0.51131778	0	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	margin	0.01	1441	0.010008543	0.999999994	0.238723109	0.00238927051	0.393476752	0.00393812901	0.296526529	0.51131778	-0.0578034196	1	0	0
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	margin	0.02	2887	0.0200518138	0.999999942	0.312088673	0.00625794398	0.461032213	0.00924453211	0.296526529	0.51131778	0.0155621448	1	0	0
