config_name	baseline_trans_top1	baseline_trans_same_cross	best_score_le50	best_called_fraction_le50	best_trans_top1_le50	best_delta_top1_le50	best_same_cross_le50	best_meets_plus0p1_le50	best_score_at10	top1_at10	delta_at10	same_cross_at10	best_score_at20	top1_at20	delta_at20	same_cross_at20	best_score_at30	top1_at30	delta_at30	same_cross_at30	call_score_uses_phase_labels	call_score_uses_charm_or_reference	eval_only_uses_phase_labels_for_scoring
p9016_pcgamma1_prior0p5_power1_warmup0_sep_off	0.340971127	0.534557603	pmax	0.0200101405	0.595626519	0.254655391	0.687955571	1	margin	0.561180556	0.220209428	0.646041667	n_raw	0.506667593	0.165696465	0.603764412	n_raw	0.445617447	0.10464632	0.576167986	0	0	1
p9016_pcgamma1_prior0p35_power4_warmup10_sep_off	0.329330379	0.530550018	distance_gap	0.0100849441	0.556473829	0.22714345	0.702479339	1	neg_entropy	0.488405998	0.159075619	0.598722577	n_raw	0.45475066	0.125420281	0.583171274	margin	0.413390749	0.0840603696	0.567023198	0	0	1
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0	0.342332456	0.53934309	margin	0.0200518138	0.56356079	0.221228334	0.661586422	1	margin	0.53992501	0.197592555	0.639494515	n_raw	0.515696625	0.173364169	0.613349076	neg_entropy	0.455827198	0.113494742	0.594341807	0	0	1
p9016_pcgamma0p5_prior0p5_power4_warmup10_sep_off	0.306389215	0.520916535	margin	0.0101196719	0.51132464	0.204935425	0.770075498	1	pmax	0.46673149	0.160342276	0.607723295	n_raw	0.423704681	0.117315466	0.574072788	neg_entropy	0.381595092	0.0752058771	0.557286723	0	0	1
p9016_pcgamma1_baseline_sep_off_copytrack0_prior0	0.315369816	0.511790078	neg_entropy	0.0101543997	0.510259918	0.194890102	0.528043776	1	margin	0.449652778	0.134282962	0.534513889	n_raw	0.419849979	0.104480163	0.525906376	pmax	0.387290196	0.0719203796	0.52112513	0	0	1
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power4_warmup10	0.317870215	0.529306764	pmax	0.0500079874	0.475833333	0.157963118	0.616527778	1	neg_entropy	0.473819444	0.155949229	0.620833333	n_raw	0.442179469	0.124309254	0.592964301	neg_entropy	0.401643709	0.0837734934	0.576270402	0	0	1
p9016_pcgamma1_prior0p5_power4_warmup20_sep_off	0.308236732	0.515818499	distance_gap	0.0100015975	0.465277778	0.157041046	0.604861111	1	pmax	0.424375	0.116138268	0.549097222	neg_entropy	0.395888318	0.0876515856	0.536116127	margin	0.367603482	0.0593667495	0.532665062	0	0	1
p9016_pcgamma1_prior0p5_power2_warmup10_sep_off	0.324537947	0.526625781	n_raw	0.100036811	0.462820246	0.138282299	0.583697841	1	n_raw	0.462820246	0.138282299	0.583697841	n_raw	0.450236144	0.125698197	0.578622031	n_raw	0.40475529	0.0802173431	0.559475853	0	0	1
p9016_pcgamma1_prior0p5_power8_warmup10_sep_off	0.300061815	0.51219292	n_raw	0.100036811	0.403318753	0.103256938	0.560577657	1	n_raw	0.403318753	0.103256938	0.560577657	n_raw	0.389081817	0.0890200015	0.543408807	n_raw	0.353914896	0.0538530802	0.530305135	0	0	1
p9016_pcgamma1_prior0p65_power4_warmup10_sep_off	0.315460108	0.51620745	neg_entropy	0.0100363252	0.415224913	0.0997648053	0.478892734	0	n_raw	0.41387211	0.0984120018	0.534541415	n_raw	0.407626059	0.092165951	0.534483956	n_raw	0.374010279	0.058550171	0.52937908	0	0	1
p9016_pcgamma1_prior0p5_power4_warmup10_sep_off	0.296526529	0.51131778	n_raw	0.100036811	0.383253489	0.0867269603	0.55023259	0	n_raw	0.383253489	0.0867269603	0.55023259	n_raw	0.373003195	0.0764766663	0.535456313	n_raw	0.342362365	0.0458358366	0.526230495	0	0	1
p9016_pcgamma1_msep1_lsep0p5_copytrack0p03_prior0p5_power2_warmup10	0.299874285	0.506643422	n_raw	0.100036811	0.386169548	0.0862952625	0.523154898	0	n_raw	0.386169548	0.0862952625	0.523154898	n_raw	0.375677177	0.0758028919	0.515314627	neg_entropy	0.348049543	0.0481752573	0.508392175	0	0	1
