policy	scope	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_accuracy	decoded_contact_fraction	scope_contact_fraction_vs_baseline	construction_uses_phase_labels	construction_uses_charm_or_reference	eval_only_uses_phase_labels_for_scoring
baseline	genome_all	350034	166685	0.476196598	0.793317221	0	1	0	0	1
baseline	genome_cis	206057	117397	0.569730706	0.970775077	0	1	0	0	1
baseline	genome_trans	143977	49288	0.342332456	0.53934309	0	1	0	0	1
hybrid_lambda0.25	genome_all	350034	165684	0.473336876	0.793248656	0.992580721	1	0	0	1
hybrid_lambda0.25	genome_cis	206057	116384	0.56481459	0.970775077	0.999204104	1	0	0	1
hybrid_lambda0.25	genome_trans	143977	49300	0.342415803	0.539176396	0.983101468	1	0	0	1
hybrid_lambda0.5	genome_all	350034	165786	0.473628276	0.793282938	0.992580721	1	0	0	1
hybrid_lambda0.5	genome_cis	206057	116382	0.564804884	0.970775077	0.999204104	1	0	0	1
hybrid_lambda0.5	genome_trans	143977	49404	0.34313814	0.539259743	0.983101468	1	0	0	1
hybrid_lambda0.75	genome_all	350034	165842	0.473788261	0.793260083	0.992580721	1	0	0	1
hybrid_lambda0.75	genome_cis	206057	116395	0.564867973	0.970784783	0.999204104	1	0	0	1
hybrid_lambda0.75	genome_trans	143977	49447	0.343436799	0.539190287	0.983101468	1	0	0	1
hybrid_lambda1	genome_all	350034	165924	0.474022524	0.793285795	0.992580721	1	0	0	1
hybrid_lambda1	genome_cis	206057	116431	0.565042682	0.97077993	0.999204104	1	0	0	1
hybrid_lambda1	genome_trans	143977	49493	0.343756294	0.539259743	0.983101468	1	0	0	1
readgroup_only	genome_all	347437	165263	0.475663214	0.795372974	1	0.992580721	0	0	1
readgroup_only	genome_cis	205893	116388	0.56528391	0.971004357	1	0.999204104	0	0	1
readgroup_only	genome_trans	141544	48875	0.345298988	0.539895721	1	0.983101468	0	0	1
