source_config	policy	scope	n_eval_contacts	top1_accuracy	delta_trans_vs_source_baseline	target_plus0p1_met	same_cross_accuracy	decoded_contact_fraction	scope_contact_fraction_vs_baseline	construction_uses_phase_labels	construction_uses_charm_or_reference	eval_only_uses_phase_labels_for_scoring
baseline	baseline	genome_trans	143977	0.315369816	0	0	0.511790078	0	1	0	0	1
baseline	hybrid_lambda0.25	genome_trans	143977	0.315619856	0.00025004	0	0.511776186	0.983101468	1	0	0	1
baseline	hybrid_lambda0.5	genome_trans	143977	0.316314411	0.000944595	0	0.511859533	0.983101468	1	0	0	1
baseline	hybrid_lambda0.75	genome_trans	143977	0.31630052	0.000930704	0	0.511498364	0.983101468	1	0	0	1
baseline	hybrid_lambda1	genome_trans	143977	0.316633907	0.001264091	0	0.511685894	0.983101468	1	0	0	1
baseline	readgroup_only	genome_trans	141544	0.317385407	0.002015591	0	0.511819646	1	0.983101468	0	0	1
sep_copytrack	baseline	genome_trans	143977	0.342332456	0	0	0.53934309	0	1	0	0	1
sep_copytrack	hybrid_lambda0.25	genome_trans	143977	0.342415803	8.3347e-05	0	0.539176396	0.983101468	1	0	0	1
sep_copytrack	hybrid_lambda0.5	genome_trans	143977	0.34313814	0.000805684	0	0.539259743	0.983101468	1	0	0	1
sep_copytrack	hybrid_lambda0.75	genome_trans	143977	0.343436799	0.001104343	0	0.539190287	0.983101468	1	0	0	1
sep_copytrack	hybrid_lambda1	genome_trans	143977	0.343756294	0.001423838	0	0.539259743	0.983101468	1	0	0	1
sep_copytrack	readgroup_only	genome_trans	141544	0.345298988	0.002966532	0	0.539895721	1	0.983101468	0	0	1
