minimal P9016: input=/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz output_root=/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs config=p9016_pcgamma1_msep1_lsep1_lct0p03_gct0p01_ieps0p5_noise0_seed17 baseline=softall n_iter=100 relax_steps=100 relax_step=0.012 chain=0 init_mode=unphased_scaffold_split init_eps=0.5 init_noise=0 init_scale=10 init_seed=17 min_sep=1 lambda_sep=1 lambda_copytrack=0.029999999 lambda_global_copytrack=0.0099999998 trans_chr_pair_prior_lambda=0 trans_chr_pair_prior_eps=0.001 trans_chr_pair_prior_power=1 trans_chr_pair_prior_warmup_iter=0 d_scale_mode=posterior_count d_scale_input=posterior_count d_scale_formula=n_raw*posterior_prob^1 d_scale_gamma=1 d_scale_eps=1e-06 readgroup_mode=off readgroup_max_segments=8 readgroup_eps=1e-06 relax_backend=cpu
minimal P9016: stage 1/1 name=1m bin_size_bp=1000000 parent=0
[M::hk_map_read] read 1703888 pairs
[M::hk_bmap_gen] generated 2633 beads
[M::hk_bmap_gen] 489556 bin pairs
minimal P9016[1m]: build binned contacts
minimal P9016[1m]: init mode=unphased_scaffold_split seed=17 scale=10
[M::hk_fdg] mid_dist:1000000 max_nei:69
[M::hk_fdg1_cpu] iter:10 elapsed:0.35s rep_coef:0.2092 RMS_force:367.1874 n_rep:43.0820 energy:25.1082,6.6566,0.0049 dist:5.6169,6.6204,1.4501
[M::hk_fdg1_cpu] iter:20 elapsed:0.83s rep_coef:0.6615 RMS_force:336.9308 n_rep:157.7303 energy:7.7515,3.4068,0.0177 dist:3.4076,4.2658,1.4016
[M::hk_fdg1_cpu] iter:30 elapsed:1.78s rep_coef:0.9352 RMS_force:226.0828 n_rep:592.3505 energy:1.8327,1.0566,0.0354 dist:1.9896,2.3234,1.2554
[M::hk_fdg1_cpu] iter:40 elapsed:3.17s rep_coef:0.9907 RMS_force:132.8226 n_rep:808.7839 energy:0.5357,0.4158,0.0366 dist:1.4081,1.7237,1.2560
[M::hk_fdg1_cpu] iter:50 elapsed:4.62s rep_coef:0.9987 RMS_force:99.3491 n_rep:815.5837 energy:0.1678,0.2703,0.0325 dist:1.0643,1.6062,1.3142
minimal P9016[1m]: run softall, n_iter=100 relax_steps=100 relax_step=0.012 relax_backend=cpu
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 287142 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 286570 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 270474 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 256565 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 245065 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 236598 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 230353 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 225438 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221985 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219554 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 217451 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216422 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216100 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216034 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216071 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216030 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215980 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215801 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215490 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215407 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215468 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215298 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215137 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215061 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215035 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214912 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214934 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214851 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214770 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214692 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214640 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214582 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214556 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214378 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214221 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214149 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214074 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214038 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213992 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213900 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213835 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213792 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213766 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213663 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213626 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213610 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213629 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213670 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213616 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213574 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213552 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213497 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213482 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213497 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213451 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213357 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213278 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213226 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213194 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213133 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213122 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213025 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212984 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212921 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212849 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212785 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212708 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212686 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212726 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212688 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212660 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212618 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212533 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212541 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212544 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212515 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212489 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212449 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212451 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212449 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212401 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212387 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212349 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212308 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212271 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212243 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212225 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212241 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212230 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212216 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212235 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212201 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212222 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212219 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212215 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212212 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212198 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212260 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212299 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 212273 bin pairs
minimal P9016[1m]: write outputs to /mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_msep1_lsep1_lct0p03_gct0p01_ieps0p5_noise0_seed17
[M::hk_bmap_gen] generated 5266 beads
