minimal P9016: input=/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz output_root=/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs config=p9016_pcgamma1_sep0_lct0p03_gct0_ieps0p5_noise0_seed17 baseline=softall n_iter=100 relax_steps=100 relax_step=0.012 chain=0 init_mode=unphased_scaffold_split init_eps=0.5 init_noise=0 init_scale=10 init_seed=17 min_sep=0 lambda_sep=0 lambda_copytrack=0.029999999 lambda_global_copytrack=0 trans_chr_pair_prior_lambda=0 trans_chr_pair_prior_eps=0.001 trans_chr_pair_prior_power=1 trans_chr_pair_prior_warmup_iter=0 d_scale_mode=posterior_count d_scale_input=posterior_count d_scale_formula=n_raw*posterior_prob^1 d_scale_gamma=1 d_scale_eps=1e-06 readgroup_mode=off readgroup_max_segments=8 readgroup_eps=1e-06 relax_backend=cpu
minimal P9016: stage 1/1 name=1m bin_size_bp=1000000 parent=0
[M::hk_map_read] read 1703888 pairs
[M::hk_bmap_gen] generated 2633 beads
[M::hk_bmap_gen] 489556 bin pairs
minimal P9016[1m]: build binned contacts
minimal P9016[1m]: init mode=unphased_scaffold_split seed=17 scale=10
[M::hk_fdg] mid_dist:1000000 max_nei:69
[M::hk_fdg1_cpu] iter:10 elapsed:0.33s rep_coef:0.2092 RMS_force:367.1874 n_rep:43.0820 energy:25.1082,6.6566,0.0049 dist:5.6169,6.6204,1.4501
[M::hk_fdg1_cpu] iter:20 elapsed:0.79s rep_coef:0.6615 RMS_force:336.9308 n_rep:157.7303 energy:7.7515,3.4068,0.0177 dist:3.4076,4.2658,1.4016
[M::hk_fdg1_cpu] iter:30 elapsed:1.74s rep_coef:0.9352 RMS_force:226.0828 n_rep:592.3505 energy:1.8327,1.0566,0.0354 dist:1.9896,2.3234,1.2554
[M::hk_fdg1_cpu] iter:40 elapsed:3.15s rep_coef:0.9907 RMS_force:132.8226 n_rep:808.7839 energy:0.5357,0.4158,0.0366 dist:1.4081,1.7237,1.2560
[M::hk_fdg1_cpu] iter:50 elapsed:4.60s rep_coef:0.9987 RMS_force:99.3491 n_rep:815.5837 energy:0.1678,0.2703,0.0325 dist:1.0643,1.6062,1.3142
minimal P9016[1m]: run softall, n_iter=100 relax_steps=100 relax_step=0.012 relax_backend=cpu
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 287142 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 286202 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 270758 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 256828 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 245259 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 236683 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 230430 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 225177 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 221768 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 219468 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 217471 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216792 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216306 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216136 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216202 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216043 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216207 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 216104 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215953 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215819 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215662 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215549 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215531 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215514 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215483 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215343 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215187 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215124 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215070 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 215030 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214919 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214886 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214823 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214762 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214683 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214596 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214569 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214441 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214415 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214388 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214323 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214313 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214287 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214258 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214216 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214218 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214178 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214132 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214067 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 214024 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213955 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213893 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213792 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213789 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213723 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213685 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213658 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213692 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213695 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213719 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213676 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213707 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213709 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213741 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213765 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213809 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213811 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213803 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213801 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213775 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213801 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213810 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213823 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213806 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213795 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213791 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213771 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213777 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213750 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213772 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213787 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213790 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213786 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213805 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213824 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213813 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213829 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213833 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213831 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213861 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213840 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213842 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213834 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213833 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213825 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213855 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213808 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213785 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213781 bin pairs
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213786 bin pairs
minimal P9016[1m]: write outputs to /mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0p03_gct0_ieps0p5_noise0_seed17
[M::hk_bmap_gen] generated 5266 beads
[M::hk_bmap_gen] 213780 bin pairs
