config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	rho_train_mode	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma1_msep1_lsep0p5_lct0_gct0p01_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_lct0_gct0p01_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_msep1_lsep0p5_lct0_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	0.5	0	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.85355091	1.53278816	10.1212273	3.51447892	4.83503389	0.605228722	0.436580271	16012.4326	14940.9492	100.859955	0	0	0	0	527.830505	692.348755	86845.6562	0	0	0.00797217484	0.471186	0.571628	0.327434	0.788601	0.970853	0.527765	0.791643	3.51447884	4.8350341	0.954706081	0.992966064	0.0015308075	0.00382701875
p9016_pcgamma1_msep1_lsep0p5_lct0p01_gct0p01_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_lct0p01_gct0p01_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_msep1_lsep0p5_lct0p01_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	0.5	0.00999999978	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.84167242	1.31942332	9.31035614	3.48908162	4.82500887	0.605196118	0.436556727	16086.8848	14995.4072	92.8108063	0	0	20.506628	239.71376	528.686523	692.307556	86945.1094	0	0.00275707008	0.00796258192	0.473243	0.574724	0.328004	0.788366	0.97111	0.526827	0.793963	3.48908157	4.82500895	0.956829703	0.993273347	0.0015308075	0.003061615
p9016_pcgamma1_msep1_lsep0p5_lct0p03_gct0p01_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_msep1_lsep0p5_lct0p03_gct0p01_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_msep1_lsep0p5_lct0p03_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	0.5	0.0299999993	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.80211735	1.42068315	9.83885574	3.32314348	4.79489422	0.607792139	0.438429356	16164.1855	15088.415	93.5426331	0	0	55.7938118	688.608887	513.75946	674.293579	87457.3906	0	0.00787365004	0.00770996681	0.4691	0.572196	0.321551	0.786855	0.971333	0.522834	0.791861	3.32314344	4.79489416	0.959618087	0.993686246	0.00114810563	0.00344431688
p9016_pcgamma1_msep1_lsep1_lct0_gct0p01_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_msep1_lsep1_lct0_gct0p01_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_msep1_lsep1_lct0_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	1	0	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.83461523	1.57954323	10.645359	3.38730145	4.84562826	0.600699723	0.43331328	16058.2383	15002.8105	93.9339905	0	0	0	0	518.826355	683.890381	86782.4453	0	0	0.00788051522	0.475394	0.571827	0.33738	0.795423	0.972066	0.542614	0.79352	3.38730156	4.84562807	0.952652316	0.993101022	0.00076540375	0.00420972063
p9016_pcgamma1_msep1_lsep1_lct0p01_gct0p01_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_msep1_lsep1_lct0p01_gct0p01_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_msep1_lsep1_lct0p01_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	1	0.00999999978	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.83074951	1.60109282	9.8243227	3.39084244	4.84152842	0.601511538	0.433898866	16092.29	15012.4102	90.6369324	0	0	19.7746315	237.341431	519.306946	684.00293	86895.0625	0	0.00273135693	0.00787159719	0.472166	0.575147	0.324781	0.788415	0.972071	0.52557	0.792007	3.39084258	4.84152838	0.953480925	0.993461802	0.00076540375	0.00344431688
p9016_pcgamma1_msep1_lsep1_lct0p03_gct0p01_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_msep1_lsep1_lct0p03_gct0p01_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_msep1_lsep1_lct0p03_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	1	0.0299999993	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.796422	1.71426082	9.66624641	3.23360848	4.82096529	0.605444014	0.436735511	16183.8086	15127.9512	97.9280014	0	0	55.2951584	687.837463	512.085327	674.563538	87306.0391	0	0.00787846374	0.00772642471	0.467963	0.571007	0.320489	0.786481	0.97161	0.521528	0.788995	3.23360848	4.820965	0.958027993	0.993777307	0.00076540375	0.00267891313
p9016_pcgamma1_msep1p5_lsep1_lct0p01_gct0p01_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_msep1p5_lsep1_lct0p01_gct0p01_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_msep1p5_lsep1_lct0p01_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1.5	1	0.00999999978	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.8393507	1.45236945	10.7817984	3.34523559	4.85144091	0.604443133	0.436013579	16103.7852	15057.5693	104.954117	0.00228186115	0.21013394	19.9648685	236.877853	525.685669	689.438782	87039.2969	2.41424216e-06	0.00272150467	0.00792100587	0.466466	0.571832	0.315668	0.785241	0.970959	0.519444	0.797739	3.34523563	4.85144101	0.955924767	0.993287377	0.00076540375	0.0045924225
p9016_pcgamma1_sep0_lct0_gct0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.014678	1.53509235	12.7347031	3.72130752	4.92364264	0.607306719	0.438079208	16172.8691	14703.8145	108.880112	0	0	0	0	0	0	87080.3281	0	0	0	0.465049	0.569634	0.31537	0.78127	0.969562	0.51179	0.800612	3.72130741	4.92364265	0.958768845	0.993952958	0.00191350938	0.003061615
p9016_pcgamma1_sep0_lct0_gct0p001_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0p001_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0p001_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0.00100000005	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.99303818	1.56193113	12.6649284	3.62275386	4.90939951	0.611304224	0.440962762	16116.1885	14730.2705	108.882416	0	0	0	0	58.4131203	73.2961731	86917.0547	0	0	0.000843288735	0.463081	0.567324	0.31389	0.783667	0.969838	0.517222	0.797198	3.62275398	4.90939916	0.957778797	0.993854645	0.00191350938	0.00382701875
p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	60	56678fda6d6f4057739dbc209aa198f6c54361bc400cc17c9e634975d1132f0f	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.97040129	1.42230642	12.322629	3.57992506	4.89213371	0.610846996	0.440632969	16114.2109	14703.0273	102.776833	0	0	0	0	173.22435	218.614639	87269.1406	0	0	0.00250506236	0.467957	0.568687	0.323795	0.785938	0.970139	0.522313	0.797256	3.57992513	4.89213383	0.958590251	0.99372147	0.00191350938	0.00267891313
