config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	rho_train_mode	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma1_sep0_lct0_gct0_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0_gct0p001_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0p001_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0p001_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0.00100000005	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0_gct0p01_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0p01_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0_gct0p03_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0p03_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0p03_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0.0299999993	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0_gct0p1_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0p1_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0_gct0p1_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0.100000001	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0p001_gct0_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0p001_gct0_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0p001_gct0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0.00100000005	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	3.44939077e-10	1.6501428e-05	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0p003_gct0_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0p003_gct0_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0p003_gct0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0.00300000003	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	1.03481712e-09	4.95042805e-05	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0p003_gct0p003_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0p003_gct0p003_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0p003_gct0p003_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0.00300000003	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	1.03481712e-09	4.95042805e-05	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
p9016_pcgamma1_sep0_lct0p003_gct0p01_ieps0p5_noise0_seed17	P9016	SKIPPED_EVAL_SMOKE_MODE	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0p003_gct0p01_ieps0p5_noise0_seed17	/tmp/hk_blind_test_res_030_smoke/030-smoke-p9016_global_copytrack_1m/eval/p9016_pcgamma1_sep0_lct0p003_gct0p01_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	59	630f237581aa91149a7c337b8f0dba11a428d50025f94cb8f5379290179ea97e	cpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0.00300000003	0.00999999978	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	1.00237644	1.00231004	1.00245476	1.00231004	1.00239658	1.32029605	0.95239228	0	0.503772736	227.281113	0	0	1.03481712e-09	4.95042805e-05	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00231009	1.00239664	0.999999956	0.999999989	0	0
