config_name	score_mode	trans_top_frac	boost_copies	min_sep_unit	lambda_sep	selected_trans_bpairs	selected_trans_raw_pairs	extra_copies_written	output_pairs	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	delta_trans_vs_baseline	target_plus_0p1_met	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma1_confboost_pmax_margin_top0p005_b2_sep0_ieps0p5_noise0_seed17	pmax_margin	0.005	2	0	0	2016	41854	41854	1745742	0.471371	0.570371	0.329685	0.012093	0	0.530182	0.808165	0.612581909	0.441884458	1.58095813	3.54065919	4.95014334	0	0
p9016_pcgamma1_confboost_pmax_top0p02_b2_sep0_ieps0p5_noise0_seed17	pmax	0.02	2	0	0	8064	76576	76576	1780464	0.459904	0.551949	0.32817	0.010578	0	0.541746	0.739462	0.609425187	0.439607322	1.30304587	2.9890933	4.69488001	0.00420972063	0.00574052813
p9016_pcgamma1_confboost_pmax_margin_entropy_top0p05_b2_sep0_ieps0p5_noise0_seed17	pmax_margin_entropy	0.05	2	0	0	20159	104676	104676	1808564	0.461675	0.555599	0.327254	0.009662	0	0.537871	0.742854	0.604432225	0.436005682	0.446749866	2.94931841	4.80511236	0.00803673938	0.0130118638
p9016_pcgamma1_approved_msep1_lsep1_ieps0p5_noise0_seed17	NA	NA	NA	1	1	NA	NA	NA	NA	0.467463	0.568061	0.323489	0.005897	0	0.529216	0.79463	0.59696579	0.430619806	1.33821261	3.58990312	4.93882084	0.00191350938	0.00267891313
p9016_pcgamma1_confboost_pmax_margin_entropy_top0p02_b2_sep0_ieps0p5_noise0_seed17	pmax_margin_entropy	0.02	2	0	0	8064	76659	76659	1780547	0.460901	0.557283	0.322961	0.005369	0	0.534947	0.747853	0.61669004	0.444847822	0.911422431	2.95037198	4.61535692	0.00420972063	0.0076540375
p9016_pcgamma1_confboost_pmax_margin_top0p02_b2_sep0_ieps0p5_noise0_seed17	pmax_margin	0.02	2	0	0	8064	76341	76341	1780229	0.463312	0.562403	0.321496	0.003904	0	0.525945	0.781876	0.618372977	0.44606182	1.13790894	3.11447215	4.70014858	0.00267891313	0.00267891313
p9016_pcgamma1_confboost_pmax_top0p05_b5_sep0_ieps0p5_noise0_seed17	pmax	0.05	5	0	0	20159	104565	418260	2122148	0.452925	0.54564	0.320232	0.00264	0	0.521312	0.755212	0.652778745	0.4708803	0.926455319	2.77900171	4.6450119	0.00803673938	0.0076540375
p9016_pcgamma1_approved_baseline_ieps0p5_noise0_seed17	NA	NA	NA	0	0	NA	NA	NA	NA	0.46606	0.569799	0.317592	0	0	0.514624	0.801886	0.611727953	0.441268414	1.51510656	3.66769004	5.01181269	0.0015308075	0.003061615
p9016_pcgamma1_confboost_pmax_margin_top0p02_b2_msep1_lsep1_ieps0p5_noise0_seed17	pmax_margin	0.02	2	1	1	8064	76341	76341	1780229	0.459678	0.559141	0.317328	-0.000264	0	0.523577	0.767741	0.627714634	0.452800423	0.965634406	2.90483856	4.60769844	0.00344431688	0.00497512438
p9016_pcgamma1_confboost_pmax_top0p02_b5_sep0_ieps0p5_noise0_seed17	pmax	0.02	5	0	0	8064	76576	306304	2010192	0.45321	0.549052	0.316044	-0.001548	0	0.525042	0.763133	0.621080041	0.448014557	0.922621965	3.07649088	4.98615265	0.00688863375	0.00995024876
p9016_pcgamma1_confboost_pmax_margin_top0p01_b2_sep0_ieps0p5_noise0_seed17	pmax_margin	0.01	2	0	0	4032	59740	59740	1763628	0.457676	0.556642	0.316037	-0.001555	0	0.526563	0.751412	0.629301131	0.453944832	1.17500842	2.98041725	4.75986052	0.00497512438	0.00727133563
p9016_pcgamma1_confboost_pmax_margin_top0p01_b5_sep0_ieps0p5_noise0_seed17	pmax_margin	0.01	5	0	0	4032	59740	238960	1942848	0.456864	0.557006	0.313543	-0.004049	0	0.51818	0.753231	0.628001213	0.453007132	0.899563432	2.72828317	4.55162144	0.00382701875	0.00612323
p9016_pcgamma1_confboost_pmax_top0p05_b2_sep0_ieps0p5_noise0_seed17	pmax	0.05	2	0	0	20159	104565	104565	1808453	0.450588	0.548115	0.311008	-0.006584	0	0.516541	0.755258	0.628883719	0.453643739	1.26932907	2.93119526	4.60191107	0.00229621125	0.0130118638
p9016_pcgamma1_confboost_pmax_margin_top0p02_b5_sep0_ieps0p5_noise0_seed17	pmax_margin	0.02	5	0	0	8064	76341	305364	2009252	0.448762	0.546625	0.308702	-0.00889	0	0.521424	0.756678	0.631068289	0.455219537	1.4714272	3.18092632	4.74794674	0.00841944126	0.00841944126
p9016_pcgamma1_confboost_pmax_margin_top0p05_b2_msep1_lsep1_ieps0p5_noise0_seed17	pmax_margin	0.05	2	1	1	20159	103860	103860	1807748	0.442488	0.537264	0.306848	-0.010744	0	0.518277	0.73027	0.636308193	0.458999336	1.3922317	3.13709331	4.66782475	0.00344431688	0.0114810563
p9016_pcgamma1_confboost_pmax_margin_entropy_top0p05_b5_sep0_ieps0p5_noise0_seed17	pmax_margin_entropy	0.05	5	0	0	20159	104676	418704	2122592	0.440272	0.538817	0.299235	-0.018357	0	0.514207	0.735932	0.642053246	0.463143498	1.43721569	3.05684185	4.59194803	0.01224646	0.01224646
p9016_pcgamma1_confboost_pmax_margin_top0p02_b5_msep1_lsep1_ieps0p5_noise0_seed17	pmax_margin	0.02	5	1	1	8064	76341	305364	2009252	0.443583	0.544922	0.298548	-0.019044	0	0.510936	0.762145	0.633439779	0.45693022	0.950161338	3.03735232	4.79556894	0.00727133563	0.00995024876
