config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	rho_train_mode	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma1_tk1_td0p5_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1_td0p5_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1_td0p5_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.37885857	0.315692484	13.0498257	2.7480166	4.31617641	0.699071288	0.504273295	65538.7109	19750.2832	220.589066	0	0	0	0	0	0	132430.578	0	0	0	0.476034	0.567358	0.345333	0.783255	0.953736	0.539267	0.760296	2.74801668	4.31617642	0.936990137	0.992734986	0.00191350938	0.00420972063
p9016_pcgamma1_tk1_td0p75_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1_td0p75_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1_td0p75_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.75	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.62464523	1.10920179	12.1847429	2.96020865	4.57882547	0.651093245	0.469664484	30989.8828	17557.2793	149.300919	0	0	0	0	0	0	110681.18	0	0	0	0.462841	0.561141	0.322156	0.781593	0.968116	0.514645	0.783085	2.96020869	4.57882566	0.946407755	0.993255328	0.00076540375	0.003061615
p9016_pcgamma1_tk1_td0p9_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1_td0p9_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1_td0p9_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.899999976	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.92637205	1.31809092	12.7106457	3.48826861	4.87743711	0.61406517	0.442954391	20504.2773	15774.2256	113.925255	0	0	0	0	0	0	95960.7812	0	0	0	0.466638	0.569143	0.319933	0.78926	0.96812	0.53328	0.792774	3.48826858	4.87743707	0.958982794	0.9933	0.00229621125	0.00420972063
p9016_pcgamma1_tk1_td1_msep1_lsep1_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1_td1_msep1_lsep1_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1_td1_msep1_lsep1_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	1	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.93934774	1.35799825	13.2605476	3.58317113	4.89057064	0.596827805	0.430520266	16308.5557	14888.4023	115.569702	0	0	0	0	0	0	87522.0547	0	0	0	0.467915	0.567741	0.325045	0.787912	0.969877	0.527487	0.794501	3.58317086	4.89057108	0.957556625	0.993425022	0.00191350938	0.00267891313
p9016_pcgamma1_tk1_td1_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1_td1_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1_td1_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.01565552	1.51055276	12.743062	3.72313046	4.92094517	0.607318997	0.438088059	16173.5322	14702.1904	108.533531	0	0	0	0	0	0	87069.9922	0	0	0	0.464792	0.56925	0.315293	0.781253	0.969557	0.511755	0.800822	3.7231304	4.92094513	0.958490407	0.99392721	0.0015308075	0.003061615
p9016_pcgamma1_tk1_td1p25_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1_td1p25_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1_td1p25_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	1.25	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.29072094	1.08888483	12.8366528	3.72182846	5.24515057	0.570283711	0.411372751	9556.67285	12262.2354	125.676422	0	0	0	0	0	0	68768.4766	0	0	0	0.469886	0.561738	0.338429	0.792857	0.968426	0.541587	0.796829	3.72182835	5.24515036	0.960520764	0.994115197	0.003061615	0.00382701875
p9016_pcgamma1_tk1p25_td1_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1p25_td1_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1p25_td1_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1.25	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.89378881	2.13693619	12.3023233	3.5486033	4.82255554	0.626615703	0.452007681	17546.5469	16667.9727	143.757278	0	0	0	0	0	0	98935.4688	0	0	0	0.453062	0.553861	0.308799	0.786458	0.969945	0.523855	0.784836	3.54860327	4.82255556	0.957099928	0.993450017	0.00191350938	0.00267891313
p9016_pcgamma1_tk1p5_td0p75_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1p5_td0p75_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1p5_td0p75_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1.5	0.75	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.36475754	0.813229501	12.0516539	2.86855555	4.34380198	0.694347382	0.500865757	35454.9023	22128.541	180.466797	0	0	0	0	0	0	138679.266	0	0	0	0.465863	0.564902	0.324121	0.786084	0.963995	0.53146	0.771768	2.86855553	4.34380189	0.937679679	0.991291909	0.00267891313	0.00612323
p9016_pcgamma1_tk1p5_td1_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1p5_td1_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk1p5_td1_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1.5	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.752388	1.86375415	12.5092487	3.26747608	4.69164085	0.637193799	0.459638149	18800.873	18397.041	165.248734	0	0	0	0	0	0	108609.344	0	0	0	0.456893	0.55325	0.318988	0.783892	0.967359	0.521319	0.781341	3.26747606	4.69164128	0.949958774	0.992818263	0.0015308075	0.00382701875
p9016_pcgamma1_tk2_td0p5_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk2_td0p5_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/eval/p9016_pcgamma1_tk2_td0p5_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	68	fd6c97646f165f77be43d231d423a09faedb9ec5f8c14f61cab17f0f629f14c7	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	2	0.5	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	3.89710522	0.512166083	11.9514141	2.25653887	3.88369846	0.772300422	0.557097018	87902.1484	30728.1367	310.957001	0	0	0	0	0	0	209415.125	0	0	0	0.456827	0.548377	0.325802	0.765091	0.931941	0.526299	0.682825	2.25653885	3.88369865	0.899014324	0.98975478	0.00650593188	0.0103329506
