key	value
sample	P9016
runner_family	p9016_minimal
runner_version	2026-06-15
default_profile	p9016_softall_minimal_v2
config_name	p9016_pcgamma1_top1mix0p75_pmax0p30_m0_td1_sep0
git_commit	1037ee5f79d54e943eef5c37e5aeb2d841698cb8
git_dirty_count	71
binary_hash	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c
input_path	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz
input_contact_source	raw_pairs
output_dir	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1mix0p75_pmax0p30_m0_td1_sep0
n_raw	1703888
n_bpair	489556
n_beads	2633
resolution	1000000
n_iter	100
bin_size_bp	1000000
resolution_label	1Mb
refinement_stage	1m
refinement_stage_index	1
refinement_n_stages	1
parent_bin_size_bp	0
refinement_init_source	unphased_scaffold_split
refinement_child_offset_step	0.0500000007
refinement_parent_anchor_k	0.0500000007
relax_backend	gpu
approved_p9016_raw_pairs_realpath	1
unit	1
d_scale	1
base_k_mode	neighbor_median
base_k_effective	0.943498492
base_k_min	0.307180494
base_k_mean	0.943498492
base_k_max	1
base_k_n_nonfinite	0
init_mode	unphased_scaffold_split
init_eps	0.5
init_noise_scale	0
init_scale	10
init_eps_effective	0.5
init_noise_scale_effective	0
init_scale_effective	0
init_seed	17
scaffold_source	unphased_fdg
scaffold_fdg_n_iter	50
prior_mode	uniform
prior_eps	9.99999997e-07
trans_chr_pair_prior_mode	off
trans_chr_pair_prior_lambda	0
trans_chr_pair_prior_eps	0.00100000005
trans_chr_pair_prior_power	1
trans_chr_pair_prior_warmup_iter	0
trans_chr_pair_prior_source	blind_previous_posterior_by_chromosome_pair
trans_chr_pair_prior_scope	trans_bpairs_only
trans_chr_pair_prior_uses_phase_labels	0
trans_chr_pair_prior_uses_charm_or_reference	0
prior_inter_density	0
prior_observed_inter	0
prior_possible_inter	0
prior_n_distance_bins	0
prior_n_alpha	0
prior_alpha_min	0
prior_alpha_median	0
prior_alpha_max	0
prior_smoothing_method	none
prior_alpha_clamp_min	9.99999997e-07
prior_alpha_clamp_max	0.5
rho_train_mode	constant
rho_train	1
rho_train_floor	0
baseline	softall
mstep_graph_mode	raw_expected_soft_all
training_graph_mode	raw_expected_soft_all
softall_mode	raw_expected_soft_all
training_graph_weighted_filter	1
training_graph_probability_weighted	1
edge_k_probability_weighted	1
dscale_mode	posterior_count
d_scale_mode_input_string	posterior_count
d_scale_posterior_gamma	1
dscale_posterior_gamma	1
dscale_effective_count_formula	n_raw*posterior_prob^1
dscale_probability_weighted	1
legacy_expected_count_alias_used	0
training_graph_dscale_probability_weighted	1
trans_contact_scaling_mode	off
trans_k_multiplier	1
trans_dscale_multiplier	1
trans_contact_scaling_scope	trans_edges_only
trans_contact_scaling_uses_phase_labels	0
trans_contact_scaling_uses_charm_or_reference	0
trans_top1_mstep_mode	mix
trans_top1_mstep_min_pmax	0.300000012
trans_top1_mstep_min_margin	0
