config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	rho_train_mode	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma1_top1hard_pmax0p30_m0_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p30_m0_td1_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p30_m0_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	hard	0.300000012	0	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	3.87232137	1.8677901	11.4296303	3.09788251	3.77116394	0.810618281	0.58473748	34137.7461	53000.9922	113.762444	0	0	0	0	0	0	282580.438	0	0	0	0.417537	0.522496	0.26732	0.774308	0.968169	0.496857	0.779285	3.09788245	3.77116387	0.937404116	0.993104454	0	0.00191350938
p9016_pcgamma1_top1hard_pmax0p30_m0p02_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p30_m0p02_td1_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p30_m0p02_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	hard	0.300000012	0.0199999996	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.01359606	1.77226305	10.9899921	3.13295484	3.86742568	0.768185019	0.554128349	34476.4648	46985.418	77.1103973	0	0	0	0	0	0	256666.297	0	0	0	0.427853	0.523807	0.290526	0.785738	0.972561	0.518361	0.783327	3.13295463	3.86742583	0.939864637	0.992767478	0	0
p9016_pcgamma1_top1hard_pmax0p35_m0_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p35_m0_td1_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p35_m0_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	hard	0.349999994	0	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.00864887	1.7534523	11.5378857	3.09645128	3.83554602	0.76336509	0.55065155	45220.1094	44025.0234	81.6503372	0	0	0	0	0	0	239840.781	0	0	0	0.425599	0.527961	0.2791	0.77891	0.970993	0.504004	0.787892	3.09645121	3.83554584	0.94351182	0.992838377	0.0015308075	0.0015308075
p9016_pcgamma1_top1hard_pmax0p35_m0p02_td0p5_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p35_m0p02_td0p5_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p35_m0p02_td0p5_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	hard	0.349999994	0.0199999996	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	3.46591735	1.49815571	10.927063	2.46795845	3.33260155	0.845062494	0.609583735	206011.688	85720.8281	117.344322	0	0	0	0	0	0	482918.438	0	0	0	0.412954	0.505811	0.280059	0.769605	0.952217	0.508255	0.736093	2.46795836	3.33260149	0.913479062	0.987999663	0.00114810563	0.00191350938
p9016_pcgamma1_top1hard_pmax0p35_m0p02_td1_msep1_lsep1	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p35_m0p02_td1_msep1_lsep1	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p35_m0p02_td1_msep1_lsep1	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	1	1	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	hard	0.349999994	0.0199999996	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	3.9944272	1.71164763	11.233016	3.04595685	3.84139323	0.759604394	0.547938764	34859.7383	48548.3555	93.7710571	0	0	0	0	0	0	262846.156	0	0	0	0.417539	0.521365	0.268946	0.776296	0.969523	0.499753	0.772309	3.04595701	3.84139315	0.934710239	0.992357945	0.0015308075	0.00191350938
p9016_pcgamma1_top1hard_pmax0p35_m0p02_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p35_m0p02_td1_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p35_m0p02_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	hard	0.349999994	0.0199999996	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	3.99637747	1.9199053	11.5631905	3.06598663	3.84214091	0.754505098	0.544260383	34439.0586	47896.6953	90.0667953	0	0	0	0	0	0	260989.859	0	0	0	0.418468	0.523768	0.267765	0.775002	0.967524	0.499469	0.770581	3.06598671	3.84214092	0.939664825	0.992654498	0.000382701875	0.00076540375
p9016_pcgamma1_top1hard_pmax0p40_m0_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p40_m0_td1_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p40_m0_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	hard	0.400000006	0	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	3.98556185	1.97919607	11.2789574	3.09475374	3.82787561	0.768543184	0.554386735	31693.8145	53033.1289	122.50164	0	0	0	0	0	0	278444.219	0	0	0	0.423699	0.520511	0.285143	0.774973	0.968402	0.498142	0.775418	3.09475383	3.82787556	0.939226772	0.992449422	0.000382701875	0.00076540375
p9016_pcgamma1_top1hard_pmax0p40_m0p05_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p40_m0p05_td1_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p40_m0p05_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	hard	0.400000006	0.0500000007	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.02306604	1.8547883	11.2974434	3.12541795	3.87627411	0.756444395	0.545659304	32850.9023	46862.9375	107.530823	0	0	0	0	0	0	255704.625	0	0	0	0.4434	0.531518	0.317287	0.791123	0.970736	0.534064	0.785341	3.12541796	3.87627414	0.944744789	0.992609444	0	0
p9016_pcgamma1_top1hard_pmax0p50_m0_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1hard_pmax0p50_m0_td1_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1hard_pmax0p50_m0_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	hard	0.5	0	1	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.11845303	2.32501578	11.5939913	3.22547245	4.00182724	0.749083221	0.540349364	33508.7656	42307.2383	107.41481	0	0	0	0	0	0	233578.828	0	0	0	0.420016	0.519754	0.277273	0.778667	0.971362	0.502886	0.782778	3.22547251	4.00182737	0.938043357	0.992735378	0.00076540375	0.00076540375
p9016_pcgamma1_top1mix0p5_pmax0p30_m0_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1mix0p5_pmax0p30_m0_td1_sep0	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/eval/p9016_pcgamma1_top1mix0p5_pmax0p30_m0_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	71	a56d80deb3800a23170980b792c59fe5c16ebd0d0d0f8f1eefc4178e1aa7fc6c	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	mix	0.300000012	0	0.5	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.73698473	1.33643878	11.5160055	3.2957921	4.66781378	0.617121935	0.445159376	19501.5391	16920.9316	145.593445	0	0	0	0	0	0	97582.2188	0	0	0	0.460258	0.554293	0.325677	0.787378	0.964621	0.53371	0.785996	3.29579224	4.66781359	0.952121855	0.993164624	0.00420972063	0.00535782625
