config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma1_rho_constant_temp1_td0p5_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_constant_temp1_td0p5_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_constant_temp1_td0p5_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.37399006	0.296572924	13.1137352	2.72949338	4.30404234	0.699464262	0.504556835	65613.2109	19770.7285	217.863892	0	0	0	0	0	0	132585.562	0	0	0	0.475042	0.565979	0.344895	0.783147	0.953479	0.539371	0.758404	2.72949332	4.30404265	0.935890205	0.992895071	0.0015308075	0.00535782625
p9016_pcgamma1_rho_constant_temp1_td1_sep0_ieps0p5_noise0_seed17	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_constant_temp1_td1_sep0_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_constant_temp1_td1_sep0_ieps0p5_noise0_seed17	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.0175581	1.53237367	12.6252108	3.65533304	4.92705011	0.611631513	0.441198856	16151.582	14714.4258	105.5541	0	0	0	0	0	0	87119.7734	0	0	0	0.464421	0.567178	0.317356	0.782521	0.969897	0.514353	0.80206	3.6553331	4.92705019	0.957444322	0.993742714	0.00191350938	0.003061615
p9016_pcgamma1_rho_entropy_cis_floor_trans0p25_temp1_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_cis_floor_trans0p25_temp1_td1_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_entropy_cis_floor_trans0p25_temp1_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	entropy_cis_floor_trans	1	0.25	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.01571178	1.4862839	12.7377863	3.72238922	4.91577911	0.607269883	0.438052654	16176.8584	14705.4072	109.712502	0	0	0	0	0	0	87086.3203	0	0	0	0.467843	0.569328	0.3226	0.784121	0.969572	0.518708	0.800545	3.72238901	4.91577896	0.958505059	0.993895019	0.0015308075	0.003061615
p9016_pcgamma1_rho_entropy_cis_floor_trans0p5_temp1_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_cis_floor_trans0p5_temp1_td1_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_entropy_cis_floor_trans0p5_temp1_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	entropy_cis_floor_trans	1	0.5	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.0159502	1.49391007	12.7375832	3.72215891	4.92027092	0.607251942	0.43803969	16175.7393	14703.7549	109.706116	0	0	0	0	0	0	87084.4297	0	0	0	0.468003	0.569541	0.322683	0.78413	0.969572	0.518729	0.800553	3.72215895	4.92027092	0.958503823	0.993902863	0.0015308075	0.003061615
p9016_pcgamma1_rho_entropy_floor0p25_temp1_td0p5_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p25_temp1_td0p5_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_entropy_floor0p25_temp1_td0p5_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	entropy_with_floor	1	0.25	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.36681652	0.310703486	13.0172348	2.7110374	4.30411673	0.701603591	0.506099999	65608.1328	19751.6699	218.174744	0	0	0	0	0	0	132658.609	0	0	0	0.474314	0.565149	0.344312	0.782338	0.952586	0.538683	0.758114	2.71103721	4.30411645	0.933325231	0.992768006	0.00191350938	0.00574052813
p9016_pcgamma1_rho_entropy_floor0p25_temp1_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p25_temp1_td1_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_entropy_floor0p25_temp1_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	entropy_with_floor	1	0.25	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.01568031	1.52097571	12.7394733	3.72318769	4.92225504	0.607277393	0.438058019	16166.876	14695.5049	108.615761	0	0	0	0	0	0	87102.2266	0	0	0	0.464663	0.569037	0.315286	0.78125	0.969591	0.5117	0.800898	3.72318756	4.9222551	0.958429279	0.993960515	0.00191350938	0.003061615
p9016_pcgamma1_rho_entropy_floor0p25_temp2to1_td0p5_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p25_temp2to1_td0p5_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_entropy_floor0p25_temp2to1_td0p5_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	entropy_with_floor	1	0.25	1	1	2	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	3.86955619	0.272409618	12.0765972	1.60313642	3.87000751	0.76397711	0.551092982	61982.3008	19044.2422	347.861298	0	0	0	0	0	0	126905.789	0	0	0	0.449871	0.526257	0.340547	0.733966	0.871201	0.537558	0.566328	1.6031364	3.87000741	0.839515266	0.989992929	0.01224646	0.0332950631
p9016_pcgamma1_rho_entropy_floor0p25_temp2to1_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p25_temp2to1_td1_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_entropy_floor0p25_temp2to1_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	entropy_with_floor	1	0.25	1	1	2	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38045073	0.913538158	12.849659	2.09659505	4.39867973	0.661805749	0.477391928	16617.7773	14522.0332	291.709229	0	0	0	0	0	0	85066.4531	0	0	0	0.437106	0.517473	0.322086	0.731323	0.879194	0.519694	0.59082	2.09659507	4.39868003	0.892305423	0.991769173	0.0141599694	0.0225794106
p9016_pcgamma1_rho_entropy_floor0p5_temp1_td0p5_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p5_temp1_td0p5_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_entropy_floor0p5_temp1_td0p5_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	entropy_with_floor	1	0.5	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.37077999	0.325333238	13.0755939	2.73246861	4.30835772	0.700257838	0.505129218	65541.25	19752.9062	220.457016	0	0	0	0	0	0	132477.969	0	0	0	0.475859	0.567333	0.344944	0.782741	0.953227	0.538746	0.75923	2.73246848	4.30835787	0.937112469	0.992811587	0.0015308075	0.00420972063
p9016_pcgamma1_rho_entropy_floor0p5_temp1_td1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p5_temp1_td1_sep0	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/eval/p9016_pcgamma1_rho_entropy_floor0p5_temp1_td1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	72	2ca8f47c6a2c49c356205ba924128d70eab33cb0fed45cc035fa16df32ab9860	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	entropy_with_floor	1	0.5	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.01709318	1.50978088	12.7415056	3.71906877	4.91686964	0.607259214	0.438044935	16184.2705	14698.7051	109.240959	0	0	0	0	0	0	87110.9141	0	0	0	0.467543	0.56878	0.322656	0.784272	0.969572	0.519076	0.800904	3.71906864	4.91686944	0.95839878	0.993900963	0.00191350938	0.003061615
