config_name	rho_train_mode	rho_train_floor	trans_dscale_multiplier	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	eval_copy_swap_policy	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	delta_trans_vs_baseline	target_plus_0p1_met
p9016_pcgamma1_td0p5_sep0_lct0p03_gct0p003	constant	0	0.5	0	0	0.0299999993	0.00300000003	whole_chrom_snp_eval_only	0.481979	0.572094	0.353008	0.552637	0.769483	0.696803987	0.502637804	0.460427523	2.83314991	4.39656687	0.0015308075	0.0045924225	0.00526962876	0.00141058727	0.036742	0
p9016_pcgamma1_td0p5_entropyfloor0p5_sep0_lct0p01_gct0	entropy_with_floor	0.5	0.5	0	0	0.00999999978	0	whole_chrom_snp_eval_only	0.478911	0.568003	0.351403	0.542295	0.763052	0.698627293	0.503953099	0.352698177	2.76446962	4.36850309	0.0015308075	0.00612323	0.00183294625	0	0.035137	0
p9016_pcgamma1_td0p5_sep0_lct0p01_gct0	constant	0	0.5	0	0	0.00999999978	0	whole_chrom_snp_eval_only	0.479282	0.568867	0.35107	0.541906	0.762935	0.698452532	0.503827035	0.352800637	2.75856352	4.37060213	0.0015308075	0.00612323	0.00183916706	0	0.034804	0
p9016_pcgamma1_td0p5_sep0_lct0_gct0p01	constant	0	0.5	0	0	0	0.00999999978	whole_chrom_snp_eval_only	0.479911	0.570012	0.350959	0.551588	0.758948	0.705884993	0.509188354	0.348994702	2.64297223	4.30199146	0.00344431688	0.0110983544	0	0.00452930372	0.034693	0
p9016_pcgamma1_td0p5_sep0_lct0p01_gct0p003	constant	0	0.5	0	0	0.00999999978	0.00300000003	whole_chrom_snp_eval_only	0.476788	0.565392	0.34998	0.54872	0.757005	0.703584075	0.507528603	0.319390893	2.69119954	4.32274914	0.00191350938	0.00382701875	0.00183905658	0.00138092073	0.033714	0
p9016_pcgamma1_td0p5_entropyfloor0p5_sep0_lct0p01_gct0p003	entropy_with_floor	0.5	0.5	0	0	0.00999999978	0.00300000003	whole_chrom_snp_eval_only	0.476608	0.56512	0.349931	0.548553	0.757059	0.703506231	0.507472515	0.319245249	2.69301796	4.32373333	0.00191350938	0.00382701875	0.00183769771	0.00138157117	0.033665	0
p9016_pcgamma1_td0p5_sep0_lct0p03_gct0	constant	0	0.5	0	0	0.0299999993	0	whole_chrom_snp_eval_only	0.477702	0.568702	0.347465	0.539267	0.762043	0.702229738	0.506551683	0.36555478	2.67662477	4.36604357	0.0015308075	0.00382701875	0.00534721307	0	0.031199	0
p9016_pcgamma1_td0p5_entropyfloor0p5_sep0_lct0_gct0	entropy_with_floor	0.5	0.5	0	0	0	0	whole_chrom_snp_eval_only	0.475437	0.566867	0.344583	0.538447	0.759551	0.700904727	0.505595922	0.302319199	2.71229839	4.3647294	0.0015308075	0.00420972063	0	0	0.028317	0
p9016_pcgamma1_td0p5_best034_sep0_lct0_gct0	constant	0	0.5	0	0	0	0	whole_chrom_snp_eval_only	0.474368	0.565261	0.344284	0.538697	0.757868	0.701750696	0.506206155	0.30865249	2.70723104	4.36703539	0.00191350938	0.00574052813	0	0	0.028018	0
p9016_pcgamma1_td0p5_sep0_lct0_gct0p003	constant	0	0.5	0	0	0	0.00300000003	whole_chrom_snp_eval_only	0.474585	0.566756	0.342673	0.539572	0.760717	0.703910053	0.507763743	0.367391467	2.74015927	4.34255552	0.00114810563	0.00612323	0	0.00138981282	0.026407	0
p9016_pcgamma1_td0p5_entropyfloor0p5_sep0_lct0_gct0p003	entropy_with_floor	0.5	0.5	0	0	0	0.00300000003	whole_chrom_snp_eval_only	0.474665	0.567018	0.342492	0.539149	0.762797	0.703963101	0.50780201	0.3746261	2.71693945	4.36152315	0.00191350938	0.00535782625	0	0.00139895937	0.026226	0
p9016_pcgamma1_td0p5_entropyfloor0p5_msep1_lsep0p5_lct0p01_gct0p003	entropy_with_floor	0.5	0.5	1	0.5	0.00999999978	0.00300000003	whole_chrom_snp_eval_only	0.471851	0.567823	0.334498	0.529112	0.766508	0.694540024	0.501004696	0.888296068	2.70557547	4.29428959	0.00229621125	0.00497512438	0.001847553	0.00137076935	0.018232	0
p9016_pcgamma1_td0p5_msep1_lsep0p5_lct0p01_gct0p003	constant	0	0.5	1	0.5	0.00999999978	0.00300000003	whole_chrom_snp_eval_only	0.472508	0.568969	0.334456	0.529314	0.768668	0.694562435	0.501020908	0.899978101	2.71190476	4.29394102	0.00229621125	0.00497512438	0.00185208446	0.00137085541	0.01819	0
p9016_pcgamma1_td0p5_msep1_lsep1_lct0p01_gct0p003	constant	0	0.5	1	1	0.00999999978	0.00300000003	whole_chrom_snp_eval_only	0.469789	0.567183	0.3304	0.535974	0.766694	0.672850847	0.485359281	0.887782514	2.7631278	4.44225645	0.00114810563	0.003061615	0.00180798285	0.00138485312	0.014134	0
p9016_pcgamma1_td1_baseline_sep0_lct0_gct0	constant	0	1	0	0	0	0	whole_chrom_snp_eval_only	0.464469	0.568022	0.316266	0.51352	0.801884	0.611757576	0.441289783	1.54554296	3.63843393	5.01241636	0.00191350938	0.003061615	0	0	0	0
