config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma1_td0p5_baseline_sep0_lct0_gct0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_baseline_sep0_lct0_gct0	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_baseline_sep0_lct0_gct0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.37885857	0.315695494	13.0498161	2.74802518	4.31618166	0.699071348	0.504273355	65538.5	19750.2812	220.589478	0	0	0	0	0	0	132430.516	0	0	0	0.476034	0.567358	0.345333	0.783255	0.953736	0.539267	0.760296	2.74802526	4.31618174	0.936991669	0.99273476	0.00191350938	0.00420972063
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39511633	0.459362566	11.67208	2.82940531	4.3279767	0.696904838	0.502710581	65400.0078	19828.6484	200.399048	0	0	62.5555229	699.426819	126.104637	187.203537	132733.594	0	0.00526940316	0.00141037044	0.482013	0.57223	0.352897	0.791837	0.959021	0.552567	0.769441	2.82940553	4.32797661	0.940968061	0.992999742	0.0015308075	0.0045924225
p9016_pcgamma1_td0p5_transentropy_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_transentropy_sep0	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_transentropy_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	trans_entropy	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.74571896	0.532030702	13.308857	2.75811791	4.71832466	0.647221923	0.466871947	54785.25	15703.4707	243.049225	0	0	0	0	0	0	109746.875	0	0	0	0.469252	0.567896	0.328073	0.778527	0.954741	0.526334	0.74236	2.75811782	4.71832481	0.938602985	0.992779844	0.0045924225	0.00918484501
p9016_pcgamma1_td0p5_transfloor0p1_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_transfloor0p1_sep0	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_transfloor0p1_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	trans_entropy_with_floor	1	0.100000001	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.88546133	0.876264095	12.6734743	3.22376037	4.82814598	0.634980679	0.458041728	55075.3633	15981.6133	280.066803	0	0	0	0	0	0	110929.398	0	0	0	0.480051	0.585653	0.328914	0.782101	0.956939	0.531877	0.765002	3.22376043	4.82814623	0.944160784	0.993078911	0.00688863375	0.0103329506
p9016_pcgamma1_td0p5_transfloor0p25_lct0p03_gct0p003	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_transfloor0p25_lct0p03_gct0p003	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_transfloor0p25_lct0p03_gct0p003	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	trans_entropy_with_floor	1	0.25	1	1	1	1	0	0	0.0299999993	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.68940783	0.60813117	10.0664549	2.9773519	4.70710421	0.626250327	0.451744109	55929.5352	16100.335	185.210159	0	0	70.9008102	752.728027	152.907639	204.201218	110964.328	0	0.00678351359	0.00184024201	0.492584	0.591564	0.350924	0.792074	0.961933	0.548977	0.766898	2.97735191	4.70710427	0.941031683	0.992870522	0.00382701875	0.00688863375
p9016_pcgamma1_td0p5_transfloor0p25_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_transfloor0p25_sep0	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_transfloor0p25_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	trans_entropy_with_floor	1	0.25	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.76474619	0.529953122	12.3201056	3.10519791	4.75227213	0.624772608	0.45067817	56144.0469	16119.9199	247.484497	0	0	0	0	0	0	111436.75	0	0	0	0.488221	0.585396	0.349146	0.790866	0.960783	0.547685	0.765617	3.1051979	4.75227213	0.939053495	0.99222931	0.003061615	0.0076540375
p9016_pcgamma1_td0p5_transfloor0p5_lct0p03_gct0p003	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_transfloor0p5_lct0p03_gct0p003	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_transfloor0p5_lct0p03_gct0p003	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	trans_entropy_with_floor	1	0.5	1	1	1	1	0	0	0.0299999993	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.76124096	1.10118473	9.95525932	3.01590252	4.7369256	0.629778743	0.454289347	57317.1953	16710.7969	144.282227	0	0	61.8953819	716.728821	156.553543	202.816376	113548.953	0	0.00631206895	0.00178615805	0.471294	0.568105	0.332741	0.791089	0.966733	0.539711	0.785175	3.01590246	4.73692563	0.952037126	0.993798659	0.0015308075	0.003061615
p9016_pcgamma1_td0p5_transfloor0p5_msep1_lsep0p5_lct0p01_gct0p003	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_transfloor0p5_msep1_lsep0p5_lct0p01_gct0p003	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_transfloor0p5_msep1_lsep0p5_lct0p01_gct0p003	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	trans_entropy_with_floor	1	0.5	1	1	1	1	1	0.5	0.00999999978	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.72296715	1.03724945	10.6939306	3.00380659	4.68723726	0.630545914	0.454842716	57198.5898	16653.9551	139.828842	0	0	21.6638546	243.919098	155.208282	202.920609	113347.516	0	0.00215195804	0.00179025193	0.475779	0.577238	0.330574	0.790812	0.968921	0.535905	0.798418	3.00380661	4.68723715	0.951452044	0.993310353	0.0015308075	0.003061615
p9016_pcgamma1_td0p5_transfloor0p5_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_transfloor0p5_sep0	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_transfloor0p5_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	trans_entropy_with_floor	1	0.5	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.84568024	1.43201578	11.9074421	3.21148229	4.78309631	0.626305461	0.451783866	57126.625	16578.0391	149.934158	0	0	0	0	0	0	113568.344	0	0	0	0.478562	0.571051	0.346194	0.79754	0.968455	0.552929	0.800016	3.21148227	4.78309663	0.951313153	0.993476313	0.00076540375	0.00191350938
p9016_pcgamma1_td0p5_transfloor0p75_lct0p03_gct0p003	P9016	OK	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/outputs/p9016_pcgamma1_td0p5_transfloor0p75_lct0p03_gct0p003	/mnt/ssd/zliu/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/eval/p9016_pcgamma1_td0p5_transfloor0p75_lct0p03_gct0p003	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	76	5d19238d2f635f2a46d05d05647b20e6e606c45ec08d5732f86eb5dd3390d58a	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	trans_entropy_with_floor	1	0.75	1	1	1	1	0	0	0.0299999993	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.57313156	0.68178916	10.4501953	2.76012778	4.55196238	0.650631666	0.469331563	60061.5	17846.9922	143.751556	0	0	61.3242798	711.003784	142.772507	195.709686	118941.688	0	0.00597775091	0.0016454255	0.478256	0.58047	0.33197	0.791266	0.969125	0.536718	0.793719	2.76012793	4.55196277	0.947548057	0.993049201	0.00191350938	0.00344431688
