config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	trans_chr_pair_mstep_mode	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_eps	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	trans_chr_pair_mstep_application_point	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39665174	0.460705072	11.6666994	2.83648419	4.33063126	0.696775138	0.502617002	65402	19833.6133	199.838211	0	0	62.5163498	699.659302	126.186256	187.28273	132768.781	0	0.00526975767	0.00141059313	0.482125	0.572342	0.353008	0.791895	0.959011	0.55272	0.769536	2.83648417	4.33063136	0.941830153	0.992968098	0.0015308075	0.0045924225
p9016_pcgamma1_td0p5_mstep0_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.37520933	0.324221969	13.0457544	2.73347092	4.31035519	0.699788868	0.504790962	65576.2344	19756.5859	218.948334	0	0	0	0	0	0	132516.594	0	0	0	0.474777	0.565892	0.344374	0.782513	0.953086	0.538392	0.75945	2.73347098	4.31035497	0.937875565	0.992744701	0.00191350938	0.00574052813
p9016_pcgamma1_td0p5_mstep0p25_p1_w0_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p25_p1_w0_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0p25_p1_w0_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.25	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.42602921	0.987826705	11.5310802	2.77586675	4.40107727	0.658691347	0.47514534	69701.0391	21409.2656	143.506058	0	0	0	0	0	0	141690.031	0	0	0	0.467595	0.567028	0.325288	0.784447	0.967388	0.522625	0.784669	2.77586685	4.40107727	0.94518406	0.992844872	0.00076540375	0.00344431688
p9016_pcgamma1_td0p5_mstep0p25_p2_w10_lct0p03_gct0p003	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p25_p2_w10_lct0p03_gct0p003	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0p25_p2_w10_lct0p03_gct0p003	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.25	0.00100000005	2	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.49640799	0.944709122	10.0211802	2.87057137	4.47320795	0.649799407	0.468731195	70619.4297	21611.6406	99.7869263	0	0	54.6658096	681.842834	140.162277	193.966965	142580.328	0	0.00478216626	0.00136040482	0.473211	0.573084	0.330275	0.790477	0.969809	0.533821	0.781496	2.8705713	4.47320767	0.955686258	0.993419883	0	0.00114810563
p9016_pcgamma1_td0p5_mstep0p25_p4_w10_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p25_p4_w10_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0p25_p4_w10_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.25	0.00100000005	4	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.45994329	1.41296232	12.0273352	2.95025158	4.40171289	0.655924618	0.473149568	71533.9375	21731.6445	92.716301	0	0	0	0	0	0	143348.75	0	0	0	0.470991	0.568843	0.330949	0.788478	0.967708	0.531967	0.794245	2.95025152	4.40171286	0.948772459	0.992510786	0	0.0015308075
p9016_pcgamma1_td0p5_mstep0p5_p1_w0_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p5_p1_w0_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0p5_p1_w0_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.4680953	1.17365158	11.2125835	2.82368183	4.44694138	0.642530024	0.463487417	72618.8672	22423.6992	88.5147552	0	0	0	0	0	0	146640.047	0	0	0	0.478705	0.580689	0.332748	0.79124	0.971425	0.533363	0.802712	2.82368194	4.44694134	0.946537768	0.992509168	0.000382701875	0.00420972063
p9016_pcgamma1_td0p5_mstep0p5_p2_w10_lct0p03_gct0p003	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p5_p2_w10_lct0p03_gct0p003	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0p5_p2_w10_lct0p03_gct0p003	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	2	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.42691803	1.17140365	9.96392155	2.91633248	4.36520529	0.649743736	0.468691051	72825.2891	22355.7891	80.6242065	0	0	52.5541115	673.674316	138.569626	196.921585	145931.938	0	0.00461635969	0.00134940704	0.465769	0.565926	0.322426	0.786992	0.972105	0.522063	0.797939	2.91633234	4.36520557	0.953660031	0.993263459	0	0.000382701875
p9016_pcgamma1_td0p5_mstep0p5_p2_w10_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p5_p2_w10_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0p5_p2_w10_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	2	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.50641155	1.6883688	11.594305	2.98109031	4.44725132	0.643225551	0.463989139	72912.8594	22313.5703	85.743187	0	0	0	0	0	0	146148.828	0	0	0	0.465609	0.565717	0.322336	0.786912	0.972794	0.520882	0.804731	2.98109027	4.44725141	0.948753245	0.992671425	0	0.00076540375
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	4	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.61887789	1.79176855	11.8867998	3.08015656	4.55278635	0.625992	0.451557785	74473.9453	22869.1836	67.8623505	0	0	0	0	0	0	149258.859	0	0	0	0.474331	0.570085	0.33729	0.794183	0.974691	0.535843	0.818153	3.08015662	4.55278613	0.956763952	0.992871159	0	0
p9016_pcgamma1_td0p5_mstep0p75_p1_w0_sep0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p75_p1_w0_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/eval/p9016_pcgamma1_td0p5_mstep0p75_p1_w0_sep0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	78	06d6497361993719abc55ec4cd1a5304e9bf03fbbb4c407cc6248429ff4d5b83	gpu	1000000	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.75	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.51724243	1.30434918	11.5595551	3.00098944	4.47848082	0.62516439	0.450960785	73780.3359	22822.0566	82.4782257	0	0	0	0	0	0	148630.844	0	0	0	0.473305	0.579209	0.321739	0.787781	0.973454	0.522049	0.81151	3.00098954	4.47848101	0.949407644	0.992790757	0	0.000382701875
