config_name	trans_dscale_multiplier	lambda_copytrack	lambda_global_copytrack	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	delta_trans_vs_td0p5_mstep0	target_plus_0p1_met
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	0.5	0.0299999993	0.00300000003	0	1	0	0.482125	0.572342	0.353008	0.55272	0.769536	0.696775138	0.502617002	0.460705072	2.83648419	4.39665174	0.0015308075	0.008634	0
p9016_pcgamma1_td0p5_mstep0_sep0	0.5	0	0	0	1	0	0.474777	0.565892	0.344374	0.538392	0.75945	0.699788868	0.504790962	0.324221969	2.73347092	4.37520933	0.00191350938	0	0
p9016_pcgamma1_td0p5_mstep0p25_p1_w0_sep0	0.5	0	0	0.25	1	0	0.467595	0.567028	0.325288	0.522625	0.784669	0.658691347	0.47514534	0.987826705	2.77586675	4.42602921	0.00076540375	-0.019086	0
p9016_pcgamma1_td0p5_mstep0p25_p2_w10_lct0p03_gct0p003	0.5	0.0299999993	0.00300000003	0.25	2	10	0.473211	0.573084	0.330275	0.533821	0.781496	0.649799407	0.468731195	0.944709122	2.87057137	4.49640799	0	-0.014099	0
p9016_pcgamma1_td0p5_mstep0p25_p4_w10_sep0	0.5	0	0	0.25	4	10	0.470991	0.568843	0.330949	0.531967	0.794245	0.655924618	0.473149568	1.41296232	2.95025158	4.45994329	0	-0.013425	0
p9016_pcgamma1_td0p5_mstep0p5_p1_w0_sep0	0.5	0	0	0.5	1	0	0.478705	0.580689	0.332748	0.533363	0.802712	0.642530024	0.463487417	1.17365158	2.82368183	4.4680953	0.000382701875	-0.011626	0
p9016_pcgamma1_td0p5_mstep0p5_p2_w10_lct0p03_gct0p003	0.5	0.0299999993	0.00300000003	0.5	2	10	0.465769	0.565926	0.322426	0.522063	0.797939	0.649743736	0.468691051	1.17140365	2.91633248	4.42691803	0	-0.021948	0
p9016_pcgamma1_td0p5_mstep0p5_p2_w10_sep0	0.5	0	0	0.5	2	10	0.465609	0.565717	0.322336	0.520882	0.804731	0.643225551	0.463989139	1.6883688	2.98109031	4.50641155	0	-0.022038	0
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	0.5	0	0	0.5	4	10	0.474331	0.570085	0.33729	0.535843	0.818153	0.625992	0.451557785	1.79176855	3.08015656	4.61887789	0	-0.007084	0
p9016_pcgamma1_td0p5_mstep0p75_p1_w0_sep0	0.5	0	0	0.75	1	0	0.473305	0.579209	0.321739	0.522049	0.81151	0.62516439	0.450960785	1.30434918	3.00098944	4.51724243	0	-0.022635	0
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	0.5	0	0	1	1	0	0.483299	0.586435	0.335693	0.537169	0.807377	0.59063369	0.426052153	1.64049077	2.88411117	4.66277981	0	-0.008681	0
p9016_pcgamma1_td1_mstep0_sep0	1	0	0	0	1	0	0.464498	0.568804	0.315217	0.511943	0.800771	0.607276917	0.438057691	1.51093352	3.72183728	5.01665497	0.00191350938	-0.029157	0
