config_name	policy	scope	flip_source	objective_score	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_global_gauge_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_edges	decoder_selection_total_weight	eval_only_uses_snp_for_selection	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	genome_trans	cis_snp_truth_whole_chrom	0	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	genome_trans	snp_truth_global_chrom_oracle	50982	143977	50982	0.354098224	78878	0.547851393	0.9	48358	0.335873091	0.464121759	0.15588601	0.00972377533	0	1	1	1	1	snp_truth_eval_contacts	190	143977	1	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_geom_nearest_to_posterior_top	genome_trans	blind_raw_posterior_reconstruction_global_gauge	566029	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_geom_nearest_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	794306.397	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_margin_geom_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	624726.919	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_pmax_geom_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	694262.87	143977	49582	0.344374449	77516	0.538391549	0.9	48358	0.335873091	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_same_cross_distance_sum	genome_trans	blind_raw_posterior_reconstruction_global_gauge	1035852.67	143977	39962	0.277558221	72049	0.500420206	0.9	48358	0.335873091	0.295318251	0.0991894539	-0.0668162276	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_posterior_same_cross_mass	genome_trans	blind_raw_posterior_reconstruction_global_gauge	262822.954	143977	38885	0.27007786	71707	0.498044827	0.9	48358	0.335873091	0.278340709	0.0934871542	-0.074296589	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_chrom_center_same_closer	genome_trans	blind_raw_posterior_reconstruction_global_gauge	300.465443	143977	36709	0.254964335	70938	0.492703696	0.9	48358	0.335873091	0.243434385	0.0817630594	-0.0894101141	0	1	0	0	1	raw_reconstruction_chrom_centers	190	NA	0	1	1
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_homolog_vector_dot	genome_trans	blind_raw_posterior_reconstruction_global_gauge	905.60634	143977	36709	0.254964335	70938	0.492703696	0.9	48358	0.335873091	0.243434385	0.0817630594	-0.0894101141	0	1	0	0	1	raw_reconstruction_chrom_centers	190	NA	0	1	1
