config_name	policy	flip_source	objective_score	n_eval_contacts	top1_accuracy	same_cross_accuracy	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_global_gauge_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_edges	decoder_selection_total_weight
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	0	143977	0.353007772	0.552720226	0.466049001	0.157219556	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	51253	143977	0.355980469	0.551789522	0.460942969	0.155497059	0.00297269703	0	1	1	1	1	snp_truth_eval_contacts	190	143977
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	raw_global_geom_nearest_to_posterior_top	blind_raw_posterior_reconstruction_global_gauge	565997	143977	0.353007772	0.552720226	0.466049001	0.157219556	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	raw_global_geom_nearest_gap_weighted	blind_raw_posterior_reconstruction_global_gauge	797181.073	143977	0.353007772	0.552720226	0.466049001	0.157219556	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	raw_global_margin_geom_gap_weighted	blind_raw_posterior_reconstruction_global_gauge	627325.109	143977	0.353007772	0.552720226	0.466049001	0.157219556	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	raw_global_pmax_geom_gap_weighted	blind_raw_posterior_reconstruction_global_gauge	697024.394	143977	0.353007772	0.552720226	0.466049001	0.157219556	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	raw_global_same_cross_distance_sum	blind_raw_posterior_reconstruction_global_gauge	1084181.26	143977	0.272425457	0.491647972	0.284414247	0.0959458802	-0.0805823152	0	1	0	0	1	raw_posterior_trans_bpair	190	568434
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	raw_global_posterior_same_cross_mass	blind_raw_posterior_reconstruction_global_gauge	270595.168	143977	0.26581329	0.489355939	0.270084414	0.0911117748	-0.0871944825	0	1	0	0	1	raw_posterior_trans_bpair	190	568434
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	raw_global_chrom_center_same_closer	blind_raw_posterior_reconstruction_global_gauge	311.196497	143977	0.248428568	0.483459164	0.22824789	0.0769984095	-0.104579204	0	1	0	0	1	raw_reconstruction_chrom_centers	190	NA
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	raw_global_homolog_vector_dot	blind_raw_posterior_reconstruction_global_gauge	955.819151	143977	0.248428568	0.483459164	0.22824789	0.0769984095	-0.104579204	0	1	0	0	1	raw_reconstruction_chrom_centers	190	NA
p9016_pcgamma1_td0p5_mstep0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	0	143977	0.344374449	0.538391549	0.446999462	0.150135091	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0
p9016_pcgamma1_td0p5_mstep0_sep0	global_chrom_snp_oracle	snp_truth_global_chrom_oracle	50982	143977	0.354098224	0.547851393	0.464121759	0.15588601	0.00972377533	0	1	1	1	1	snp_truth_eval_contacts	190	143977
p9016_pcgamma1_td0p5_mstep0_sep0	raw_global_geom_nearest_to_posterior_top	blind_raw_posterior_reconstruction_global_gauge	566029	143977	0.344374449	0.538391549	0.446999462	0.150135091	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434
