config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	0.01	1441	0.010008543	0.999999881	0.583622484	0.00584121075	0.66759195	0.00668162276	0.339026372	0.537113567	0.244596112	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	0.02	2893	0.0200934872	0.999999285	0.593847217	0.0119324614	0.680262703	0.0136688499	0.339026372	0.537113567	0.254820845	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	0.05	7199	0.0500010418	0.999967456	0.580636199	0.0290324149	0.663008751	0.0331511283	0.339026372	0.537113567	0.241609827	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	0.1	14399	0.100009029	0.998923361	0.552121675	0.0552171527	0.633307869	0.0633365051	0.339026372	0.537113567	0.213095303	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	0.2	28796	0.200004167	0.971557379	0.49906237	0.0998145537	0.609841645	0.12197087	0.339026372	0.537113567	0.160035998	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	0.3	43194	0.300006251	0.92412746	0.446242534	0.13387555	0.587396398	0.176222591	0.339026372	0.537113567	0.107216161	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	0.5	71989	0.500003473	0.802053452	0.394365806	0.197184272	0.561405215	0.280704557	0.339026372	0.537113567	0.0553394336	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	0.75	107983	0.750001736	0.611065269	0.359260254	0.269445814	0.54689164	0.41016968	0.339026372	0.537113567	0.0202338817	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	pmax	1	143977	1	0.254459202	0.339026372	0.339026372	0.537113567	0.537113567	0.339026372	0.537113567	0	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	margin	0.01	1441	0.010008543	0.999999817	0.59056211	0.00591066629	0.671755725	0.00672329608	0.339026372	0.537113567	0.251535737	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	margin	0.02	2890	0.0200726505	0.999998711	0.591349481	0.0118699515	0.680276817	0.0136549588	0.339026372	0.537113567	0.252323109	1	0	0
