config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	0.01	1441	0.010008543	0.999999881	0.726578765	0.00727199483	0.773768217	0.00774429249	0.35291748	0.552553533	0.373661285	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	0.02	2893	0.0200934872	0.999999404	0.696163152	0.0139883454	0.753197373	0.0151343617	0.35291748	0.552553533	0.343245673	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	0.05	7204	0.0500357696	0.999962687	0.663242643	0.0331858561	0.736535258	0.0368531085	0.35291748	0.552553533	0.310325163	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	0.1	14400	0.100015975	0.99849999	0.618333333	0.0618432111	0.699930556	0.0700042368	0.35291748	0.552553533	0.265415853	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	0.2	28796	0.200004167	0.968902767	0.542922628	0.108586788	0.65620225	0.131243185	0.35291748	0.552553533	0.190005148	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	0.3	43195	0.300013197	0.9203192	0.481051048	0.144321662	0.621020951	0.186314481	0.35291748	0.552553533	0.128133568	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	0.5	71989	0.500003473	0.797252357	0.41681368	0.208408287	0.587089694	0.293546886	0.35291748	0.552553533	0.0638962	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	0.75	107983	0.750001736	0.602957845	0.376790791	0.282593748	0.565940935	0.424456684	0.35291748	0.552553533	0.0238733113	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	pmax	1	143977	1	0.252546877	0.35291748	0.35291748	0.552553533	0.552553533	0.35291748	0.552553533	0	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	0.01	1444	0.0100293797	0.999999821	0.731301939	0.00733450482	0.774238227	0.00776512915	0.35291748	0.552553533	0.378384459	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	0.02	2880	0.020003195	0.999998844	0.693402778	0.0138702709	0.75625	0.0151274162	0.35291748	0.552553533	0.340485298	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	0.05	7204	0.0500357696	0.999931935	0.660049972	0.0330261083	0.733897835	0.036721143	0.35291748	0.552553533	0.307132492	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	0.1	14400	0.100015975	0.997250335	0.617569444	0.06176681	0.699305556	0.0699417268	0.35291748	0.552553533	0.264651965	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	0.2	28796	0.200004167	0.946570087	0.541116822	0.108225619	0.655507709	0.131104274	0.35291748	0.552553533	0.188199342	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	0.3	43194	0.300006251	0.863871511	0.480367644	0.144113296	0.621683567	0.186508956	0.35291748	0.552553533	0.127450164	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	0.5	71989	0.500003473	0.649070919	0.416355277	0.208179084	0.587561989	0.293783035	0.35291748	0.552553533	0.0634377966	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	0.75	107983	0.750001736	0.308190108	0.376401841	0.282302034	0.565635331	0.424227481	0.35291748	0.552553533	0.0234843612	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	margin	1	143977	1	0	0.35291748	0.35291748	0.552553533	0.552553533	0.35291748	0.552553533	0	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.01	1445	0.0100363252	-1.22632815e-06	0.740484429	0.00743174257	0.776470588	0.00779291137	0.35291748	0.552553533	0.387566949	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.02	2891	0.020079596	-9.59875307e-06	0.692839848	0.0139119443	0.755447942	0.0151690895	0.35291748	0.552553533	0.339922368	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.05	7199	0.0500010418	-0.000426874923	0.663286568	0.0331650194	0.736491179	0.0368253263	0.35291748	0.552553533	0.310369088	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.1	14399	0.100009029	-0.0116029604	0.620320856	0.0620376866	0.701923745	0.0701987123	0.35291748	0.552553533	0.267403376	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.2	28796	0.200004167	-0.157075727	0.544103348	0.108822937	0.657070426	0.131416824	0.35291748	0.552553533	0.191185868	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.3	43194	0.300006251	-0.326260973	0.484187619	0.145259312	0.623165254	0.186953472	0.35291748	0.552553533	0.131270139	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.5	71989	0.500003473	-0.616280419	0.419911375	0.209957146	0.588784398	0.294394244	0.35291748	0.552553533	0.0669938955	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	0.75	107983	0.750001736	-0.864020237	0.379050406	0.284288463	0.565727939	0.424296936	0.35291748	0.552553533	0.0261329262	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	neg_entropy	1	143977	1	-1.38623686	0.35291748	0.35291748	0.552553533	0.552553533	0.35291748	0.552553533	0	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	0.01	1445	0.0100363252	4.06634959	0.730795848	0.00733450482	0.811764706	0.00814713461	0.35291748	0.552553533	0.377878368	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	0.02	2881	0.0200101405	3.78939659	0.676501215	0.0135368844	0.759805623	0.0152038173	0.35291748	0.552553533	0.323583735	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	0.05	7199	0.0500010418	3.34613698	0.634671482	0.0317342353	0.723294902	0.0361654987	0.35291748	0.552553533	0.281754002	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	0.1	14401	0.10002292	2.91075069	0.566071801	0.0566201546	0.68759114	0.0687748738	0.35291748	0.552553533	0.213154321	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	0.2	28796	0.200004167	2.34334486	0.496770385	0.0993561472	0.63786637	0.127575932	0.35291748	0.552553533	0.143852905	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	0.3	43194	0.300006251	1.919715	0.455641987	0.136695444	0.610408853	0.183126472	0.35291748	0.552553533	0.102724507	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	0.5	71989	0.500003473	1.25866859	0.412271319	0.206137091	0.585325536	0.292664801	0.35291748	0.552553533	0.0593538394	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	0.75	107983	0.750001736	0.575522404	0.378624413	0.283968967	0.567505996	0.425630483	0.35291748	0.552553533	0.0257069332	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	distance_gap	1	143977	1	1.55815294e-05	0.35291748	0.35291748	0.552553533	0.552553533	0.35291748	0.552553533	0	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	0.01	1445	0.0100363252	4.06634959	0.730795848	0.00733450482	0.811764706	0.00814713461	0.35291748	0.552553533	0.377878368	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	0.02	2881	0.0200101405	3.78939659	0.676501215	0.0135368844	0.759805623	0.0152038173	0.35291748	0.552553533	0.323583735	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	0.05	7199	0.0500010418	3.34613698	0.634671482	0.0317342353	0.723294902	0.0361654987	0.35291748	0.552553533	0.281754002	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	0.1	14401	0.10002292	2.91075069	0.566071801	0.0566201546	0.68759114	0.0687748738	0.35291748	0.552553533	0.213154321	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	0.2	28796	0.200004167	2.34334486	0.496770385	0.0993561472	0.63786637	0.127575932	0.35291748	0.552553533	0.143852905	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	0.3	43194	0.300006251	1.919715	0.455641987	0.136695444	0.610408853	0.183126472	0.35291748	0.552553533	0.102724507	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	0.5	72007	0.500128493	1.25866081	0.412168261	0.206137091	0.585165331	0.292657855	0.35291748	0.552553533	0.0592507815	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	0.75	107983	0.750001736	0.573809167	0.37870776	0.284031477	0.567459693	0.425595755	0.35291748	0.552553533	0.0257902797	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	posterior_nearest_agreement_gap	1	143977	1	-1.6147473	0.35291748	0.35291748	0.552553533	0.552553533	0.35291748	0.552553533	0	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	0.01	1458	0.0101266174	51	0.550754458	0.0055772797	0.614540466	0.00622321621	0.35291748	0.552553533	0.197836978	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	0.02	2897	0.0201212694	43	0.596824301	0.0120088625	0.666551605	0.0134118644	0.35291748	0.552553533	0.243906821	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	0.05	7205	0.0500427152	28	0.578764747	0.0289629594	0.665093685	0.0332830938	0.35291748	0.552553533	0.225847267	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	0.1	14403	0.100036811	15	0.581892661	0.0582106864	0.663820037	0.0664064399	0.35291748	0.552553533	0.228975181	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	0.2	28796	0.200004167	3	0.546256425	0.109253561	0.64668704	0.129340103	0.35291748	0.552553533	0.193338945	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	0.3	43194	0.300006251	2	0.474301986	0.142293561	0.613534287	0.184064121	0.35291748	0.552553533	0.121384507	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	0.5	71989	0.500003473	1	0.407631722	0.203817276	0.580922085	0.29046306	0.35291748	0.552553533	0.0547142416	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	0.75	107983	0.750001736	1	0.375531334	0.281649152	0.564533306	0.42340096	0.35291748	0.552553533	0.0226138538	1	0	0
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035_replay	n_raw	1	143977	1	1	0.35291748	0.35291748	0.552553533	0.552553533	0.35291748	0.552553533	0	1	0	0
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	pmax	0.01	1448	0.0100571619	0.999999881	0.673342541	0.00677191496	0.74378453	0.00748036145	0.350111476	0.549303014	0.323231065	1	0	0
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	pmax	0.02	2880	0.020003195	0.999999166	0.667708333	0.0133563	0.721527778	0.0144328608	0.350111476	0.549303014	0.317596857	1	0	0
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	pmax	0.05	7199	0.0500010418	0.999955297	0.631059869	0.0315536509	0.703847757	0.0351931211	0.350111476	0.549303014	0.280948393	1	0	0
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	pmax	0.1	14398	0.100002084	0.998316407	0.601541881	0.0601554415	0.683011529	0.0683025761	0.350111476	0.549303014	0.251430405	1	0	0
p9016_pcgamma1_td0p5_normdir0p003_lct0p03_gct0p003	pmax	0.2	28796	0.200004167	0.966854334	0.528337269	0.105669656	0.641443256	0.128291324	0.350111476	0.549303014	0.178225793	1	0	0
