config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	0.01	1454	0.0100988352	0.999999881	0.638927098	0.00645241948	0.701513067	0.00708446488	0.352820242	0.547469387	0.286106856	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	0.02	2881	0.0200101405	0.999999166	0.666088164	0.0133285177	0.721277334	0.0144328608	0.352820242	0.547469387	0.313267922	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	0.05	7201	0.0500149329	0.999957561	0.621580336	0.0310882988	0.685321483	0.034276308	0.352820242	0.547469387	0.268760094	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	0.1	14404	0.100043757	0.998271823	0.612121633	0.0612389479	0.678630936	0.0678927884	0.352820242	0.547469387	0.259301391	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	0.2	28796	0.200004167	0.965852737	0.533685234	0.106739271	0.639185998	0.127839863	0.352820242	0.547469387	0.180864992	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	0.3	43194	0.300006251	0.91595608	0.472982359	0.141897664	0.607051905	0.182119366	0.352820242	0.547469387	0.120162117	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	0.5	71989	0.500003473	0.789379418	0.413118671	0.20656077	0.578588395	0.289296207	0.352820242	0.547469387	0.0602984288	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	0.75	107983	0.750001736	0.598415375	0.375864719	0.281899192	0.560634544	0.420476882	0.352820242	0.547469387	0.0230444773	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	pmax	1	143977	1	0.250116169	0.352820242	0.352820242	0.547469387	0.547469387	0.352820242	0.547469387	0	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	0.01	1447	0.0100502164	0.999999806	0.642709053	0.00645936504	0.697995853	0.00701500934	0.352820242	0.547469387	0.289888811	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	0.02	2883	0.0200240316	0.999998534	0.663198058	0.0132798989	0.716614638	0.0143495142	0.352820242	0.547469387	0.310377815	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	0.05	7199	0.0500010418	0.999920386	0.623558828	0.031178591	0.684122795	0.0342068525	0.352820242	0.547469387	0.270738585	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	0.1	14400	0.100015975	0.996839654	0.61125	0.0611347646	0.677916667	0.0678024962	0.352820242	0.547469387	0.258429758	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	0.2	28796	0.200004167	0.941371177	0.532573969	0.106517013	0.639359633	0.127874591	0.352820242	0.547469387	0.179753726	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	0.3	43194	0.300006251	0.856250431	0.471060795	0.141321183	0.606264759	0.181883217	0.352820242	0.547469387	0.118240553	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	0.5	71989	0.500003473	0.636407747	0.411632333	0.205817596	0.577643807	0.288823909	0.352820242	0.547469387	0.0588120906	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	0.75	107983	0.750001736	0.299282789	0.374642305	0.280982379	0.560245594	0.420185168	0.352820242	0.547469387	0.0218220627	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	margin	1	143977	1	0	0.352820242	0.352820242	0.547469387	0.547469387	0.352820242	0.547469387	0	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.01	1440	0.0100015975	-1.47073802e-06	0.645833333	0.00645936504	0.701388889	0.00701500934	0.352820242	0.547469387	0.293013091	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.02	2884	0.0200309772	-1.27510772e-05	0.666435506	0.0133493544	0.719833564	0.0144189697	0.352820242	0.547469387	0.313615264	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.05	7205	0.0500427152	-0.000481501288	0.621235253	0.0310882988	0.684941013	0.034276308	0.352820242	0.547469387	0.268415011	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.1	14398	0.100002084	-0.0132961538	0.61189054	0.061190329	0.678497013	0.0678511151	0.352820242	0.547469387	0.259070298	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.2	28796	0.200004167	-0.168147675	0.536775941	0.107357425	0.640852896	0.12817325	0.352820242	0.547469387	0.183955699	1	0	0
p9016_pcgamma1_td0p5_normdir0p01_lct0p03_gct0p003	neg_entropy	0.3	43194	0.300006251	-0.339474461	0.474348289	0.142307452	0.608140019	0.182445807	0.352820242	0.547469387	0.121528047	1	0	0
