config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	n_raw	n_raw_cis	n_raw_trans	n_bpair	n_bpair_cis	n_bpair_trans	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	trans_chr_pair_mstep_mode	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_eps	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	trans_chr_pair_mstep_application_point	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	lambda_normdir_copytrack	normdir_copytrack_eps_unit	normdir_copytrack_prior_mode	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	trans_gate_mode	trans_gate_min_pmax	trans_gate_min_margin	trans_gate_min_neg_entropy	trans_gate_scope	trans_gate_source	trans_gate_confidence_unit	trans_gate_neg_entropy_formula	trans_gate_active_criteria	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_n_softall_gate_skip_raw	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	final_normdir_copytrack_energy	final_normdir_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	normdir_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_transgate_ne0p05_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p05_best035	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p05_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	neg_entropy	1	1	-0.000426874933	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	2.8965354	0.506086946	6.42504692	1.29345071	2.92311716	0.836944163	0.603727639	564760	2329.34546	2340.35498	38.1309547	0	0	68.52845	795.686768	46.0875092	107.924057	0	0	23907.0547	0	0.0332825092	0.0045143184	0	0.416288	0.533784	0.24813	0.739442	0.909001	0.496774	0.632907	1.2934507	2.9231171	0.751731416	0.977563917	0.00612323	0.0110983544
p9016_transgate_ne0p10_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p10_best035	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p10_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	neg_entropy	1	1	-0.0116029605	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.14822865	0.254818916	8.54088593	1.55842245	4.14205503	0.667218566	0.48129645	520035	9535.06836	3818.40576	83.4166489	0	0	74.7261353	826.440369	105.755913	162.11557	0	0	33867.5	0	0.0244021664	0.00478675928	0	0.431435	0.547261	0.265667	0.756495	0.937381	0.497614	0.68524	1.55842255	4.14205488	0.869810029	0.988306105	0.00688863375	0.0107156525
p9016_transgate_ne0p20_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p20_best035	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p20_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	neg_entropy	1	1	-0.157075733	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.69468498	0.589244723	12.2411022	3.27710485	5.62776518	0.534083724	0.385259986	385559	28604.5488	8964.44434	201.772461	0	0	77.7475662	801.925659	186.225647	229.074936	0	0	67326.0781	0	0.0119110704	0.00340246963	0	0.485184	0.592258	0.331942	0.787058	0.959555	0.540184	0.74861	3.2771048	5.62776529	0.946992916	0.994465758	0.00229621125	0.00612323
p9016_transgate_ne0p20_best035_msep1_lsep0p5	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p20_best035_msep1_lsep0p5	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p20_best035_msep1_lsep0p5	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	1	0.5	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	neg_entropy	1	1	-0.157075733	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.40139723	0.876912475	10.8896074	2.70791554	5.54716158	0.552224159	0.39834553	388919	27891.2461	8940.19141	149.436447	0.0249649473	1.41418076	70.6556778	775.298645	183.476044	219.793701	0	0	68890.8594	2.05278432e-05	0.0112540133	0.00319046246	0	0.48849	0.6008	0.327754	0.786235	0.959142	0.538774	0.761912	2.70791559	5.54716147	0.94592481	0.994382346	0.00420972063	0.00497512438
p9016_transgate_ne0p20_td0p5_no_copytrack	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p20_td0p5_no_copytrack	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p20_td0p5_no_copytrack	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	neg_entropy	1	1	-0.157075733	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.81328058	0.519316018	14.6928902	3.34258127	5.78599834	0.539320409	0.38903746	388247	27909.0059	8695.59863	194.741272	0	0	0	0	0	0	0	0	67046.4219	0	0	0	0	0.48339	0.588856	0.332449	0.777904	0.949567	0.532224	0.736288	3.34258124	5.78599822	0.941344378	0.994578059	0.00420972063	0.0103329506
p9016_transgate_ne0p20_td1_no_copytrack	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p20_td1_no_copytrack	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p20_td1_no_copytrack	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	off	1	1	0	neg_entropy	1	1	-0.157075733	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	6.02572918	0.740771234	13.2191544	3.59059691	6.05658293	0.513487339	0.370402843	368992	8886.33691	7281.73096	172.574142	0	0	0	0	0	0	0	0	50884.4766	0	0	0	0	0.476039	0.580111	0.327094	0.779713	0.953663	0.530758	0.770559	3.59059708	6.05658293	0.95083882	0.994912485	0.00344431688	0.00880214313
p9016_transgate_ne0p30_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p30_best035	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p30_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	neg_entropy	1	1	-0.326260984	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.26457548	0.68467474	10.85355	3.2904644	5.20744133	0.575293064	0.414986223	338171	34473.4648	10425.9473	198.854111	0	0	73.8217163	781.018616	176.775085	218.614471	0	0	78426.5312	0	0.00995860207	0.00278750657	0	0.481342	0.589157	0.327038	0.784427	0.962996	0.528862	0.790367	3.29046448	5.20744145	0.946037032	0.994069106	0.00267891313	0.00574052813
p9016_transgate_ne0p30_td0p5_no_copytrack	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p30_td0p5_no_copytrack	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p30_td0p5_no_copytrack	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	neg_entropy	1	1	-0.326260984	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.43157101	0.622862041	11.849081	3.68679976	5.3767662	0.572727382	0.413135469	331654	35474.7461	10737.0127	232.402908	0	0	0	0	0	0	0	0	80232.25	0	0	0	0	0.482445	0.592443	0.325017	0.783364	0.965883	0.522146	0.809395	3.68679986	5.37676627	0.951048187	0.994388667	0.00420972063	0.0045924225
p9016_transgate_ne0p30_td1_no_copytrack	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_ne0p30_td1_no_copytrack	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_ne0p30_td1_no_copytrack	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	off	1	1	off	1	1	0	neg_entropy	1	1	-0.326260984	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	neg_entropy	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	5.78047657	0.917859614	13.781148	3.64256287	5.71163321	0.529510617	0.381961167	308117	10953.7627	8783.88086	138.81813	0	0	0	0	0	0	0	0	59450.125	0	0	0	0	0.46796	0.571589	0.319648	0.784141	0.962816	0.528425	0.773537	3.64256287	5.71163327	0.957750867	0.994779158	0.00344431688	0.00382701875
p9016_transgate_off_best035_td0p5_lct0p03_gct0p003	P9016	OK	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/outputs/p9016_transgate_off_best035_td0p5_lct0p03_gct0p003	/mnt/ssd/zliu/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/eval/p9016_transgate_off_best035_td0p5_lct0p03_gct0p003	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	95	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39651585	0.459196299	11.6669979	2.83363295	4.33270073	0.696720541	0.502577662	0	65390.4062	19829.4258	200.325699	0	0	62.556427	699.748169	126.168343	187.258667	0	0	132787.953	0	0.00526966606	0.00141020825	0	0.481885	0.572114	0.352751	0.791763	0.958953	0.552484	0.769473	2.8336329	4.33270071	0.941792598	0.993001644	0.0015308075	0.0045924225
