metric	selection_direction	metric_source	metric_note	n_ranked	spearman_with_eval_trans	selected_config	selected_metric_value	selected_trans	selected_delta_vs_baseline	selected_gap_to_target	selected_is_eval_best	selected_rank_by_trans	target_met	eval_best_config	eval_best_trans	baseline_config	baseline_trans	target_trans
final_mean_entropy	low	training_loop	mean posterior entropy after final E-step	26	0.305982906	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	0.547770858	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_mean_entropy	high	training_loop	mean posterior entropy after final E-step	26	0.305982906	p9016_multiseed_best035_seed17_noise0p05	0.710712731	0.340728	0.023219	0.076781	0	5	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_mean_pU	low	training_loop	mean unknown posterior mass proxy	26	0.305982906	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	0.395133168	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_mean_pU	high	training_loop	mean unknown posterior mass proxy	26	0.305982906	p9016_multiseed_best035_seed17_noise0p05	0.512670875	0.340728	0.023219	0.076781	0	5	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_contact_energy	low	force	final contact energy	26	-0.176752137	p9016_multiseed_td1_seed17_noise0	16140.9043	0.317509	0	0.1	0	17	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_contact_energy	high	force	final contact energy	26	-0.176752137	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	79349.1406	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_repulsion_energy	low	force	final repulsion energy	26	-0.245811966	p9016_multiseed_td1_seed17_noise0	14700.5898	0.317509	0	0.1	0	17	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_repulsion_energy	high	force	final repulsion energy	26	-0.245811966	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	24859.4746	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_backbone_energy	low	force	final backbone energy	26	-0.224615385	p9016_multiseed_chrpair_m0p5_p4_w10_seed31_noise0p05	63.257061	0.339978	0.022469	0.077531	0	6	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_backbone_energy	high	force	final backbone energy	26	-0.224615385	p9016_multiseed_best035_seed97_noise0p05	387.236481	0.311404	-0.006105	0.106105	0	20	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_sep_energy	low	force	final homolog-separation energy	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_sep_energy	high	force	final homolog-separation energy	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_sep_force_l1	low	force	final homolog-separation force L1	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
