config_name	basin_family	seed	init_noise_short	status	backend	init_seed	init_noise_scale	trans_dscale_multiplier	lambda_copytrack	lambda_global_copytrack	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	delta_trans_vs_td1_seed17	delta_trans_vs_best035_seed17	target_plus_0p1_vs_td1_met
p9016_multiseed_best035_seed71_noise0p05	best035	71	0.05	OK	gpu	71	0.0500000007	0.5	0.0299999993	0.00300000003	0	1	0	0.483482	0.572808	0.35564	0.561305	0.748036	0.692817748	0.499762356	0.370847613	2.58046293	4.38917112	0.00344431688	0.00803673938	0.038131	0.002757	0
p9016_multiseed_best035_seed17_noise0	best035	17	0	OK	gpu	17	0	0.5	0.0299999993	0.00300000003	0	1	0	0.481905	0.572055	0.352883	0.55263	0.769516	0.696735561	0.502588511	0.458484918	2.83278489	4.39646196	0.0015308075	0.0045924225	0.035374	0	0
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	chrpair_m0p5_p4_w10	71	0.05	OK	gpu	71	0.0500000007	0.5	0	0	0.5	4	10	0.469189	0.556463	0.344284	0.554616	0.796257	0.641890824	0.463026345	1.97402585	3.0470264	4.65633202	0.0015308075	0.00344431688	0.026775	-0.008599	0
p9016_multiseed_best035_seed31_noise0p05	best035	31	0.05	OK	gpu	31	0.0500000007	0.5	0.0299999993	0.00300000003	0	1	0	0.470286	0.559539	0.342548	0.54299	0.725411	0.697113812	0.502861321	0.237134248	2.35090852	4.07705784	0.00535782625	0.0145426713	0.025039	-0.010335	0
p9016_multiseed_best035_seed17_noise0p05	best035	17	0.05	OK	gpu	17	0.0500000007	0.5	0.0299999993	0.00300000003	0	1	0	0.476177	0.570818	0.340728	0.53969	0.752456	0.710712731	0.512670875	0.375790328	2.69662166	4.28375626	0.00191350938	0.00535782625	0.023219	-0.012155	0
p9016_multiseed_chrpair_m0p5_p4_w10_seed31_noise0p05	chrpair_m0p5_p4_w10	31	0.05	OK	gpu	31	0.0500000007	0.5	0	0	0.5	4	10	0.480142	0.578078	0.339978	0.544393	0.809394	0.59278506	0.427604049	1.59609532	3.03872943	4.58033609	0	0.00382701875	0.022469	-0.012905	0
p9016_multiseed_chrpair_m1_p1_w0_seed47_noise0p05	chrpair_m1_p1_w0	47	0.05	OK	gpu	47	0.0500000007	0.5	0	0	1	1	0	0.473843	0.567537	0.339749	0.540878	0.801155	0.592511952	0.427407026	0.90223515	3.12432122	4.59928751	0.00114810563	0.0015308075	0.02224	-0.013134	0
p9016_multiseed_chrpair_m1_p1_w0_seed31_noise0p05	chrpair_m1_p1_w0	31	0.05	OK	gpu	31	0.0500000007	0.5	0	0	1	1	0	0.483133	0.584712	0.337755	0.54092	0.819437	0.642468393	0.463442981	0.83201611	2.85311103	4.40582228	0.00076540375	0.00076540375	0.020246	-0.015128	0
p9016_multiseed_chrpair_m1_p1_w0_seed71_noise0p05	chrpair_m1_p1_w0	71	0.05	OK	gpu	71	0.0500000007	0.5	0	0	1	1	0	0.477819	0.575938	0.337394	0.541309	0.826292	0.607097626	0.437928379	1.9653976	3.34487486	4.92078495	0	0	0.019885	-0.015489	0
p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	chrpair_m0p5_p4_w10	17	0.05	OK	gpu	17	0.0500000007	0.5	0	0	0.5	4	10	0.476319	0.575224	0.334769	0.529154	0.797472	0.628831267	0.45360589	1.93848681	3.01703	4.62880898	0	0	0.01726	-0.018114	0
p9016_multiseed_chrpair_m1_p1_w0_seed83_noise0p05	chrpair_m1_p1_w0	83	0.05	OK	gpu	83	0.0500000007	0.5	0	0	1	1	0	0.480068	0.582732	0.333137	0.550692	0.809694	0.645166755	0.465389431	1.52334809	2.88464952	4.61946869	0	0	0.015628	-0.019746	0
p9016_multiseed_chrpair_m0p5_p4_w10_seed83_noise0p05	chrpair_m0p5_p4_w10	83	0.05	OK	gpu	83	0.0500000007	0.5	0	0	0.5	4	10	0.464761	0.561112	0.326865	0.540788	0.792351	0.661380768	0.477085382	1.54491055	2.95907044	4.65890408	0.00076540375	0.003061615	0.009356	-0.026018	0
p9016_multiseed_chrpair_m1_p1_w0_seed17_noise0p05	chrpair_m1_p1_w0	17	0.05	OK	gpu	17	0.0500000007	0.5	0	0	1	1	0	0.47404	0.577796	0.325545	0.525695	0.823713	0.626831949	0.452163666	1.25513124	2.9374547	4.63992357	0	0	0.008036	-0.027338	0
p9016_multiseed_chrpair_m0p5_p4_w10_seed59_noise0p05	chrpair_m0p5_p4_w10	59	0.05	OK	gpu	59	0.0500000007	0.5	0	0	0.5	4	10	0.47228	0.575433	0.324649	0.533794	0.785623	0.667563856	0.481545508	1.36636722	2.96427655	4.49253988	0.00076540375	0.00382701875	0.00714	-0.028234	0
p9016_multiseed_chrpair_m0p5_p4_w10_seed23_noise0p05	chrpair_m0p5_p4_w10	23	0.05	OK	gpu	23	0.0500000007	0.5	0	0	0.5	4	10	0.459361	0.556768	0.319954	0.538919	0.775214	0.602353454	0.434506178	0.591273129	3.07136846	4.75332069	0.000382701875	0.00382701875	0.002445	-0.032929	0
p9016_multiseed_chrpair_m1_p1_w0_seed23_noise0p05	chrpair_m1_p1_w0	23	0.05	OK	gpu	23	0.0500000007	0.5	0	0	1	1	0	0.469249	0.575234	0.317565	0.53462	0.797971	0.607577801	0.438274741	1.10074508	3.24164462	4.8724885	0	0	5.6e-05	-0.035318	0
p9016_multiseed_td1_seed17_noise0	td1	17	0	OK	gpu	17	0	1	0	0	0	1	0	0.466095	0.569915	0.317509	0.514631	0.80181	0.6116696	0.441226333	1.51912522	3.66526151	5.01207876	0.0015308075	0.003061615	0	-0.035374	0
p9016_multiseed_best035_seed83_noise0p05	best035	83	0.05	OK	gpu	83	0.0500000007	0.5	0.0299999993	0.00300000003	0	1	0	0.453039	0.548635	0.316224	0.522993	0.708704	0.694479823	0.500961304	1.01912582	2.47752666	4.30233908	0.00229621125	0.00803673938	-0.001285	-0.036659	0
p9016_multiseed_best035_seed47_noise0p05	best035	47	0.05	OK	gpu	47	0.0500000007	0.5	0.0299999993	0.00300000003	0	1	0	0.457258	0.55621	0.315641	0.514624	0.709321	0.685047984	0.494157672	0.422151715	2.41585326	4.26593781	0.00880214313	0.0229621125	-0.001868	-0.037242	0
p9016_multiseed_best035_seed97_noise0p05	best035	97	0.05	OK	gpu	97	0.0500000007	0.5	0.0299999993	0.00300000003	0	1	0	0.436543	0.523981	0.311404	0.523903	0.630451	0.6872527	0.495748043	0.749864101	2.06341004	4.16454697	0.0045924225	0.0176042863	-0.006105	-0.041479	0
p9016_multiseed_best035_seed59_noise0p05	best035	59	0.05	OK	gpu	59	0.0500000007	0.5	0.0299999993	0.00300000003	0	1	0	0.448796	0.544806	0.31139	0.528939	0.704147	0.690476596	0.498073578	0.253713846	2.51502442	4.23929834	0.00612323	0.0114810563	-0.006119	-0.041493	0
