metric	selection_direction	metric_source	n_ranked	spearman_with_eval_trans	selected_config	selected_metric_value	selected_trans	selected_delta_vs_baseline	selected_gap_to_target	selected_is_eval_best	selected_rank_by_trans	target_met	eval_best_config	eval_best_trans	baseline_config	baseline_trans	target_trans
rawpost_all_n_bpair	low	final_raw_posterior	26	NA	p9016_multiseed_best035_seed17_noise0	489556	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_n_bpair	high	final_raw_posterior	26	NA	p9016_multiseed_best035_seed17_noise0	489556	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_n_raw	low	final_raw_posterior	26	NA	p9016_multiseed_best035_seed17_noise0	1703888	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_n_raw	high	final_raw_posterior	26	NA	p9016_multiseed_best035_seed17_noise0	1703888	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_entropy	low	final_raw_posterior	26	0.435897436	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	0.698252449	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_entropy	high	final_raw_posterior	26	0.435897436	p9016_multiseed_best035_seed17_noise0p05	0.756175383	0.340728	0.023219	0.076781	0	5	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_pU	low	final_raw_posterior	26	0.435897436	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	0.503682672	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_pU	high	final_raw_posterior	26	0.435897436	p9016_multiseed_best035_seed17_noise0p05	0.545465237	0.340728	0.023219	0.076781	0	5	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_pmax	low	final_raw_posterior	26	-0.601367521	p9016_multiseed_best035_seed17_noise0p05	0.612624381	0.340728	0.023219	0.076781	0	5	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_pmax	high	final_raw_posterior	26	-0.601367521	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	0.638967272	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_margin	low	final_raw_posterior	26	-0.727863248	p9016_multiseed_best035_seed17_noise0p05	0.379001358	0.340728	0.023219	0.076781	0	5	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_margin	high	final_raw_posterior	26	-0.727863248	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	0.421396241	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_psame_raw	low	final_raw_posterior	26	0.180854701	p9016_multiseed_best035_seed97_noise0p05	0.668328962	0.311404	-0.006105	0.106105	0	20	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_psame_raw	high	final_raw_posterior	26	0.180854701	p9016_multiseed_chrpair_m1_p1_w0_seed47_noise0p05	0.720931798	0.339749	0.02224	0.07776	0	7	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_pcross_raw	low	final_raw_posterior	26	-0.180854701	p9016_multiseed_chrpair_m1_p1_w0_seed47_noise0p05	0.279068202	0.339749	0.02224	0.07776	0	7	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_pcross_raw	high	final_raw_posterior	26	-0.180854701	p9016_multiseed_best035_seed97_noise0p05	0.331671038	0.311404	-0.006105	0.106105	0	20	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
rawpost_all_mean_top1_same	low	final_raw_posterior	26	0.2	p9016_multiseed_best035_seed97_noise0p05	0.799582484	0.311404	-0.006105	0.106105	0	20	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
