config_name	status	posterior_path	rawpost_all_n_bpair	rawpost_all_n_raw	rawpost_all_mean_entropy	rawpost_all_mean_pU	rawpost_all_mean_pmax	rawpost_all_mean_margin	rawpost_all_mean_psame_raw	rawpost_all_mean_pcross_raw	rawpost_all_mean_top1_same	rawpost_all_mean_top1_cross	rawpost_all_frac_top1_same	rawpost_all_frac_top1_cross	rawpost_all_frac_pmax_ge_0p5	rawpost_all_frac_pmax_ge_0p75	rawpost_all_frac_margin_ge_0p1	rawpost_all_frac_margin_ge_0p25	rawpost_all_frac_low_entropy_lt_0p5	rawpost_all_frac_low_pU_lt_0p5	rawpost_cis_n_bpair	rawpost_cis_n_raw	rawpost_cis_mean_entropy	rawpost_cis_mean_pU	rawpost_cis_mean_pmax	rawpost_cis_mean_margin	rawpost_cis_mean_psame_raw	rawpost_cis_mean_pcross_raw	rawpost_cis_mean_top1_same	rawpost_cis_mean_top1_cross	rawpost_cis_frac_top1_same	rawpost_cis_frac_top1_cross	rawpost_cis_frac_pmax_ge_0p5	rawpost_cis_frac_pmax_ge_0p75	rawpost_cis_frac_margin_ge_0p1	rawpost_cis_frac_margin_ge_0p25	rawpost_cis_frac_low_entropy_lt_0p5	rawpost_cis_frac_low_pU_lt_0p5	rawpost_trans_n_bpair	rawpost_trans_n_raw	rawpost_trans_mean_entropy	rawpost_trans_mean_pU	rawpost_trans_mean_pmax	rawpost_trans_mean_margin	rawpost_trans_mean_psame_raw	rawpost_trans_mean_pcross_raw	rawpost_trans_mean_top1_same	rawpost_trans_mean_top1_cross	rawpost_trans_frac_top1_same	rawpost_trans_frac_top1_cross	rawpost_trans_frac_pmax_ge_0p5	rawpost_trans_frac_pmax_ge_0p75	rawpost_trans_frac_margin_ge_0p1	rawpost_trans_frac_margin_ge_0p25	rawpost_trans_frac_low_entropy_lt_0p5	rawpost_trans_frac_low_pU_lt_0p5
p9016_multiseed_best035_seed17_noise0	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed17_noise0/p9016_multiseed_best035_seed17_noise0/p9016_full.bpair_posterior.tsv	489556	1703888	0.75375389	0.543718499	0.613591685	0.3803938	0.690787159	0.309212841	0.82097004	0.17902996	0.572596393	0.427403607	0.6633875	0.365288681	0.584355897	0.498319138	0.291130638	0.502102251	86393	1135454	0.835249001	0.602504796	0.540802798	0.278182902	0.791267907	0.208732093	0.988474214	0.0115257862	0.971745396	0.028254604	0.55325535	0.27293576	0.426580029	0.354568305	0.240985544	0.477011838	403163	568434	0.59096639	0.426292139	0.758988393	0.584561343	0.490075612	0.509924388	0.486378366	0.513621634	0.487063545	0.512936455	0.883377842	0.549764792	0.899515159	0.78546322	0.391296087	0.552220662
p9016_multiseed_best035_seed17_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed17_noise0p05/p9016_multiseed_best035_seed17_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.756175383	0.545465237	0.612624381	0.379001358	0.686118344	0.313881656	0.815315326	0.184684674	0.564327677	0.435672323	0.660902595	0.362048444	0.583918661	0.497000977	0.289575958	0.495386434	86393	1135454	0.832387398	0.600440585	0.543000082	0.282743071	0.787136102	0.212863897	0.983529936	0.016470064	0.960980635	0.039019365	0.551541498	0.277592928	0.428076347	0.358203855	0.24632702	0.475559556	403163	568434	0.603940933	0.435651293	0.751699786	0.571278486	0.484334114	0.515665887	0.479304545	0.520695455	0.4793297	0.5206703	0.879352748	0.530749392	0.895215627	0.774249957	0.375966251	0.53499087
p9016_multiseed_best035_seed23_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed23_noise0p05/p9016_multiseed_best035_seed23_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.735452191	0.530516614	0.622987048	0.397346838	0.687737495	0.312262505	0.819282723	0.180717277	0.57591777	0.42408223	0.670534096	0.38425589	0.594269694	0.512126971	0.314935019	0.516356709	86393	1135454	0.819854032	0.591399673	0.550452474	0.297500061	0.782884119	0.217115881	0.979666283	0.0203337167	0.930607804	0.0693921961	0.558949988	0.292746338	0.438376191	0.37076447	0.26270461	0.483976453	403163	568434	0.566858463	0.408901945	0.767875762	0.59679202	0.497680927	0.502319073	0.498914562	0.501085438	0.499911946	0.500088054	0.893424742	0.567047362	0.905668908	0.794500329	0.419265913	0.581036673
p9016_multiseed_best035_seed31_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed31_noise0p05/p9016_multiseed_best035_seed31_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.753763163	0.543725188	0.615419428	0.384190988	0.685788925	0.314211075	0.818643596	0.181356404	0.582478818	0.417521182	0.6650308	0.369197389	0.590438456	0.504404045	0.295011174	0.500129703	86393	1135454	0.83822046	0.60464825	0.5420809	0.282438598	0.773805977	0.226194023	0.971795423	0.0282045772	0.930769854	0.069230146	0.55174406	0.276577475	0.433680272	0.360356298	0.243723656	0.470501667	403163	568434	0.585058658	0.422030611	0.761914051	0.587442655	0.509973766	0.490026235	0.512720914	0.487279086	0.507844222	0.492155778	0.891322475	0.554206821	0.903564882	0.792141216	0.397458632	0.559312075
p9016_multiseed_best035_seed47_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed47_noise0p05/p9016_multiseed_best035_seed47_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.74489184	0.537325881	0.619233481	0.390744296	0.696755294	0.303244706	0.832675622	0.167324378	0.620629713	0.379370287	0.669762332	0.376224846	0.593283127	0.510405614	0.303679585	0.508935446	86393	1135454	0.829150413	0.598105594	0.546054162	0.289199639	0.773980285	0.226019715	0.970776447	0.0292235529	0.927389951	0.0726100494	0.557513558	0.283520953	0.436427191	0.367107782	0.251704605	0.479143145	403163	568434	0.576584289	0.415917646	0.765410084	0.593581012	0.542497412	0.457502589	0.556817502	0.443182498	0.55489467	0.44510533	0.893980656	0.561402027	0.906604813	0.796644817	0.407500255	0.568445941
p9016_multiseed_best035_seed59_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed59_noise0p05/p9016_multiseed_best035_seed59_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.742762982	0.535790235	0.620776546	0.394707789	0.683618472	0.316381528	0.813922629	0.186077371	0.57273121	0.42726879	0.667280361	0.380795569	0.593955706	0.511030655	0.308726865	0.506653019	86393	1135454	0.821777078	0.592786858	0.550156948	0.297347537	0.77652417	0.223475829	0.973325207	0.0266747926	0.928130751	0.0718692487	0.557259915	0.293539853	0.438805975	0.370897456	0.262018541	0.480065243	403163	568434	0.584931341	0.421938771	0.761840074	0.589186105	0.498038181	0.501961819	0.495513991	0.504486009	0.496573346	0.503426654	0.887047573	0.555089949	0.903869227	0.790948465	0.402027324	0.559762435
p9016_multiseed_best035_seed71_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed71_noise0p05/p9016_multiseed_best035_seed71_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.750500325	0.541371548	0.615648959	0.383994685	0.695010142	0.304989858	0.82606838	0.17393162	0.588698739	0.411301261	0.667005108	0.369749655	0.587032716	0.502739617	0.295622717	0.503098795	86393	1135454	0.835048545	0.602360197	0.541524267	0.280291693	0.788699114	0.211300886	0.986040826	0.013959174	0.956883081	0.0431169192	0.553085374	0.274779075	0.426233031	0.355720267	0.243180261	0.471965399	403163	568434	0.581614202	0.419545961	0.763713954	0.591142705	0.507865253	0.492134747	0.506521426	0.493478574	0.509801247	0.490198753	0.894561198	0.559454572	0.90823209	0.7964126	0.400377177	0.565288143
p9016_multiseed_best035_seed83_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed83_noise0p05/p9016_multiseed_best035_seed83_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.742057485	0.535281326	0.622035049	0.396896988	0.687538809	0.312461191	0.818668833	0.181331167	0.580144049	0.419855951	0.669624412	0.383136098	0.599643873	0.517995314	0.309908867	0.509034631	86393	1135454	0.818835093	0.590664664	0.553744336	0.304928567	0.781212239	0.218787761	0.977727852	0.0222721484	0.938363062	0.0616369382	0.559813079	0.301209032	0.448251536	0.383403467	0.26931342	0.48499631	403163	568434	0.588693257	0.42465242	0.7584466	0.580605056	0.500424965	0.499575035	0.50094646	0.49905354	0.503382007	0.496617993	0.888973918	0.546786434	0.902051953	0.786844207	0.390998779	0.557051478
p9016_multiseed_best035_seed97_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed97_noise0p05/p9016_multiseed_best035_seed97_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.740196531	0.533938932	0.622989082	0.398916393	0.668328962	0.331671038	0.799582484	0.200417516	0.557084378	0.442915622	0.667505141	0.385464303	0.600172077	0.517445395	0.311960058	0.509036979	86393	1135454	0.819657738	0.591258077	0.553673269	0.305737911	0.761653114	0.238346886	0.959345777	0.0406542229	0.895222993	0.104777007	0.555372565	0.301570121	0.448507822	0.380720839	0.268816702	0.480543465	403163	568434	0.581471778	0.419443224	0.761448282	0.585041573	0.481912805	0.518087195	0.480453316	0.519546684	0.484625325	0.515374675	0.89149136	0.553043977	0.903123318	0.7905544	0.39813945	0.565953127
p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05/p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05/p9016_full.bpair_posterior.tsv	489556	1703888	0.729924229	0.526529032	0.622855868	0.393174403	0.691142375	0.308857625	0.820749369	0.179250631	0.568055544	0.431944456	0.676225785	0.384932578	0.587869625	0.507754031	0.317763844	0.532617167	86393	1135454	0.837999572	0.604488913	0.536961807	0.269120024	0.800636223	0.199363776	0.995736507	0.00426349284	0.991075666	0.00892433415	0.554301627	0.263293801	0.41777386	0.344360053	0.234965045	0.47757549	403163	568434	0.514042386	0.370803199	0.794430325	0.640974572	0.472427049	0.527572952	0.471210378	0.528789622	0.477407401	0.522592599	0.919770809	0.62790755	0.927638037	0.834135537	0.483155476	0.642563605
