metric	selection_direction	metric_source	metric_note	n_ranked	spearman_with_eval_trans	selected_config	selected_metric_value	selected_trans	selected_delta_vs_baseline	selected_gap_to_target	selected_is_eval_best	selected_rank_by_trans	target_met	eval_best_config	eval_best_trans	baseline_config	baseline_trans	target_trans
heldout_mean_expected_energy	low	heldout_raw_fit	posterior-expected FDG-flat energy on heldout raw bpairs	26	-0.0577777778	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.450753303	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_expected_energy	high	heldout_raw_fit	posterior-expected FDG-flat energy on heldout raw bpairs	26	-0.0577777778	p9016_heldout_best035_seed97_noise0p05	0.619590681	0.335188	0.04732	0.05268	0	3	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_min_energy	low	heldout_raw_fit	best-state FDG-flat energy on heldout raw bpairs	26	-0.109059829	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.309526348	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_min_energy	high	heldout_raw_fit	best-state FDG-flat energy on heldout raw bpairs	26	-0.109059829	p9016_heldout_td1_seed17_noise0	0.428560109	0.287868	0	0.1	0	25	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_entropy	low	heldout_raw_fit	heldout posterior entropy	26	0.0974358974	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.545481017	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_entropy	high	heldout_raw_fit	heldout posterior entropy	26	0.0974358974	p9016_heldout_best035_seed83_noise0p05	0.691023115	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_pU	low	heldout_raw_fit	heldout unknown posterior mass proxy	26	0.0974358974	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.393481378	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_pU	high	heldout_raw_fit	heldout unknown posterior mass proxy	26	0.0974358974	p9016_heldout_best035_seed83_noise0p05	0.498467809	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_best_normalized_distance	low	heldout_raw_fit	distance/target distance for heldout best state	26	-0.131623932	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	1.33891661	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
heldout_mean_best_normalized_distance	high	heldout_raw_fit	distance/target distance for heldout best state	26	-0.131623932	p9016_heldout_td1_seed17_noise0	1.47242057	0.287868	0	0.1	0	25	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
