config_name	policy	base_policy	policy_family	selection_source	scope	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	raw_selection_n_records	raw_selection_total_weight	raw_pair_count	eval_pair_count	raw_eval_pair_intersection_count	selected_pair_count	split_agree_pair_count	split_agree_pair_fraction	split_agree_raw_weight	split_agree_raw_weight_fraction	split_agree_eval_contacts	split_agree_eval_contact_fraction	oracle_comparable_pair_count	oracle_match_pair_count	oracle_match_pair_fraction	oracle_match_raw_weight_fraction	oracle_match_eval_contact_fraction	uses_snp_for_base_gauge	uses_snp_for_pair_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	cis_selected_whole_chrom	NA	baseline_eval_gauge	cis_snp_truth_whole_chrom	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	0	0	190	190	190	190	NA	NA	NA	NA	NA	NA	190	NA	NA	NA	NA	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	pair_independent_4state_snp_oracle	NA	eval_only_oracle	snp_truth_oracle	genome_trans	135885	60628	0.446171395	85821	0.631570814	0.9	80333	0.591183722	0.526620442	0.311329433	0.103661184	1	0	0	190	190	190	190	NA	NA	NA	NA	NA	NA	190	NA	NA	NA	NA	1	1	1	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_all_geom_nearest_gap	geom_nearest_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_split_a_geom_nearest_gap	geom_nearest_gap	blind_raw_split_a	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_split_b_geom_nearest_gap	geom_nearest_gap	blind_raw_split_b	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_split_agree_geom_nearest_gap	geom_nearest_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_all_geom_top_to_nearest	geom_top_to_nearest	blind_raw_all	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_split_a_geom_top_to_nearest	geom_top_to_nearest	blind_raw_split_a	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_split_b_geom_top_to_nearest	geom_top_to_nearest	blind_raw_split_b	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_split_agree_geom_top_to_nearest	geom_top_to_nearest	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_all_margin_geom_gap	margin_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_split_a_margin_geom_gap	margin_geom_gap	blind_raw_split_a	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	raw_split_b_margin_geom_gap	margin_geom_gap	blind_raw_split_b	blind_raw_posterior_reconstruction_geometry	genome_trans	135885	46542	0.342510211	72826	0.535938477	0.9	80333	0.591183722	0.372960054	0.220487913	0	0	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	88	0.463157895	0.485589122	0.498421459	1	0	0	1	1	1
