config_name	source_run_root	status	input_contact_source	bin_size_bp	resolution_label	uses_phase_labels	uses_charm_or_reference	uses_charm_for_training	copy_labels_are_gauge_only	mstep_graph_mode
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_pcgamma1_td0p5_mstep0_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_multiseed_best035_seed71_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_multiseed_best035_seed17_noise0	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_heldout_best035_seed31_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
p9016_heldout_td1_seed17_noise0	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m	OK	raw_pairs	1000000	1Mb	0	0	0	1	raw_expected_soft_all
