config_name	seed_family	status	backend	init_seed	init_noise_scale	init_coord_anchor_k	init_coord_anchor_mode	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	final_anchor_energy	final_anchor_force_l1	anchor_force_l1_over_contact_force_l1	delta_trans_vs_same_seed_anchor_off	delta_trans_vs_best035_seed17_anchor_off	target_plus_0p1_vs_best035_seed17_met
p9016_initanchor_k0p001_seed71_noise0p05_best035	seed71_noise0p05	OK	gpu	71	0.0500000007	0.00100000005	identity_parent_anchor_to_initial_coords	0.485804	0.574695	0.358585	0.563729	0.744353	0.693435669	0.50020808	0.379367381	2.56006312	4.37720013	0.00344431688	0.00650593188	20.9736557	20.7054405	0.000155974728	0.002924	0.005584	0
p9016_initanchor_k0p003_seed71_noise0p05_best035	seed71_noise0p05	OK	gpu	71	0.0500000007	0.00300000003	identity_parent_anchor_to_initial_coords	0.484162	0.572327	0.357981	0.561902	0.745886	0.69200927	0.499179155	0.438126266	2.59001517	4.37610626	0.00382701875	0.00727133563	62.807106	62.139389	0.000468624667	0.00232	0.00498	0
p9016_initanchor_k0p01_seed71_noise0p05_best035	seed71_noise0p05	OK	gpu	71	0.0500000007	0.00999999978	identity_parent_anchor_to_initial_coords	0.483233	0.572191	0.355918	0.561874	0.749965	0.694105268	0.500691116	0.349551201	2.59364271	4.36525869	0.003061615	0.00727133563	205.678329	205.932846	0.00154862853	0.000257	0.002917	0
p9016_initanchor_off_seed71_noise0p05_best035	seed71_noise0p05	OK	gpu	71	0.0500000007	0	off	0.483053	0.572065	0.355661	0.56111	0.748189	0.69240886	0.499467403	0.371240407	2.58296108	4.38990498	0.00344431688	0.00803673938	0	0	0	0	0.00266	0
p9016_initanchor_k0p0003_seed71_noise0p05_best035	seed71_noise0p05	OK	gpu	71	0.0500000007	0.000300000014	identity_parent_anchor_to_initial_coords	0.484073	0.574477	0.354689	0.560478	0.750541	0.692574203	0.499586672	0.365777731	2.5639205	4.37024355	0.00344431688	0.0076540375	6.2752862	6.20385265	4.65595716e-05	-0.000972	0.001688	0
p9016_initanchor_off_seed17_noise0_best035	seed17_noise0	OK	gpu	17	0	0	off	0.482105	0.572313	0.353001	0.552755	0.769509	0.69679147	0.502628803	0.460410267	2.83495998	4.39647293	0.0015308075	0.0045924225	0	0	0	0	0	0
p9016_initanchor_k0p0003_seed17_noise0_best035	seed17_noise0	OK	gpu	17	0	0.000300000014	identity_parent_anchor_to_initial_coords	0.480442	0.570017	0.352244	0.551977	0.767643	0.697908223	0.50343436	0.408795953	2.79330826	4.38305855	0.00229621125	0.00612323	6.06696892	6.07198	4.58167388e-05	-0.000757	-0.000757	0
p9016_initanchor_k0p03_seed17_noise0_best035	seed17_noise0	OK	gpu	17	0	0.0299999993	identity_parent_anchor_to_initial_coords	0.478836	0.568843	0.350021	0.542406	0.769066	0.704008698	0.507834911	0.478495926	2.71031857	4.33590841	0.0015308075	0.00574052813	576.894897	596.866211	0.00453577259	-0.00298	-0.00298	0
p9016_initanchor_k0p01_seed17_noise0_best035	seed17_noise0	OK	gpu	17	0	0.00999999978	identity_parent_anchor_to_initial_coords	0.478616	0.568891	0.349417	0.5411	0.759412	0.701791406	0.50623548	0.334618449	2.70151734	4.35156631	0.0015308075	0.00344431688	197.925491	200.446472	0.0015183714	-0.003584	-0.003584	0
p9016_initanchor_k0p001_seed17_noise0_best035	seed17_noise0	OK	gpu	17	0	0.00100000005	identity_parent_anchor_to_initial_coords	0.478016	0.5681	0.34909	0.548546	0.762925	0.699313104	0.504447758	0.379511237	2.7558136	4.36814213	0.0015308075	0.00344431688	20.2056961	20.2162533	0.000152788572	-0.003911	-0.003911	0
p9016_initanchor_k0p03_seed71_noise0p05_best035	seed71_noise0p05	OK	gpu	71	0.0500000007	0.0299999993	identity_parent_anchor_to_initial_coords	0.476671	0.566455	0.348174	0.547664	0.777702	0.694042861	0.500646055	0.522811532	2.90213394	4.3918438	0.003061615	0.00497512438	596.145874	609.364075	0.0046025395	-0.007487	-0.004827	0
p9016_initanchor_k0p003_seed17_noise0_best035	seed17_noise0	OK	gpu	17	0	0.00300000003	identity_parent_anchor_to_initial_coords	0.478336	0.571488	0.34502	0.540517	0.767616	0.699067175	0.504270375	0.408593953	2.79019547	4.38609457	0.0015308075	0.00497512438	60.2226105	60.5706978	0.000457137128	-0.007981	-0.007981	0
