config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	resolution_label	refinement_stage	refinement_stage_index	refinement_n_stages	parent_bin_size_bp	refinement_init_source	n_raw	n_raw_cis	n_raw_trans	n_bpair	n_bpair_cis	n_bpair_trans	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	trans_chr_pair_mstep_mode	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_eps	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	trans_chr_pair_mstep_application_point	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	lambda_normdir_copytrack	normdir_copytrack_eps_unit	init_coord_anchor_enabled	init_coord_anchor_k	init_coord_anchor_mode	init_coord_anchor_source	init_coord_anchor_map_type	normdir_copytrack_prior_mode	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	trans_gate_mode	trans_gate_min_pmax	trans_gate_min_margin	trans_gate_min_neg_entropy	trans_gate_scope	trans_gate_source	trans_gate_confidence_unit	trans_gate_neg_entropy_formula	trans_gate_active_criteria	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_n_softall_gate_skip_raw	final_contact_energy	final_repulsion_energy	final_backbone_energy	heldout_enabled	heldout_fraction	heldout_seed	heldout_n_input_raw_total	heldout_n_raw_train	heldout_n_raw_heldout	heldout_n_bpair_heldout	heldout_n_bpair_eval	heldout_n_raw_eval	heldout_n_bpair_same_bin_skipped	heldout_n_raw_same_bin_skipped	heldout_mean_expected_energy	heldout_mean_min_energy	heldout_mean_entropy	heldout_mean_pU	heldout_mean_best_normalized_distance	heldout_short_distance_frac	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	final_normdir_copytrack_energy	final_normdir_copytrack_force_l1	final_anchor_energy	final_anchor_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	normdir_copytrack_force_l1_over_contact_force_l1	anchor_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_initanchor_k0p0003_seed17_noise0_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p0003_seed17_noise0_best035/p9016_initanchor_k0p0003_seed17_noise0_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p0003_seed17_noise0_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.000300000014	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38305855	0.408795953	11.4883976	2.79330826	4.30350208	0.697908223	0.50343436	0	65387.2852	19812.082	211.279846	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.7922134	701.944824	125.244156	186.040283	0	0	6.06696892	6.07198	132527.547	0	0.00529659561	0.00140378576	0	4.58167388e-05	0.480442	0.570017	0.352244	0.789975	0.956269	0.551977	0.767643	2.79330813	4.3035025	0.939034599	0.993244173	0.00229621125	0.00612323
p9016_initanchor_k0p0003_seed71_noise0p05_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p0003_seed71_noise0p05_best035/p9016_initanchor_k0p0003_seed71_noise0p05_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p0003_seed71_noise0p05_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.000300000014	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.37024355	0.365777731	9.764534	2.5639205	4.26668549	0.692574203	0.499586672	0	66145.6484	20061.3398	214.184448	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.5182495	723.509521	121.474174	183.166809	0	0	6.2752862	6.20385265	133245.484	0	0.00542989901	0.00137465679	0	4.65595716e-05	0.484073	0.574477	0.354689	0.79304	0.955537	0.560478	0.750541	2.56392045	4.26668568	0.935163981	0.992720232	0.00344431688	0.0076540375
p9016_initanchor_k0p001_seed17_noise0_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p001_seed17_noise0_best035/p9016_initanchor_k0p001_seed17_noise0_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p001_seed17_noise0_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.00100000005	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.36814213	0.379511237	11.6308622	2.7558136	4.30082798	0.699313104	0.504447758	0	65448.8633	19793.9414	193.33905	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.7779198	702.636414	124.614532	185.09108	0	0	20.2056961	20.2162533	132315.219	0	0.00531032197	0.00139886463	0	0.000152788572	0.478016	0.5681	0.34909	0.787663	0.954741	0.548546	0.762925	2.75581378	4.30082771	0.941461069	0.993096754	0.0015308075	0.00344431688
p9016_initanchor_k0p001_seed71_noise0p05_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p001_seed71_noise0p05_best035/p9016_initanchor_k0p001_seed71_noise0p05_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p001_seed71_noise0p05_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.00100000005	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.37720013	0.379367381	9.79408932	2.56006312	4.26129246	0.693435669	0.50020808	0	66089.4844	19951.6328	212.015717	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.3607178	724.465576	121.96637	182.91806	0	0	20.9736557	20.7054405	132748.688	0	0.00545742174	0.00137792744	0	0.000155974728	0.485804	0.574695	0.358585	0.794403	0.95558	0.563729	0.744353	2.56006316	4.26129236	0.931597944	0.992626439	0.00344431688	0.00650593188
p9016_initanchor_k0p003_seed17_noise0_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p003_seed17_noise0_best035/p9016_initanchor_k0p003_seed17_noise0_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p003_seed17_noise0_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.00300000003	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38609457	0.408593953	11.2408123	2.79019547	4.2959137	0.699067175	0.504270375	0	65362.4648	19810.25	205.657181	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.939724	699.510437	125.446335	186.245926	0	0	60.2226105	60.5706978	132500.062	0	0.00527932158	0.00140562897	0	0.000457137128	0.478336	0.571488	0.34502	0.785721	0.957051	0.540517	0.767616	2.79019556	4.29591406	0.940707689	0.99314125	0.0015308075	0.00497512438
p9016_initanchor_k0p003_seed71_noise0p05_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p003_seed71_noise0p05_best035/p9016_initanchor_k0p003_seed71_noise0p05_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p003_seed71_noise0p05_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.00300000003	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.37610626	0.438126266	9.69986534	2.59001517	4.27642488	0.69200927	0.499179155	0	66164.5547	19991.1836	222.790726	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.0229416	725.157654	122.304985	183.025345	0	0	62.807106	62.139389	132599.484	0	0.00546878187	0.00138028701	0	0.000468624667	0.484162	0.572327	0.357981	0.793943	0.956075	0.561902	0.745886	2.59001507	4.27642493	0.929691253	0.992754961	0.00382701875	0.00727133563
p9016_initanchor_k0p01_seed17_noise0_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p01_seed17_noise0_best035/p9016_initanchor_k0p01_seed17_noise0_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p01_seed17_noise0_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.00999999978	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.35156631	0.334618449	10.4153385	2.70151734	4.27982712	0.701791406	0.50623548	0	65377.5273	19882.8301	206.591309	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.7361221	705.15448	123.156837	184.084824	0	0	197.925491	200.446472	132014.125	0	0.00534150781	0.00139443279	0	0.0015183714	0.478616	0.568891	0.349417	0.784627	0.954784	0.5411	0.759412	2.70151751	4.27982707	0.93618788	0.992949852	0.0015308075	0.00344431688
p9016_initanchor_k0p01_seed71_noise0p05_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p01_seed71_noise0p05_best035/p9016_initanchor_k0p01_seed71_noise0p05_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p01_seed71_noise0p05_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.00999999978	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.36525869	0.349551201	9.46349335	2.59364271	4.26700306	0.694105268	0.500691116	0	65913.0703	20090.2363	211.869568	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.5842896	721.439819	122.371536	183.427902	0	0	205.678329	205.932846	132977.562	0	0.00542527482	0.00137938987	0	0.00154862853	0.483233	0.572191	0.355918	0.794409	0.956886	0.561874	0.749965	2.59364273	4.26700304	0.933171034	0.992616203	0.003061615	0.00727133563
p9016_initanchor_k0p03_seed17_noise0_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p03_seed17_noise0_best035/p9016_initanchor_k0p03_seed17_noise0_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p03_seed17_noise0_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.0299999993	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.33590841	0.478495926	9.91309071	2.71031857	4.26701975	0.704008698	0.507834911	0	64643.4531	19942.4102	213.323395	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.9597931	702.114807	122.684402	183.204132	0	0	576.894897	596.866211	131590.859	0	0.00533558951	0.00139222537	0	0.00453577259	0.478836	0.568843	0.350021	0.786544	0.957128	0.542406	0.769066	2.71031859	4.26701977	0.936937201	0.99309916	0.0015308075	0.00574052813
p9016_initanchor_k0p03_seed71_noise0p05_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p03_seed71_noise0p05_best035/p9016_initanchor_k0p03_seed71_noise0p05_best035	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/eval/p9016_initanchor_k0p03_seed71_noise0p05_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	110	38a8b2a3e06b8a94caedcba7430555e5d1990c25da613a10a62df9a34c483257	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	1	0.0299999993	identity_parent_anchor_to_initial_coords	blind_direct_initial_diploid_coords	identity_bmap	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.3918438	0.522811532	9.67068195	2.90213394	4.31284761	0.694042861	0.500646055	0	64451.6641	19984.0566	197.622482	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.1536942	710.302917	124.030525	186.188217	0	0	596.145874	609.364075	132397.359	0	0.00536493267	0.00140628347	0	0.0046025395	0.476671	0.566455	0.348174	0.789286	0.958114	0.547664	0.777702	2.90213408	4.31284792	0.94633736	0.992914076	0.003061615	0.00497512438
