config_name	experiment_family	seed_family	status	backend	init_seed	init_noise_scale	trans_callable_anchor_mode	trans_callable_anchor_top_frac	trans_callable_anchor_mix_weight	trans_callable_anchor_warmup_iter	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_aggregate_mode	trans_chr_pair_mstep_warmup_iter	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	delta_trans_vs_same_seed_off	delta_trans_vs_current_best047	target_plus_0p1_vs_current_best047_met
p9016_callable_negent_t0p10_m0p05_w10_seed71_best035	callable_anchor	seed71_noise0p05	OK	gpu	71	0.0500000007	neg_entropy	0.100000001	0.0500000007	10	0	state4	0	0.483733	0.573128	0.355793	0.561437	0.747643	0.692738771	0.499705404	0.356060803	2.58023596	4.38901091	0.00344431688	0.00803673938	0.000132	-0.002792	0
p9016_callable_negent_t0p02_m0p05_w10_seed71_best035	callable_anchor	seed71_noise0p05	OK	gpu	71	0.0500000007	neg_entropy	0.0199999996	0.0500000007	10	0	state4	0	0.483424	0.572643	0.355737	0.561159	0.747986	0.692549467	0.49956885	0.370461911	2.57392073	4.38998318	0.00344431688	0.00803673938	7.6e-05	-0.002848	0
p9016_callable_negent_t0p10_m0p10_w10_seed71_best035	callable_anchor	seed71_noise0p05	OK	gpu	71	0.0500000007	neg_entropy	0.100000001	0.100000001	10	0	state4	0	0.483444	0.572725	0.355668	0.561152	0.747764	0.69248271	0.499520659	0.366522461	2.58347106	4.39042616	0.00344431688	0.00727133563	7e-06	-0.002917	0
p9016_callable_anchor_off_seed71_noise0p05_best035	control	seed71_noise0p05	OK	gpu	71	0.0500000007	off	0	0	0	0	state4	0	0.483299	0.572482	0.355661	0.561208	0.748009	0.692783058	0.499737322	0.370910287	2.57510543	4.38971424	0.00344431688	0.00803673938	0	-0.002924	0
p9016_callable_negent_t0p01_m0p10_w10_seed71_best035	callable_anchor	seed71_noise0p05	OK	gpu	71	0.0500000007	neg_entropy	0.00999999978	0.100000001	10	0	state4	0	0.483684	0.573147	0.355647	0.561312	0.748077	0.692820668	0.499764442	0.370443165	2.58011484	4.38922215	0.00344431688	0.00803673938	-1.4e-05	-0.002938	0
p9016_callable_negent_t0p05_m0p05_w10_seed71_best035	callable_anchor	seed71_noise0p05	OK	gpu	71	0.0500000007	neg_entropy	0.0500000007	0.0500000007	10	0	state4	0	0.483227	0.572371	0.355647	0.561201	0.747949	0.692476809	0.499516398	0.358635813	2.58544278	4.38934326	0.00344431688	0.00803673938	-1.4e-05	-0.002938	0
p9016_callable_negent_t0p01_m0p05_w10_seed71_best035	callable_anchor	seed71_noise0p05	OK	gpu	71	0.0500000007	neg_entropy	0.00999999978	0.0500000007	10	0	state4	0	0.483336	0.572579	0.355612	0.561194	0.747996	0.692750335	0.499713749	0.370459735	2.57420516	4.38947582	0.00344431688	0.00803673938	-4.9e-05	-0.002973	0
p9016_callable_negent_t0p02_m0p10_w10_seed71_best035	callable_anchor	seed71_noise0p05	OK	gpu	71	0.0500000007	neg_entropy	0.0199999996	0.100000001	10	0	state4	0	0.483224	0.572429	0.355557	0.561242	0.748036	0.692598164	0.499603957	0.369866371	2.57249475	4.39173412	0.00344431688	0.00803673938	-0.000104	-0.003028	0
p9016_callable_negent_t0p05_m0p10_w10_seed71_best035	callable_anchor	seed71_noise0p05	OK	gpu	71	0.0500000007	neg_entropy	0.0500000007	0.100000001	10	0	state4	0	0.483173	0.572468	0.355376	0.561013	0.747819	0.692803442	0.499752045	0.367561787	2.58398843	4.38915968	0.00344431688	0.00803673938	-0.000285	-0.003209	0
p9016_samecross_m0p25_p1_w10_seed71_best035	samecross	seed71_noise0p05	OK	gpu	71	0.0500000007	off	0	0	0	0.25	same_cross	10	0.484339	0.574477	0.355335	0.562909	0.763075	0.685310841	0.494347274	1.15381444	2.73850608	4.43079567	0.00344431688	0.00688863375	-0.000326	-0.00325	0
