config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	resolution_label	refinement_stage	refinement_stage_index	refinement_n_stages	parent_bin_size_bp	refinement_init_source	n_raw	n_raw_cis	n_raw_trans	n_bpair	n_bpair_cis	n_bpair_trans	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	trans_chr_pair_mstep_mode	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_eps	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	trans_chr_pair_mstep_aggregate_mode	trans_chr_pair_mstep_application_point	trans_chr_pair_mstep_uses_phase_labels	trans_chr_pair_mstep_uses_charm_or_reference	trans_callable_anchor_mode	trans_callable_anchor_top_frac	trans_callable_anchor_mix_weight	trans_callable_anchor_min_n_raw	trans_callable_anchor_warmup_iter	trans_callable_anchor_uses_phase_labels	trans_callable_anchor_uses_charm_or_reference	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	lambda_normdir_copytrack	normdir_copytrack_eps_unit	init_coord_anchor_enabled	init_coord_anchor_k	init_coord_anchor_mode	init_coord_anchor_source	init_coord_anchor_map_type	normdir_copytrack_prior_mode	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	trans_gate_mode	trans_gate_min_pmax	trans_gate_min_margin	trans_gate_min_neg_entropy	trans_gate_scope	trans_gate_source	trans_gate_confidence_unit	trans_gate_neg_entropy_formula	trans_gate_active_criteria	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_n_softall_gate_skip_raw	final_contact_energy	final_repulsion_energy	final_backbone_energy	heldout_enabled	heldout_fraction	heldout_seed	heldout_n_input_raw_total	heldout_n_raw_train	heldout_n_raw_heldout	heldout_n_bpair_heldout	heldout_n_bpair_eval	heldout_n_raw_eval	heldout_n_bpair_same_bin_skipped	heldout_n_raw_same_bin_skipped	heldout_mean_expected_energy	heldout_mean_min_energy	heldout_mean_entropy	heldout_mean_pU	heldout_mean_best_normalized_distance	heldout_short_distance_frac	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	final_normdir_copytrack_energy	final_normdir_copytrack_force_l1	final_anchor_energy	final_anchor_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	normdir_copytrack_force_l1_over_contact_force_l1	anchor_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_callable_anchor_off_seed17_noise0_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_anchor_off_seed17_noise0_best035/p9016_callable_anchor_off_seed17_noise0_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_anchor_off_seed17_noise0_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39636564	0.462113857	11.6548738	2.83176327	4.33186674	0.69686389	0.502681077	0	65391.1016	19829.5	200.363998	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5364647	699.803772	126.152252	187.311737	0	0	0	0	132799.375	0	0.00526963152	0.00141048659	0	0	0.481959	0.572181	0.352834	0.791872	0.958997	0.552685	0.769483	2.83176338	4.33186705	0.941887692	0.993017272	0.0015308075	0.0045924225
p9016_callable_anchor_off_seed71_noise0p05_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_anchor_off_seed71_noise0p05_best035/p9016_callable_anchor_off_seed71_noise0p05_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_anchor_off_seed71_noise0p05_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38971424	0.370910287	9.92362404	2.57510543	4.29128122	0.692783058	0.499737322	0	66049.4297	20018.8027	215.109604	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.0125198	727.576965	123.121811	184.403214	0	0	0	0	133210.578	0	0.00546185578	0.00138429858	0	0	0.483299	0.572482	0.355661	0.793683	0.956119	0.561208	0.748009	2.57510553	4.2912813	0.932971315	0.992608122	0.00344431688	0.00803673938
p9016_callable_negent_t0p01_m0p05_w10_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p01_m0p05_w10_seed17_best035/p9016_callable_negent_t0p01_m0p05_w10_seed17_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_negent_t0p01_m0p05_w10_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	neg_entropy	0.00999999978	0.0500000007	1	10	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39607143	0.462803274	11.6749516	2.83677626	4.33074331	0.696853876	0.502673805	0	65402.2617	19829.3105	200.07843	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5135307	699.797485	126.154701	187.28447	0	0	0	0	132770.234	0	0.00527074077	0.0014105908	0	0	0.482265	0.572579	0.353008	0.791855	0.959002	0.552637	0.769446	2.83677623	4.33074344	0.941882332	0.992965405	0.0015308075	0.0045924225
p9016_callable_negent_t0p01_m0p05_w10_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p01_m0p05_w10_seed71_best035/p9016_callable_negent_t0p01_m0p05_w10_seed71_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_negent_t0p01_m0p05_w10_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	neg_entropy	0.00999999978	0.0500000007	1	10	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38947582	0.370459735	9.91714287	2.57420516	4.29034424	0.692750335	0.499713749	0	66051.8672	20022.6562	215.11763	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.9951782	727.257935	123.066566	184.371796	0	0	0	0	133217.234	0	0.00545918807	0.00138399358	0	0	0.483336	0.572579	0.355612	0.7937	0.956158	0.561194	0.747996	2.57420525	4.29034416	0.934164059	0.992612631	0.00344431688	0.00803673938
p9016_callable_negent_t0p01_m0p10_w10_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p01_m0p10_w10_seed17_best035/p9016_callable_negent_t0p01_m0p10_w10_seed17_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_negent_t0p01_m0p10_w10_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	neg_entropy	0.00999999978	0.100000001	1	10	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39656687	0.460427642	11.6657209	2.83314967	4.33095074	0.696803987	0.502637804	0	65393.625	19831.2207	200.1306	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5188065	699.661621	126.175545	187.287155	0	0	0	0	132772.469	0	0.00526962876	0.00141058727	0	0	0.481979	0.572094	0.353008	0.791855	0.959002	0.552637	0.769483	2.83314986	4.33095088	0.94206322	0.992975124	0.0015308075	0.0045924225
p9016_callable_negent_t0p01_m0p10_w10_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p01_m0p10_w10_seed71_best035/p9016_callable_negent_t0p01_m0p10_w10_seed71_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_negent_t0p01_m0p10_w10_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	neg_entropy	0.00999999978	0.100000001	1	10	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38922215	0.370443165	9.93147659	2.58011484	4.2853384	0.692820668	0.499764442	0	66038.9688	20018.041	215.344101	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.0592804	727.312378	123.083847	184.350876	0	0	0	0	133202.188	0	0.00546021345	0.00138399285	0	0	0.483684	0.573147	0.355647	0.79372	0.956109	0.561312	0.748077	2.58011468	4.28533827	0.932586815	0.992618668	0.00344431688	0.00803673938
p9016_callable_negent_t0p02_m0p05_w10_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p02_m0p05_w10_seed17_best035/p9016_callable_negent_t0p02_m0p05_w10_seed17_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_negent_t0p02_m0p05_w10_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	neg_entropy	0.0199999996	0.0500000007	1	10	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39605808	0.460000634	11.6654043	2.83231759	4.33162069	0.696848571	0.50266999	0	65393.8086	19832.8516	200.247574	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5355453	699.71637	126.14344	187.269028	0	0	0	0	132773.156	0	0.00527001384	0.00141044345	0	0	0.48205	0.572235	0.35298	0.791866	0.959031	0.552623	0.769464	2.83231741	4.33162066	0.941775223	0.992963733	0.0015308075	0.0045924225
p9016_callable_negent_t0p02_m0p05_w10_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p02_m0p05_w10_seed71_best035/p9016_callable_negent_t0p02_m0p05_w10_seed71_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_negent_t0p02_m0p05_w10_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	neg_entropy	0.0199999996	0.0500000007	1	10	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38998318	0.370461911	9.90823746	2.57392073	4.28875875	0.692549467	0.49956885	0	66080.7891	20023.8477	215.228607	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.9466705	727.121704	123.112755	184.42308	0	0	0	0	133201.141	0	0.00545882489	0.0013845458	0	0	0.483424	0.572643	0.355737	0.79366	0.956114	0.561159	0.747986	2.57392071	4.28875876	0.933208774	0.992651574	0.00344431688	0.00803673938
p9016_callable_negent_t0p02_m0p10_w10_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p02_m0p10_w10_seed17_best035/p9016_callable_negent_t0p02_m0p10_w10_seed17_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_negent_t0p02_m0p10_w10_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	neg_entropy	0.0199999996	0.100000001	1	10	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39615345	0.463747054	11.6584435	2.83394909	4.33349562	0.696946263	0.502740502	0	65398.6953	19831.9941	200.234146	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.528923	699.806824	126.118408	187.302231	0	0	0	0	132789.609	0	0.00527004206	0.00141051873	0	0	0.481907	0.572138	0.352772	0.791752	0.958934	0.552484	0.76942	2.83394912	4.33349546	0.942259347	0.992960571	0.0015308075	0.0045924225
p9016_callable_negent_t0p02_m0p10_w10_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p02_m0p10_w10_seed71_best035/p9016_callable_negent_t0p02_m0p10_w10_seed71_best035	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/eval/p9016_callable_negent_t0p02_m0p10_w10_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	112	43b7e56b665fac76dce5489fba47debe0b4168615c0107597ea32ce917b2ff1b	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	neg_entropy	0.0199999996	0.100000001	1	10	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39173412	0.369866371	9.92046642	2.57249475	4.2894845	0.692598164	0.499603957	0	66053.3438	20023.2969	215.777176	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.1199951	727.492065	123.242027	184.574371	0	0	0	0	133198.406	0	0.0054617175	0.00138571006	0	0	0.483224	0.572429	0.355557	0.793746	0.956201	0.561242	0.748036	2.57249467	4.28948436	0.932014138	0.992644121	0.00344431688	0.00803673938
