config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	resolution_label	refinement_stage	refinement_stage_index	refinement_n_stages	parent_bin_size_bp	refinement_init_source	n_raw	n_raw_cis	n_raw_trans	n_bpair	n_bpair_cis	n_bpair_trans	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	trans_chr_pair_mstep_mode	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_eps	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	trans_chr_pair_mstep_aggregate_mode	trans_chr_pair_mstep_application_point	trans_chr_pair_mstep_uses_phase_labels	trans_chr_pair_mstep_uses_charm_or_reference	trans_callable_anchor_mode	trans_callable_anchor_top_frac	trans_callable_anchor_mix_weight	trans_callable_anchor_min_n_raw	trans_callable_anchor_warmup_iter	trans_callable_anchor_uses_phase_labels	trans_callable_anchor_uses_charm_or_reference	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	lambda_normdir_copytrack	normdir_copytrack_eps_unit	init_coord_anchor_enabled	init_coord_anchor_k	init_coord_anchor_mode	init_coord_anchor_source	init_coord_anchor_map_type	normdir_copytrack_prior_mode	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	trans_d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	trans_dscale_effective_count_formula	trans_dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	trans_gate_mode	trans_gate_min_pmax	trans_gate_min_margin	trans_gate_min_neg_entropy	trans_gate_scope	trans_gate_source	trans_gate_confidence_unit	trans_gate_neg_entropy_formula	trans_gate_active_criteria	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_n_softall_gate_skip_raw	final_contact_energy	final_repulsion_energy	final_backbone_energy	heldout_enabled	heldout_fraction	heldout_seed	heldout_n_input_raw_total	heldout_n_raw_train	heldout_n_raw_heldout	heldout_n_bpair_heldout	heldout_n_bpair_eval	heldout_n_raw_eval	heldout_n_bpair_same_bin_skipped	heldout_n_raw_same_bin_skipped	heldout_mean_expected_energy	heldout_mean_min_energy	heldout_mean_entropy	heldout_mean_pU	heldout_mean_best_normalized_distance	heldout_short_distance_frac	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	final_normdir_copytrack_energy	final_normdir_copytrack_force_l1	final_anchor_energy	final_anchor_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	normdir_copytrack_force_l1_over_contact_force_l1	anchor_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_transgamma_g0_td0p75_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0_td0p75_seed17_best035/p9016_transgamma_g0_td0p75_seed17_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0_td0p75_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0	0	0	trans_edge_scaling	1	0.75	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38329268	0.636193752	9.37972069	2.69775867	4.38742399	0.67823112	0.489240348	0	35728.0273	18492.834	178.823288	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.6494141	699.855286	126.823753	184.781525	0	0	0	0	115525.977	0	0.00605799063	0.00159948031	0	0	0.463321	0.561757	0.32244	0.780273	0.955605	0.529341	0.763758	2.69775876	4.38742387	0.938854631	0.993040975	0.00114810563	0.00535782625
p9016_transgamma_g0_td0p75_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0_td0p75_seed71_best035/p9016_transgamma_g0_td0p75_seed71_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0_td0p75_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0	0	0	trans_edge_scaling	1	0.75	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.5382328	1.04976368	10.3958549	2.99878454	4.41970205	0.662590384	0.477957934	0	36526.3125	18590.8887	180.882156	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.1128273	707.877625	135.567032	196.412216	0	0	0	0	115804.867	0	0.00611267595	0.00169606184	0	0	0.475577	0.568396	0.342735	0.785698	0.956997	0.540538	0.778882	2.99878483	4.41970225	0.950195925	0.993502084	0.00229621125	0.00612323
p9016_transgamma_g0_td1_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0_td1_seed17_best035/p9016_transgamma_g0_td1_seed17_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0_td1_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0	0	0	trans_edge_scaling	1	1	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.83121634	0.7889117	10.8025513	3.19063497	4.86570883	0.62447536	0.450463742	0	18609.1465	15427.7041	105.363503	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.5572968	667.133911	161.178864	211.320038	0	0	0	0	90809.4922	0	0.00734652177	0.00232706992	0	0	0.470171	0.575748	0.319072	0.785304	0.970819	0.519798	0.80583	3.19063491	4.86570902	0.959592956	0.994527498	0.00114810563	0.00191350938
p9016_transgamma_g0_td1_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0_td1_seed71_best035/p9016_transgamma_g0_td1_seed71_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0_td1_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0	0	0	trans_edge_scaling	1	1	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.67051792	1.55814302	10.9217539	2.97154951	4.68700027	0.628072739	0.45305872	0	19676.4004	16183.5596	171.816833	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.9181061	703.975281	136.000366	188.85257	0	0	0	0	93922.9688	0	0.00749524094	0.00201071764	0	0	0.478094	0.570439	0.34593	0.790875	0.960715	0.547803	0.779605	2.97154963	4.68700038	0.94807207	0.993721258	0.003061615	0.0103329506
p9016_transgamma_g0p25_td0p75_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p25_td0p75_seed17_best035/p9016_transgamma_g0p25_td0p75_seed17_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0p25_td0p75_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0.25	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0.25	1	0	trans_edge_scaling	1	0.75	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.42496347	0.840676427	9.18286991	2.71490455	4.4108758	0.672164202	0.484863997	0	34165.5508	18331.7949	201.608902	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.2115479	697.519775	127.74012	182.803101	0	0	0	0	113892.18	0	0.0061243869	0.00160505402	0	0	0.462235	0.559059	0.323663	0.782287	0.957429	0.531627	0.765965	2.71490453	4.41087594	0.946144951	0.993536137	0.00191350938	0.00612323
p9016_transgamma_g0p25_td0p75_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p25_td0p75_seed71_best035/p9016_transgamma_g0p25_td0p75_seed71_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0p25_td0p75_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0.25	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0.25	1	0	trans_edge_scaling	1	0.75	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.53020144	0.935085416	10.3408976	2.83596325	4.45516491	0.665140331	0.479797333	0	34676.1836	18257.4277	195.014786	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.8779945	704.433777	134.700363	195.009583	0	0	0	0	113820.234	0	0.00618900306	0.00171331209	0	0	0.480753	0.574433	0.34668	0.796523	0.960792	0.561423	0.765422	2.83596315	4.4551649	0.948266517	0.993498261	0.00267891313	0.00650593188
p9016_transgamma_g0p25_td1_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p25_td1_seed17_best035/p9016_transgamma_g0p25_td1_seed17_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0p25_td1_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0.25	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0.25	1	0	trans_edge_scaling	1	1	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.8339715	1.45879221	11.2926474	3.34892249	4.81172848	0.625678539	0.451331675	0	18179.9121	15505.0684	98.8984375	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.577919	681.137878	159.208145	211.777634	0	0	0	0	91594.8359	0	0.00743642228	0.00231211325	0	0	0.451485	0.556424	0.301298	0.777784	0.968586	0.504713	0.800419	3.3489225	4.81172836	0.960256324	0.994342364	0.00191350938	0.003061615
p9016_transgamma_g0p25_td1_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p25_td1_seed71_best035/p9016_transgamma_g0p25_td1_seed71_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0p25_td1_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0.25	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0.25	1	0	trans_edge_scaling	1	1	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.87485313	1.59044564	11.438798	3.2189405	4.84646845	0.619978607	0.447219998	0	18742.4863	15808.8564	153.215744	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.044239	690.411499	156.249985	201.26741	0	0	0	0	92534.7969	0	0.00746110136	0.00217504568	0	0	0.465775	0.559025	0.332317	0.788006	0.962753	0.537912	0.771652	3.21894067	4.846468	0.955024031	0.994714862	0.0015308075	0.00880214313
p9016_transgamma_g0p5_td0p75_seed17_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p5_td0p75_seed17_best035/p9016_transgamma_g0p5_td0p75_seed17_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0p5_td0p75_seed17_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0.5	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0.5	1	0	trans_edge_scaling	1	0.75	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.51788425	1.32356632	11.0174999	2.84844184	4.50392723	0.661525667	0.477189898	0	32780.7891	18116.4785	108.302834	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.0217476	688.92688	136.022125	192.774384	0	0	0	0	113237.367	0	0.00608391822	0.00170239197	0	0	0.466489	0.563621	0.327476	0.788215	0.966849	0.532557	0.783198	2.84844194	4.5039274	0.94794948	0.993604361	0.00114810563	0.00267891313
p9016_transgamma_g0p5_td0p75_seed71_best035	P9016	OK	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p5_td0p75_seed71_best035/p9016_transgamma_g0p5_td0p75_seed71_best035	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/eval/p9016_transgamma_g0p5_td0p75_seed71_best035	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	114	1535243f0aebf3c6576b795bcb2cdda9703bc411cd19b2aad296f506ff2f48eb	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	state4	post_estep_pre_softall_mstep	0	0	off	0	0	1	0	0	0	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	0	0	off	none	none	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	0.5	n_raw*posterior_prob^1	1	1	n_raw*posterior_prob^0.5	1	0	trans_edge_scaling	1	0.75	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.62985849	0.744122386	10.9490957	2.90535998	4.57952499	0.661346436	0.477060616	0	32956.875	17902.7266	182.903427	0	0	17	1703888	1703888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.6874504	710.46637	137.56662	195.180832	0	0	0	0	112149.461	0	0.00633499585	0.00174036353	0	0	0.474745	0.56116	0.35107	0.797785	0.96086	0.564396	0.780464	2.90535985	4.57952505	0.949735969	0.993879911	0.003061615	0.00650593188
